"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-vasr_annotator","UPDATE-vasr_annotator","CURRENT-passed_gvlab_solve_qualification","UPDATE-passed_gvlab_solve_qualification","CURRENT-passed_gvlab_create_qualification","UPDATE-passed_gvlab_create_qualification","CURRENT-inadequate","UPDATE-inadequate","CURRENT-gvlab_annotator","UPDATE-gvlab_annotator","CURRENT-analogies_qualification","UPDATE-analogies_qualification","CURRENT-Question aswering qualification","UPDATE-Question aswering qualification","CURRENT-QA - real world data","UPDATE-QA - real world data","CURRENT-Low Analogy Performance","UPDATE-Low Analogy Performance","CURRENT-Experiment RA01 Qualification Test Score","UPDATE-Experiment RA01 Qualification Test Score","CURRENT-Experiment CE01 Qualification Test Score","UPDATE-Experiment CE01 Qualification Test Score","CURRENT-Annotated VASR 1st batch","UPDATE-Annotated VASR 1st batch","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A03172343NB8PHOPICC1","https://requester.mturk.com/workers/A03172343NB8PHOPICC1","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A03922113RU44GENR8ATX","https://requester.mturk.com/workers/A03922113RU44GENR8ATX","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A101TTS7WAVXAV","https://requester.mturk.com/workers/A101TTS7WAVXAV","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A10249252O9I20MRSOBVF","https://requester.mturk.com/workers/A10249252O9I20MRSOBVF","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","70","","","","","","","","","","","","","","Never Blocked","",""
"A104V8NZIQFN2F","https://requester.mturk.com/workers/A104V8NZIQFN2F","6","6","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1098Y723VV1FS","https://requester.mturk.com/workers/A1098Y723VV1FS","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","1","","","","","","1","","Never Blocked","",""
"A10AY39RH8ZB7I","https://requester.mturk.com/workers/A10AY39RH8ZB7I","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A10IJ2B94MS2MX","https://requester.mturk.com/workers/A10IJ2B94MS2MX","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A10JX6DEWFJ6Z","https://requester.mturk.com/workers/A10JX6DEWFJ6Z","14","14","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A10U4PCHQXFD7M","https://requester.mturk.com/workers/A10U4PCHQXFD7M","13","13","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
