,WorkerId,mean_jaccard,ages,gender,education,speaker
0,A13CAAOJ5GP4UQ,0.7166666666666666,33,male,Master,Native
1,A152B28KVSOXMV,0.6499999999999999,56,female,HighSchool,Native
2,A193SP8INHA4MB,0.8166666666666667,30,male,HighSchool,Native
3,A1E31V4KC175MR,0.6499999999999999,48,male,HighSchool,Native
4,A1GC6CN3F0IHWN,0.7166666666666666,34,male,Master,Native
5,A1Q61CF5K50UJC,0.6866666666666666,42,female,HighSchool,Native
6,A1VMPZVVVZUCS4,0.7499999999999999,36,non-binary,Bachelor,Native
7,A1YNBQAKX6FUVW,0.5999999999999999,37,female,Bachelor,Native
8,A1YSYI926BBOHW,0.6499999999999999,38,male,Bachelor,Native
9,A26L91YL0GDGD8,0.6199999999999999,55,female,HighSchool,Native
10,A2HM35CWB7IIFM,0.8,60,female,Bachelor,Native
11,A2I4PRZ9IZMKON,0.6499999999999999,32,female,Master,Native
12,A2JP9IKRHNLRPI,0.6866666666666666,27,male,Bachelor,Native
13,A2K0L9M1ZZO5C9,0.6199999999999999,43,female,HighSchool,Native
14,A2O2Q0LVWOWJ1G,0.7666666666666666,48,female,HighSchool,Native
15,A2TZAXWOB3JMNV,0.7166666666666666,48,female,Bachelor,Native
16,A2WPHVMLLEV5ZB,0.7333333333333333,27,male,HighSchool,Native
17,A310N8EXJNXVCA,0.7333333333333333,32,male,Bachelor,Native
18,A318574M8Q965P,0.7,52,female,Master,Native
19,A3EU8ENRH654SB,0.7333333333333333,43,female,Bachelor,Native
20,A3P9TM5PRYBH90,0.8166666666666667,44,male,HighSchool,Native
21,A3T8THFPERMABH,0.6499999999999999,31,female,Bachelor,Native
22,A9HQ3E0F2AGVO,0.7666666666666666,33,female,Bachelor,Native
23,ACBK30I7R42NI,0.4999999999999999,48,female,Master,Native
24,AD1ILDUXZHASF,0.8166666666666667,35,male,Bachelor,Native
25,AKQAI78JTXXC9,0.6666666666666666,39,male,Bachelor,Native
26,AONSG5WOC3OX0,0.7833333333333333,40,male,Bachelor,Native
27,AR0VJ5XRG16UJ,0.7166666666666666,52,female,Bachelor,Native
28,AVOF14300525D,0.7666666666666666,61,female,Master,Native
