,WorkerId,mean_jaccard,ages,gender,education,speaker
0,A06525351E9H7SLVJK0AG,0.6499999999999999,30.0,female,HighSchool,Native
1,A10249252O9I20MRSOBVF,0.6966666666666667,58.0,female,HighSchool,Native
2,A104V8NZIQFN2F,0.8333333333333333,43.0,male,HighSchool,Native
3,A10HW8JXM17XLD,0.7333333333333333,42.0,female,Bachelor,Native
4,A1198W1SPF1R4,0.775,54.0,female,Bachelor,Native
5,A12EETVU3IGPZZ,0.45666666666666667,24.0,male,Bachelor,Native
6,A132MSWBBVTOES,0.7,32.0,male,Master,Native
7,A13TA3WX9VH0MM,0.725,22.0,male,Bachelor,Native
8,A16184N1RO5OJV,0.8166666666666667,41.0,female,Bachelor,NoneNative
9,A16K7X677N4WN6,0.7666666666666666,35.0,male,Master,Native
10,A173A97OFDAX9F,0.7833333333333333,25.0,female,Bachelor,Native
11,A18WSAKX5YN2FB,0.8166666666666667,44.0,female,HighSchool,Native
12,A19C2SO0IMRZ1L,0.7,29.0,male,HighSchool,Native
13,A19TD2J8506A4Y,0.7,45.0,male,HighSchool,Native
14,A19UED74G8FXN3,0.7499999999999999,30.0,male,Bachelor,Native
15,A19Z68L0RHQVWL,0.6833333333333333,37.0,female,HighSchool,Native
16,A1DMXEJGJY02E1,0.7499999999999999,34.0,female,Bachelor,Native
17,A1E235KE3CSO7H,0.6499999999999999,65.0,female,Bachelor,Native
18,A1EDN55K4IF2GD,0.6499999999999999,62.0,male,Bachelor,Native
19,A1FA3QRISJ1RIP,0.8333333333333334,32.0,male,Master,Native
20,A1H5Q9HRH4RPZU,0.7166666666666666,39.0,male,HighSchool,Native
21,A1HKYY6XI2OHO1,0.8249999999999998,44.0,male,HighSchool,Native
22,A1KZ0KE93WNN5O,0.5999999999999999,54.0,female,Bachelor,Native
23,A1M3HU7RRX0BXZ,0.7166666666666666,42.0,female,Master,Native
24,A1OWM3QO7QAKBN,0.7400000000000001,30.0,male,Bachelor,Native
25,A1PBRKFHSF1OF8,0.8333333333333334,36.0,female,Bachelor,Native
26,A1PNDILZWOX425,0.6283333333333333,33.0,male,Bachelor,Native
27,A1QG7OBU8UH8M5,0.5999999999999999,51.0,male,Bachelor,Native
28,A1U6L1L2CUQNU5,0.5833333333333333,53.0,female,Bachelor,Native
29,A1WY3YGT618GC0,0.7499999999999999,29.0,male,HighSchool,Native
30,A1XMGLCK09Z0DW,0.6166666666666666,63.0,male,Bachelor,Native
31,A1YNBQAKX6FUVW,0.6166666666666666,37.0,female,Bachelor,Native
32,A1YSYI926BBOHW,0.6333333333333332,38.0,male,Bachelor,Native
33,A1Z3O9QS22DM8R,0.6499999999999999,38.0,female,Bachelor,NoneNative
34,A20DUVEOH6A7KW,0.6666666666666666,48.0,female,Bachelor,Native
35,A20SXG1DHDIDI7,0.7666666666666666,49.0,female,HighSchool,Native
