direct_visual,annotation_index,cue,associations,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images_q1,selected_images_q2,score_fooling_ai_1,score_fooling_ai_2,cue1,cue2,candidates,score,num_associations
1,0,female,"[""painter"", ""bride""]",3VNL7UK1XG5AQ0N53PHHN1LISYDFTZ,A382S0KJMW3K9S,3L1EFR8WWTRPK1GXFH7Y7HOEE9VF9A,Submitted,2022-05-25 03:38:53+03:00,random_10_12_candidates_522,"[""painter.jpg"", ""bride.jpg""]","[""chili.jpg"", ""fast food.jpg"", ""shake.jpg""]",67,50,female,edible,"[""chili"", ""gold"", ""painter"", ""butler"", ""miner"", ""graph"", ""pager"", ""bride"", ""fast food"", ""shake""]",67,2
1,1,edible,"[""chili"", ""fast food"", ""shake""]",3VNL7UK1XG5AQ0N53PHHN1LISYDFTZ,A382S0KJMW3K9S,3L1EFR8WWTRPK1GXFH7Y7HOEE9VF9A,Submitted,2022-05-25 03:38:53+03:00,random_10_12_candidates_522,"[""painter.jpg"", ""bride.jpg""]","[""chili.jpg"", ""fast food.jpg"", ""shake.jpg""]",67,50,female,edible,"[""chili"", ""gold"", ""painter"", ""butler"", ""miner"", ""graph"", ""pager"", ""bride"", ""fast food"", ""shake""]",50,3
0,2,ordered,"[""fast food"", ""shake""]",3ZAZR5XV024Z90CUIFGY1J1WHIPZC9,A1HKYY6XI2OHO1,3L1EFR8WWTRPK1GXFH7Y7HOEE9VF9A,Submitted,2022-05-25 07:10:38+03:00,random_10_12_candidates_522,"[""fast food.jpg"", ""shake.jpg""]","[""butler.jpg"", ""bride.jpg""]",0,67,ordered,formal,"[""chili"", ""gold"", ""painter"", ""butler"", ""miner"", ""graph"", ""pager"", ""bride"", ""fast food"", ""shake""]",0,2
0,3,formal,"[""butler"", ""bride""]",3ZAZR5XV024Z90CUIFGY1J1WHIPZC9,A1HKYY6XI2OHO1,3L1EFR8WWTRPK1GXFH7Y7HOEE9VF9A,Submitted,2022-05-25 07:10:38+03:00,random_10_12_candidates_522,"[""fast food.jpg"", ""shake.jpg""]","[""butler.jpg"", ""bride.jpg""]",0,67,ordered,formal,"[""chili"", ""gold"", ""painter"", ""butler"", ""miner"", ""graph"", ""pager"", ""bride"", ""fast food"", ""shake""]",67,2
0,4,digest,"[""chili"", ""fast food""]",3WAKVUDHUX2CBKNOLB9F45U3EVFU7U,A3RTW9UWYKSNWX,3L1EFR8WWTRPK1GXFH7Y7HOEE9VF9A,Submitted,2022-05-26 11:17:28+03:00,random_10_12_candidates_522,"[""chili.jpg"", ""fast food.jpg""]","[""gold.jpg"", ""bride.jpg""]",100,0,digest,jewelry,"[""chili"", ""gold"", ""painter"", ""butler"", ""miner"", ""graph"", ""pager"", ""bride"", ""fast food"", ""shake""]",100,2
1,5,jewelry,"[""gold"", ""bride""]",3WAKVUDHUX2CBKNOLB9F45U3EVFU7U,A3RTW9UWYKSNWX,3L1EFR8WWTRPK1GXFH7Y7HOEE9VF9A,Submitted,2022-05-26 11:17:28+03:00,random_10_12_candidates_522,"[""chili.jpg"", ""fast food.jpg""]","[""gold.jpg"", ""bride.jpg""]",100,0,digest,jewelry,"[""chili"", ""gold"", ""painter"", ""butler"", ""miner"", ""graph"", ""pager"", ""bride"", ""fast food"", ""shake""]",0,2
1,6,red,"[""honk"", ""tag""]",3TMFV4NEP90T32HCQGGM0TBVAP2W8C,A1HKYY6XI2OHO1,3S1L4CQSFXR3PKQ27NLY3CZYKRDFAP,Submitted,2022-05-25 07:27:13+03:00,random_10_12_candidates_785,"[""honk.jpg"", ""tag.jpg""]","[""rice.jpg"", ""grass.jpg""]",100,0,red,grains,"[""mice"", ""swamp"", ""honk"", ""clock"", ""yellow"", ""rice"", ""notebook"", ""grass"", ""joint"", ""scale"", ""elevator"", ""tag""]",100,2
1,7,grains,"[""rice"", ""grass""]",3TMFV4NEP90T32HCQGGM0TBVAP2W8C,A1HKYY6XI2OHO1,3S1L4CQSFXR3PKQ27NLY3CZYKRDFAP,Submitted,2022-05-25 07:27:13+03:00,random_10_12_candidates_785,"[""honk.jpg"", ""tag.jpg""]","[""rice.jpg"", ""grass.jpg""]",100,0,red,grains,"[""mice"", ""swamp"", ""honk"", ""clock"", ""yellow"", ""rice"", ""notebook"", ""grass"", ""joint"", ""scale"", ""elevator"", ""tag""]",0,2
1,8,green,"[""swamp"", ""grass""]",3LRLIPTPERVGRQGAY0HX89NVD79AKG,A382S0KJMW3K9S,3S1L4CQSFXR3PKQ27NLY3CZYKRDFAP,Submitted,2022-05-25 15:55:49+03:00,random_10_12_candidates_785,"[""swamp.jpg"", ""grass.jpg""]","[""clock.jpg"", ""tag.jpg""]",67,67,green,auction,"[""mice"", ""swamp"", ""honk"", ""clock"", ""yellow"", ""rice"", ""notebook"", ""grass"", ""joint"", ""scale"", ""elevator"", ""tag""]",67,2
0,9,auction,"[""clock"", ""tag""]",3LRLIPTPERVGRQGAY0HX89NVD79AKG,A382S0KJMW3K9S,3S1L4CQSFXR3PKQ27NLY3CZYKRDFAP,Submitted,2022-05-25 15:55:49+03:00,random_10_12_candidates_785,"[""swamp.jpg"", ""grass.jpg""]","[""clock.jpg"", ""tag.jpg""]",67,67,green,auction,"[""mice"", ""swamp"", ""honk"", ""clock"", ""yellow"", ""rice"", ""notebook"", ""grass"", ""joint"", ""scale"", ""elevator"", ""tag""]",67,2
1,10,food,"[""mice"", ""rice""]",3KMS4QQVK3CBNHXI9G3PMAYMAR1FKL,A16184N1RO5OJV,3S1L4CQSFXR3PKQ27NLY3CZYKRDFAP,Submitted,2022-05-26 00:39:42+03:00,random_10_12_candidates_785,"[""mice.jpg"", ""rice.jpg""]","[""swamp.jpg"", ""rice.jpg"", ""grass.jpg""]",67,80,food,abundant,"[""mice"", ""swamp"", ""honk"", ""clock"", ""yellow"", ""rice"", ""notebook"", ""grass"", ""joint"", ""scale"", ""elevator"", ""tag""]",67,2
0,11,abundant,"[""swamp"", ""rice"", ""grass""]",3KMS4QQVK3CBNHXI9G3PMAYMAR1FKL,A16184N1RO5OJV,3S1L4CQSFXR3PKQ27NLY3CZYKRDFAP,Submitted,2022-05-26 00:39:42+03:00,random_10_12_candidates_785,"[""mice.jpg"", ""rice.jpg""]","[""swamp.jpg"", ""rice.jpg"", ""grass.jpg""]",67,80,food,abundant,"[""mice"", ""swamp"", ""honk"", ""clock"", ""yellow"", ""rice"", ""notebook"", ""grass"", ""joint"", ""scale"", ""elevator"", ""tag""]",80,3
