AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images_q1,selected_images_q2,score_fooling_ai_1,score_fooling_ai_2,cue1,cue2,candidates,cue,associations,score,num_associations,annotation_index
37XITHEISXVQ79Q38YMLFGZX7OXRC8,A1HKYY6XI2OHO1,367O8HRHKGUXR0F746B6X8WDH534SA,Submitted,2022-05-23 05:15:09+03:00,random_10_12_candidates_218,"[""tea.jpg"", ""heroin.jpg""]","[""tea.jpg"", ""marshmallow.jpg""]",67,67,chemicals,sugar,"[""tea"", ""marshmallow"", ""pile"", ""splinter"", ""relic"", ""rose"", ""product"", ""heater"", ""hanger"", ""children"", ""furniture"", ""heroin""]",chemicals,"[""tea"", ""heroin""]",67,2,0
37XITHEISXVQ79Q38YMLFGZX7OXRC8,A1HKYY6XI2OHO1,367O8HRHKGUXR0F746B6X8WDH534SA,Submitted,2022-05-23 05:15:09+03:00,random_10_12_candidates_218,"[""tea.jpg"", ""heroin.jpg""]","[""tea.jpg"", ""marshmallow.jpg""]",67,67,chemicals,sugar,"[""tea"", ""marshmallow"", ""pile"", ""splinter"", ""relic"", ""rose"", ""product"", ""heater"", ""hanger"", ""children"", ""furniture"", ""heroin""]",sugar,"[""tea"", ""marshmallow""]",67,2,1
3HFNH7HEMI03CKR8X5T40HA79YPGQG,A16184N1RO5OJV,367O8HRHKGUXR0F746B6X8WDH534SA,Submitted,2022-05-23 20:57:31+03:00,random_10_12_candidates_218,"[""relic.jpg"", ""rose.jpg"", ""furniture.jpg""]","[""splinter.jpg"", ""rose.jpg""]",50,67,decoration,thorn,"[""tea"", ""marshmallow"", ""pile"", ""splinter"", ""relic"", ""rose"", ""product"", ""heater"", ""hanger"", ""children"", ""furniture"", ""heroin""]",decoration,"[""relic"", ""rose"", ""furniture""]",50,3,2
3HFNH7HEMI03CKR8X5T40HA79YPGQG,A16184N1RO5OJV,367O8HRHKGUXR0F746B6X8WDH534SA,Submitted,2022-05-23 20:57:31+03:00,random_10_12_candidates_218,"[""relic.jpg"", ""rose.jpg"", ""furniture.jpg""]","[""splinter.jpg"", ""rose.jpg""]",50,67,decoration,thorn,"[""tea"", ""marshmallow"", ""pile"", ""splinter"", ""relic"", ""rose"", ""product"", ""heater"", ""hanger"", ""children"", ""furniture"", ""heroin""]",thorn,"[""splinter"", ""rose""]",67,2,3
3YJ6NA41JC2S3AGU5YZIXPCDWWOPJA,A2QX3YJXAAHHVV,367O8HRHKGUXR0F746B6X8WDH534SA,Submitted,2022-05-23 23:44:00+03:00,random_10_12_candidates_218,"[""hanger.jpg"", ""children.jpg""]","[""tea.jpg"", ""marshmallow.jpg"", ""heroin.jpg""]",67,100,pregnancy,dissolve,"[""tea"", ""marshmallow"", ""pile"", ""splinter"", ""relic"", ""rose"", ""product"", ""heater"", ""hanger"", ""children"", ""furniture"", ""heroin""]",pregnancy,"[""hanger"", ""children""]",67,2,4
3YJ6NA41JC2S3AGU5YZIXPCDWWOPJA,A2QX3YJXAAHHVV,367O8HRHKGUXR0F746B6X8WDH534SA,Submitted,2022-05-23 23:44:00+03:00,random_10_12_candidates_218,"[""hanger.jpg"", ""children.jpg""]","[""tea.jpg"", ""marshmallow.jpg"", ""heroin.jpg""]",67,100,pregnancy,dissolve,"[""tea"", ""marshmallow"", ""pile"", ""splinter"", ""relic"", ""rose"", ""product"", ""heater"", ""hanger"", ""children"", ""furniture"", ""heroin""]",dissolve,"[""tea"", ""marshmallow"", ""heroin""]",100,3,5
3VELCLL3GL59HGBW16X7HV2N03WF1C,A1HKYY6XI2OHO1,3ECKRY5B1QIO0J00KN7IN23Z923ZIO,Submitted,2022-05-23 05:19:54+03:00,random_10_12_candidates_399,"[""column.jpg"", ""porch.jpg""]","[""dancing.jpg"", ""asylum.jpg""]",67,100,zillow,meatsacks,"[""bread"", ""dancing"", ""pad"", ""soap"", ""column"", ""cabinet"", ""porch"", ""asylum"", ""dip"", ""pod""]",zillow,"[""column"", ""porch""]",67,2,6
3VELCLL3GL59HGBW16X7HV2N03WF1C,A1HKYY6XI2OHO1,3ECKRY5B1QIO0J00KN7IN23Z923ZIO,Submitted,2022-05-23 05:19:54+03:00,random_10_12_candidates_399,"[""column.jpg"", ""porch.jpg""]","[""dancing.jpg"", ""asylum.jpg""]",67,100,zillow,meatsacks,"[""bread"", ""dancing"", ""pad"", ""soap"", ""column"", ""cabinet"", ""porch"", ""asylum"", ""dip"", ""pod""]",meatsacks,"[""dancing"", ""asylum""]",100,2,7
3OE22WJIGJAMH2S3HAIL4WBYI8DQU3,A2QX3YJXAAHHVV,3ECKRY5B1QIO0J00KN7IN23Z923ZIO,Submitted,2022-05-24 00:21:11+03:00,random_10_12_candidates_399,"[""dancing.jpg"", ""asylum.jpg""]","[""dancing.jpg"", ""asylum.jpg""]",100,100,lines,lined,"[""bread"", ""dancing"", ""pad"", ""soap"", ""column"", ""cabinet"", ""porch"", ""asylum"", ""dip"", ""pod""]",lines,"[""dancing"", ""asylum""]",100,2,8
3OE22WJIGJAMH2S3HAIL4WBYI8DQU3,A2QX3YJXAAHHVV,3ECKRY5B1QIO0J00KN7IN23Z923ZIO,Submitted,2022-05-24 00:21:11+03:00,random_10_12_candidates_399,"[""dancing.jpg"", ""asylum.jpg""]","[""dancing.jpg"", ""asylum.jpg""]",100,100,lines,lined,"[""bread"", ""dancing"", ""pad"", ""soap"", ""column"", ""cabinet"", ""porch"", ""asylum"", ""dip"", ""pod""]",lined,"[""dancing"", ""asylum""]",100,2,9
