AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images_q1,selected_images_q2,score_fooling_ai_1,score_fooling_ai_2,cue1,cue2,candidates,cue,associations,score,num_associations,annotation_index
3X87C8JFV7X62P0ZS5NLPVTAXPAQSX,A1HKYY6XI2OHO1,30QQTY5GMK6AP0PUV94DFLYBT2B7U6,Submitted,2022-05-19 00:38:45+03:00,random_1777,"[""shed.jpg"", ""wigwam.jpg""]","[""ferris wheel.jpg"", ""salt.jpg""]",67,100,shovels,heartattack,"[""ferris wheel"", ""school"", ""shed"", ""salt"", ""legume"", ""wigwam""]",shovels,"[""shed"", ""wigwam""]",67,2,0
3X87C8JFV7X62P0ZS5NLPVTAXPAQSX,A1HKYY6XI2OHO1,30QQTY5GMK6AP0PUV94DFLYBT2B7U6,Submitted,2022-05-19 00:38:45+03:00,random_1777,"[""shed.jpg"", ""wigwam.jpg""]","[""ferris wheel.jpg"", ""salt.jpg""]",67,100,shovels,heartattack,"[""ferris wheel"", ""school"", ""shed"", ""salt"", ""legume"", ""wigwam""]",heartattack,"[""ferris wheel"", ""salt""]",100,2,1
3I3WADAZ9RQ2BBP81WI97FOI45UO5X,A3RTW9UWYKSNWX,30QQTY5GMK6AP0PUV94DFLYBT2B7U6,Submitted,2022-05-19 07:23:04+03:00,random_1777,"[""ferris wheel.jpg"", ""school.jpg""]","[""shed.jpg"", ""wigwam.jpg""]",100,0,sit,shelter,"[""ferris wheel"", ""school"", ""shed"", ""salt"", ""legume"", ""wigwam""]",sit,"[""ferris wheel"", ""school""]",100,2,2
3I3WADAZ9RQ2BBP81WI97FOI45UO5X,A3RTW9UWYKSNWX,30QQTY5GMK6AP0PUV94DFLYBT2B7U6,Submitted,2022-05-19 07:23:04+03:00,random_1777,"[""ferris wheel.jpg"", ""school.jpg""]","[""shed.jpg"", ""wigwam.jpg""]",100,0,sit,shelter,"[""ferris wheel"", ""school"", ""shed"", ""salt"", ""legume"", ""wigwam""]",shelter,"[""shed"", ""wigwam""]",0,2,3
34FNN24DCNVE5PTA7JR796MKIGH5YF,A382S0KJMW3K9S,30QQTY5GMK6AP0PUV94DFLYBT2B7U6,Submitted,2022-05-19 14:32:03+03:00,random_1777,"[""school.jpg"", ""shed.jpg"", ""salt.jpg"", ""wigwam.jpg""]","[""school.jpg"", ""shed.jpg"", ""legume.jpg"", ""wigwam.jpg""]",40,0,wood,green,"[""ferris wheel"", ""school"", ""shed"", ""salt"", ""legume"", ""wigwam""]",wood,"[""school"", ""shed"", ""salt"", ""wigwam""]",40,4,4
34FNN24DCNVE5PTA7JR796MKIGH5YF,A382S0KJMW3K9S,30QQTY5GMK6AP0PUV94DFLYBT2B7U6,Submitted,2022-05-19 14:32:03+03:00,random_1777,"[""school.jpg"", ""shed.jpg"", ""salt.jpg"", ""wigwam.jpg""]","[""school.jpg"", ""shed.jpg"", ""legume.jpg"", ""wigwam.jpg""]",40,0,wood,green,"[""ferris wheel"", ""school"", ""shed"", ""salt"", ""legume"", ""wigwam""]",green,"[""school"", ""shed"", ""legume"", ""wigwam""]",0,4,5
3KYQYYSHYWTXFO41G20S5RCAHLOODZ,A3RTW9UWYKSNWX,3NQUW096N6UBKTQT1SAW2UTYB169LQ,Submitted,2022-05-19 01:19:54+03:00,random_1322,"[""tablespoon.jpg"", ""cog.jpg""]","[""tablespoon.jpg"", ""cog.jpg""]",67,67,reflect,sizes,"[""tater"", ""tablespoon"", ""cog"", ""art"", ""throne"", ""steeple""]",reflect,"[""tablespoon"", ""cog""]",67,2,6
3KYQYYSHYWTXFO41G20S5RCAHLOODZ,A3RTW9UWYKSNWX,3NQUW096N6UBKTQT1SAW2UTYB169LQ,Submitted,2022-05-19 01:19:54+03:00,random_1322,"[""tablespoon.jpg"", ""cog.jpg""]","[""tablespoon.jpg"", ""cog.jpg""]",67,67,reflect,sizes,"[""tater"", ""tablespoon"", ""cog"", ""art"", ""throne"", ""steeple""]",sizes,"[""tablespoon"", ""cog""]",67,2,7
3S4AW7T80C4C97IBAZJ7A6EA94X4LU,A302KOFOYLD89A,3NQUW096N6UBKTQT1SAW2UTYB169LQ,Submitted,2022-05-19 02:06:41+03:00,random_1322,"[""tater.jpg"", ""tablespoon.jpg""]","[""throne.jpg"", ""steeple.jpg""]",0,67,recipe,worship,"[""tater"", ""tablespoon"", ""cog"", ""art"", ""throne"", ""steeple""]",recipe,"[""tater"", ""tablespoon""]",0,2,8
3S4AW7T80C4C97IBAZJ7A6EA94X4LU,A302KOFOYLD89A,3NQUW096N6UBKTQT1SAW2UTYB169LQ,Submitted,2022-05-19 02:06:41+03:00,random_1322,"[""tater.jpg"", ""tablespoon.jpg""]","[""throne.jpg"", ""steeple.jpg""]",0,67,recipe,worship,"[""tater"", ""tablespoon"", ""cog"", ""art"", ""throne"", ""steeple""]",worship,"[""throne"", ""steeple""]",67,2,9
3E7TUJ2EGD8U810VEDHA81HLMNX9D3,A1HKYY6XI2OHO1,3NQUW096N6UBKTQT1SAW2UTYB169LQ,Submitted,2022-05-19 04:55:42+03:00,random_1322,"[""tablespoon.jpg"", ""cog.jpg""]","[""throne.jpg"", ""steeple.jpg""]",100,67,graduated,king,"[""tater"", ""tablespoon"", ""cog"", ""art"", ""throne"", ""steeple""]",graduated,"[""tablespoon"", ""cog""]",100,2,10
3E7TUJ2EGD8U810VEDHA81HLMNX9D3,A1HKYY6XI2OHO1,3NQUW096N6UBKTQT1SAW2UTYB169LQ,Submitted,2022-05-19 04:55:42+03:00,random_1322,"[""tablespoon.jpg"", ""cog.jpg""]","[""throne.jpg"", ""steeple.jpg""]",100,67,graduated,king,"[""tater"", ""tablespoon"", ""cog"", ""art"", ""throne"", ""steeple""]",king,"[""throne"", ""steeple""]",67,2,11
35H6S234SBMCM5J410WFQF2RJ5956Y,A382S0KJMW3K9S,37Y5RYYI0PROP23HOHDBUJTBAY4XSA,Submitted,2022-05-19 03:03:08+03:00,random_1856,"[""crosswalk.jpg"", ""taco.jpg""]","[""licorice.jpg"", ""taco.jpg""]",67,67,delivery,food,"[""makeup"", ""wife"", ""paste"", ""licorice"", ""crosswalk"", ""taco""]",delivery,"[""crosswalk"", ""taco""]",67,2,12
35H6S234SBMCM5J410WFQF2RJ5956Y,A382S0KJMW3K9S,37Y5RYYI0PROP23HOHDBUJTBAY4XSA,Submitted,2022-05-19 03:03:08+03:00,random_1856,"[""crosswalk.jpg"", ""taco.jpg""]","[""licorice.jpg"", ""taco.jpg""]",67,67,delivery,food,"[""makeup"", ""wife"", ""paste"", ""licorice"", ""crosswalk"", ""taco""]",food,"[""licorice"", ""taco""]",67,2,13
3I2PTA7R3UG8E6NRNWEJY920GWMQK7,A19UED74G8FXN3,37Y5RYYI0PROP23HOHDBUJTBAY4XSA,Submitted,2022-05-19 03:45:22+03:00,random_1856,"[""wife.jpg"", ""crosswalk.jpg""]","[""makeup.jpg"", ""taco.jpg""]",67,100,Busy,Countertop,"[""makeup"", ""wife"", ""paste"", ""licorice"", ""crosswalk"", ""taco""]",Busy,"[""wife"", ""crosswalk""]",67,2,14
3I2PTA7R3UG8E6NRNWEJY920GWMQK7,A19UED74G8FXN3,37Y5RYYI0PROP23HOHDBUJTBAY4XSA,Submitted,2022-05-19 03:45:22+03:00,random_1856,"[""wife.jpg"", ""crosswalk.jpg""]","[""makeup.jpg"", ""taco.jpg""]",67,100,Busy,Countertop,"[""makeup"", ""wife"", ""paste"", ""licorice"", ""crosswalk"", ""taco""]",Countertop,"[""makeup"", ""taco""]",100,2,15
3MMN5BL1W0QBXTHSAXF30E1TV9EM3G,A1HKYY6XI2OHO1,37Y5RYYI0PROP23HOHDBUJTBAY4XSA,Submitted,2022-05-19 04:52:45+03:00,random_1856,"[""licorice.jpg"", ""taco.jpg""]","[""makeup.jpg"", ""paste.jpg""]",67,67,tasty,apply,"[""makeup"", ""wife"", ""paste"", ""licorice"", ""crosswalk"", ""taco""]",tasty,"[""licorice"", ""taco""]",67,2,16
3MMN5BL1W0QBXTHSAXF30E1TV9EM3G,A1HKYY6XI2OHO1,37Y5RYYI0PROP23HOHDBUJTBAY4XSA,Submitted,2022-05-19 04:52:45+03:00,random_1856,"[""licorice.jpg"", ""taco.jpg""]","[""makeup.jpg"", ""paste.jpg""]",67,67,tasty,apply,"[""makeup"", ""wife"", ""paste"", ""licorice"", ""crosswalk"", ""taco""]",apply,"[""makeup"", ""paste""]",67,2,17
3C5W7UE9CGCNDRO6UMMR7UQX23FXMP,A2QX3YJXAAHHVV,37MQ8Z1JQEIKK8CTZYK7MFNGEA02YJ,Submitted,2022-05-19 00:38:08+03:00,random_1522,"[""wrinkled.jpg"", ""pullover.jpg""]","[""herbs.jpg"", ""guacamole.jpg""]",0,0,wrinkle,cilantro,"[""hat"", ""herbs"", ""wrinkled"", ""baby"", ""pullover"", ""guacamole""]",wrinkle,"[""wrinkled"", ""pullover""]",0,2,18
3C5W7UE9CGCNDRO6UMMR7UQX23FXMP,A2QX3YJXAAHHVV,37MQ8Z1JQEIKK8CTZYK7MFNGEA02YJ,Submitted,2022-05-19 00:38:08+03:00,random_1522,"[""wrinkled.jpg"", ""pullover.jpg""]","[""herbs.jpg"", ""guacamole.jpg""]",0,0,wrinkle,cilantro,"[""hat"", ""herbs"", ""wrinkled"", ""baby"", ""pullover"", ""guacamole""]",cilantro,"[""herbs"", ""guacamole""]",0,2,19
3Z7EFSHGNA0A45CFHXSD4YLL8PMCXX,A3RTW9UWYKSNWX,37MQ8Z1JQEIKK8CTZYK7MFNGEA02YJ,Submitted,2022-05-19 01:48:31+03:00,random_1522,"[""herbs.jpg"", ""guacamole.jpg""]","[""hat.jpg"", ""pullover.jpg""]",67,0,garnish,wear,"[""hat"", ""herbs"", ""wrinkled"", ""baby"", ""pullover"", ""guacamole""]",garnish,"[""herbs"", ""guacamole""]",67,2,20
3Z7EFSHGNA0A45CFHXSD4YLL8PMCXX,A3RTW9UWYKSNWX,37MQ8Z1JQEIKK8CTZYK7MFNGEA02YJ,Submitted,2022-05-19 01:48:31+03:00,random_1522,"[""herbs.jpg"", ""guacamole.jpg""]","[""hat.jpg"", ""pullover.jpg""]",67,0,garnish,wear,"[""hat"", ""herbs"", ""wrinkled"", ""baby"", ""pullover"", ""guacamole""]",wear,"[""hat"", ""pullover""]",0,2,21
35K3O9HUACZ81H58DUSMOFLHPX5EF5,A382S0KJMW3K9S,37MQ8Z1JQEIKK8CTZYK7MFNGEA02YJ,Submitted,2022-05-19 02:13:14+03:00,random_1522,"[""herbs.jpg"", ""baby.jpg"", ""guacamole.jpg""]","[""herbs.jpg"", ""guacamole.jpg""]",80,67,green,dip,"[""hat"", ""herbs"", ""wrinkled"", ""baby"", ""pullover"", ""guacamole""]",green,"[""herbs"", ""baby"", ""guacamole""]",80,3,22
35K3O9HUACZ81H58DUSMOFLHPX5EF5,A382S0KJMW3K9S,37MQ8Z1JQEIKK8CTZYK7MFNGEA02YJ,Submitted,2022-05-19 02:13:14+03:00,random_1522,"[""herbs.jpg"", ""baby.jpg"", ""guacamole.jpg""]","[""herbs.jpg"", ""guacamole.jpg""]",80,67,green,dip,"[""hat"", ""herbs"", ""wrinkled"", ""baby"", ""pullover"", ""guacamole""]",dip,"[""herbs"", ""guacamole""]",67,2,23
3U4J9857OFXXFLEILKSKZF2FOB8B7V,A3RTW9UWYKSNWX,302OLP89DZTWM86SGLVXV6EVNAACAS,Submitted,2022-05-19 02:02:31+03:00,random_480,"[""hump.jpg"", ""actress.jpg""]","[""hump.jpg"", ""playstation.jpg""]",100,67,side,command,"[""hump"", ""playstation"", ""bandage"", ""actress"", ""silhouette""]",side,"[""hump"", ""actress""]",100,2,24
3U4J9857OFXXFLEILKSKZF2FOB8B7V,A3RTW9UWYKSNWX,302OLP89DZTWM86SGLVXV6EVNAACAS,Submitted,2022-05-19 02:02:31+03:00,random_480,"[""hump.jpg"", ""actress.jpg""]","[""hump.jpg"", ""playstation.jpg""]",100,67,side,command,"[""hump"", ""playstation"", ""bandage"", ""actress"", ""silhouette""]",command,"[""hump"", ""playstation""]",67,2,25
31QNSG6A5SFEDNGBI88A8DCEG6O78V,A302KOFOYLD89A,302OLP89DZTWM86SGLVXV6EVNAACAS,Submitted,2022-05-19 02:08:31+03:00,random_480,"[""actress.jpg"", ""silhouette.jpg""]","[""hump.jpg"", ""actress.jpg""]",0,67,girl,outdoors,"[""hump"", ""playstation"", ""bandage"", ""actress"", ""silhouette""]",girl,"[""actress"", ""silhouette""]",0,2,26
31QNSG6A5SFEDNGBI88A8DCEG6O78V,A302KOFOYLD89A,302OLP89DZTWM86SGLVXV6EVNAACAS,Submitted,2022-05-19 02:08:31+03:00,random_480,"[""actress.jpg"", ""silhouette.jpg""]","[""hump.jpg"", ""actress.jpg""]",0,67,girl,outdoors,"[""hump"", ""playstation"", ""bandage"", ""actress"", ""silhouette""]",outdoors,"[""hump"", ""actress""]",67,2,27
3R3YRB5GRGPUUMLMSELZEWWTE59UAC,A1HKYY6XI2OHO1,302OLP89DZTWM86SGLVXV6EVNAACAS,Submitted,2022-05-19 04:56:11+03:00,random_480,"[""bandage.jpg"", ""actress.jpg""]","[""actress.jpg"", ""silhouette.jpg""]",67,67,wrap,pose,"[""hump"", ""playstation"", ""bandage"", ""actress"", ""silhouette""]",wrap,"[""bandage"", ""actress""]",67,2,28
3R3YRB5GRGPUUMLMSELZEWWTE59UAC,A1HKYY6XI2OHO1,302OLP89DZTWM86SGLVXV6EVNAACAS,Submitted,2022-05-19 04:56:11+03:00,random_480,"[""bandage.jpg"", ""actress.jpg""]","[""actress.jpg"", ""silhouette.jpg""]",67,67,wrap,pose,"[""hump"", ""playstation"", ""bandage"", ""actress"", ""silhouette""]",pose,"[""actress"", ""silhouette""]",67,2,29
3OVHNO1VE7N9ESI8IBB9LPJE1PXZDI,A3RTW9UWYKSNWX,39KV3A5D18TUANXQ649D0KGN85Q7SQ,Submitted,2022-05-19 02:05:22+03:00,random_1771,"[""bell.jpg"", ""two.jpg""]","[""bell.jpg"", ""bedroom.jpg""]",0,0,gold,alarm,"[""signature"", ""model"", ""bell"", ""two"", ""bedroom"", ""jack""]",gold,"[""bell"", ""two""]",0,2,30
3OVHNO1VE7N9ESI8IBB9LPJE1PXZDI,A3RTW9UWYKSNWX,39KV3A5D18TUANXQ649D0KGN85Q7SQ,Submitted,2022-05-19 02:05:22+03:00,random_1771,"[""bell.jpg"", ""two.jpg""]","[""bell.jpg"", ""bedroom.jpg""]",0,0,gold,alarm,"[""signature"", ""model"", ""bell"", ""two"", ""bedroom"", ""jack""]",alarm,"[""bell"", ""bedroom""]",0,2,31
3L70J4KAZH88DKA06JVA4WS5S5IDAP,A1HKYY6XI2OHO1,39KV3A5D18TUANXQ649D0KGN85Q7SQ,Submitted,2022-05-19 05:40:53+03:00,random_1771,"[""model.jpg"", ""bedroom.jpg""]","[""signature.jpg"", ""model.jpg""]",100,100,swipe,notary,"[""signature"", ""model"", ""bell"", ""two"", ""bedroom"", ""jack""]",swipe,"[""model"", ""bedroom""]",100,2,32
3L70J4KAZH88DKA06JVA4WS5S5IDAP,A1HKYY6XI2OHO1,39KV3A5D18TUANXQ649D0KGN85Q7SQ,Submitted,2022-05-19 05:40:53+03:00,random_1771,"[""model.jpg"", ""bedroom.jpg""]","[""signature.jpg"", ""model.jpg""]",100,100,swipe,notary,"[""signature"", ""model"", ""bell"", ""two"", ""bedroom"", ""jack""]",notary,"[""signature"", ""model""]",100,2,33
3VBEN272MLLFP06LP9I9VHP8R4YGST,A382S0KJMW3K9S,39KV3A5D18TUANXQ649D0KGN85Q7SQ,Submitted,2022-05-19 14:20:29+03:00,random_1771,"[""model.jpg"", ""jack.jpg""]","[""signature.jpg"", ""model.jpg""]",67,100,dark,famous,"[""signature"", ""model"", ""bell"", ""two"", ""bedroom"", ""jack""]",dark,"[""model"", ""jack""]",67,2,34
3VBEN272MLLFP06LP9I9VHP8R4YGST,A382S0KJMW3K9S,39KV3A5D18TUANXQ649D0KGN85Q7SQ,Submitted,2022-05-19 14:20:29+03:00,random_1771,"[""model.jpg"", ""jack.jpg""]","[""signature.jpg"", ""model.jpg""]",67,100,dark,famous,"[""signature"", ""model"", ""bell"", ""two"", ""bedroom"", ""jack""]",famous,"[""signature"", ""model""]",100,2,35
3DZQRBDBSM1EVOUXUUBPCN0ZNYE3SR,A1HKYY6XI2OHO1,3X878VYTIE4L6IS40K9ETLX8JFWF7F,Submitted,2022-05-19 02:56:45+03:00,random_1149,"[""hobo.jpg"", ""broken.jpg""]","[""spam.jpg"", ""broken.jpg""]",0,0,heartbroken,cholesterol,"[""hobo"", ""gymnast"", ""braces"", ""tack"", ""spam"", ""broken""]",heartbroken,"[""hobo"", ""broken""]",0,2,36
3DZQRBDBSM1EVOUXUUBPCN0ZNYE3SR,A1HKYY6XI2OHO1,3X878VYTIE4L6IS40K9ETLX8JFWF7F,Submitted,2022-05-19 02:56:45+03:00,random_1149,"[""hobo.jpg"", ""broken.jpg""]","[""spam.jpg"", ""broken.jpg""]",0,0,heartbroken,cholesterol,"[""hobo"", ""gymnast"", ""braces"", ""tack"", ""spam"", ""broken""]",cholesterol,"[""spam"", ""broken""]",0,2,37
3F6KKYWMNCNFX34PFN0FQ2C5RCJDNB,A302KOFOYLD89A,3X878VYTIE4L6IS40K9ETLX8JFWF7F,Submitted,2022-05-19 06:17:27+03:00,random_1149,"[""hobo.jpg"", ""spam.jpg""]","[""hobo.jpg"", ""gymnast.jpg""]",0,67,cook,costume,"[""hobo"", ""gymnast"", ""braces"", ""tack"", ""spam"", ""broken""]",cook,"[""hobo"", ""spam""]",0,2,38
3F6KKYWMNCNFX34PFN0FQ2C5RCJDNB,A302KOFOYLD89A,3X878VYTIE4L6IS40K9ETLX8JFWF7F,Submitted,2022-05-19 06:17:27+03:00,random_1149,"[""hobo.jpg"", ""spam.jpg""]","[""hobo.jpg"", ""gymnast.jpg""]",0,67,cook,costume,"[""hobo"", ""gymnast"", ""braces"", ""tack"", ""spam"", ""broken""]",costume,"[""hobo"", ""gymnast""]",67,2,39
3LOTDFNYA8L2IHRZYUMSALSHW16FWI,A3RTW9UWYKSNWX,3X878VYTIE4L6IS40K9ETLX8JFWF7F,Submitted,2022-05-19 07:06:23+03:00,random_1149,"[""gymnast.jpg"", ""tack.jpg""]","[""braces.jpg"", ""broken.jpg""]",100,67,tan,fix,"[""hobo"", ""gymnast"", ""braces"", ""tack"", ""spam"", ""broken""]",tan,"[""gymnast"", ""tack""]",100,2,40
3LOTDFNYA8L2IHRZYUMSALSHW16FWI,A3RTW9UWYKSNWX,3X878VYTIE4L6IS40K9ETLX8JFWF7F,Submitted,2022-05-19 07:06:23+03:00,random_1149,"[""gymnast.jpg"", ""tack.jpg""]","[""braces.jpg"", ""broken.jpg""]",100,67,tan,fix,"[""hobo"", ""gymnast"", ""braces"", ""tack"", ""spam"", ""broken""]",fix,"[""braces"", ""broken""]",67,2,41
3WQ3B2KGE92J4ZZGW4BBY5B2LP5B1V,A3RTW9UWYKSNWX,386T3MLZLNHY9SIX77IZ4E6ZOXD08J,Submitted,2022-05-19 01:34:29+03:00,random_1154,"[""hedge.jpg"", ""next door.jpg"", ""radar.jpg""]","[""downstairs.jpg"", ""radar.jpg""]",0,67,green,trip,"[""hedge"", ""downstairs"", ""next door"", ""vodka"", ""radar"", ""jacket""]",green,"[""hedge"", ""next door"", ""radar""]",0,3,42
3WQ3B2KGE92J4ZZGW4BBY5B2LP5B1V,A3RTW9UWYKSNWX,386T3MLZLNHY9SIX77IZ4E6ZOXD08J,Submitted,2022-05-19 01:34:29+03:00,random_1154,"[""hedge.jpg"", ""next door.jpg"", ""radar.jpg""]","[""downstairs.jpg"", ""radar.jpg""]",0,67,green,trip,"[""hedge"", ""downstairs"", ""next door"", ""vodka"", ""radar"", ""jacket""]",trip,"[""downstairs"", ""radar""]",67,2,43
