AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images_q1,selected_images_q2,score_fooling_ai_1,score_fooling_ai_2,cue1,cue2,candidates,cue,associations,score,num_associations,annotation_index
3VNL7UK1XG5AQ0N53PHHN1LISYDFTZ,A382S0KJMW3K9S,3L1EFR8WWTRPK1GXFH7Y7HOEE9VF9A,Submitted,2022-05-25 03:38:53+03:00,random_10_12_candidates_522,"[""painter.jpg"", ""bride.jpg""]","[""chili.jpg"", ""fast food.jpg"", ""shake.jpg""]",67,50,female,edible,"[""chili"", ""gold"", ""painter"", ""butler"", ""miner"", ""graph"", ""pager"", ""bride"", ""fast food"", ""shake""]",female,"[""painter"", ""bride""]",67,2,0
3VNL7UK1XG5AQ0N53PHHN1LISYDFTZ,A382S0KJMW3K9S,3L1EFR8WWTRPK1GXFH7Y7HOEE9VF9A,Submitted,2022-05-25 03:38:53+03:00,random_10_12_candidates_522,"[""painter.jpg"", ""bride.jpg""]","[""chili.jpg"", ""fast food.jpg"", ""shake.jpg""]",67,50,female,edible,"[""chili"", ""gold"", ""painter"", ""butler"", ""miner"", ""graph"", ""pager"", ""bride"", ""fast food"", ""shake""]",edible,"[""chili"", ""fast food"", ""shake""]",50,3,1
3ZAZR5XV024Z90CUIFGY1J1WHIPZC9,A1HKYY6XI2OHO1,3L1EFR8WWTRPK1GXFH7Y7HOEE9VF9A,Submitted,2022-05-25 07:10:38+03:00,random_10_12_candidates_522,"[""fast food.jpg"", ""shake.jpg""]","[""butler.jpg"", ""bride.jpg""]",0,67,ordered,formal,"[""chili"", ""gold"", ""painter"", ""butler"", ""miner"", ""graph"", ""pager"", ""bride"", ""fast food"", ""shake""]",ordered,"[""fast food"", ""shake""]",0,2,2
3ZAZR5XV024Z90CUIFGY1J1WHIPZC9,A1HKYY6XI2OHO1,3L1EFR8WWTRPK1GXFH7Y7HOEE9VF9A,Submitted,2022-05-25 07:10:38+03:00,random_10_12_candidates_522,"[""fast food.jpg"", ""shake.jpg""]","[""butler.jpg"", ""bride.jpg""]",0,67,ordered,formal,"[""chili"", ""gold"", ""painter"", ""butler"", ""miner"", ""graph"", ""pager"", ""bride"", ""fast food"", ""shake""]",formal,"[""butler"", ""bride""]",67,2,3
3WAKVUDHUX2CBKNOLB9F45U3EVFU7U,A3RTW9UWYKSNWX,3L1EFR8WWTRPK1GXFH7Y7HOEE9VF9A,Submitted,2022-05-26 11:17:28+03:00,random_10_12_candidates_522,"[""chili.jpg"", ""fast food.jpg""]","[""gold.jpg"", ""bride.jpg""]",100,0,digest,jewelry,"[""chili"", ""gold"", ""painter"", ""butler"", ""miner"", ""graph"", ""pager"", ""bride"", ""fast food"", ""shake""]",digest,"[""chili"", ""fast food""]",100,2,4
3WAKVUDHUX2CBKNOLB9F45U3EVFU7U,A3RTW9UWYKSNWX,3L1EFR8WWTRPK1GXFH7Y7HOEE9VF9A,Submitted,2022-05-26 11:17:28+03:00,random_10_12_candidates_522,"[""chili.jpg"", ""fast food.jpg""]","[""gold.jpg"", ""bride.jpg""]",100,0,digest,jewelry,"[""chili"", ""gold"", ""painter"", ""butler"", ""miner"", ""graph"", ""pager"", ""bride"", ""fast food"", ""shake""]",jewelry,"[""gold"", ""bride""]",0,2,5
3TMFV4NEP90T32HCQGGM0TBVAP2W8C,A1HKYY6XI2OHO1,3S1L4CQSFXR3PKQ27NLY3CZYKRDFAP,Submitted,2022-05-25 07:27:13+03:00,random_10_12_candidates_785,"[""honk.jpg"", ""tag.jpg""]","[""rice.jpg"", ""grass.jpg""]",100,0,red,grains,"[""mice"", ""swamp"", ""honk"", ""clock"", ""yellow"", ""rice"", ""notebook"", ""grass"", ""joint"", ""scale"", ""elevator"", ""tag""]",red,"[""honk"", ""tag""]",100,2,6
3TMFV4NEP90T32HCQGGM0TBVAP2W8C,A1HKYY6XI2OHO1,3S1L4CQSFXR3PKQ27NLY3CZYKRDFAP,Submitted,2022-05-25 07:27:13+03:00,random_10_12_candidates_785,"[""honk.jpg"", ""tag.jpg""]","[""rice.jpg"", ""grass.jpg""]",100,0,red,grains,"[""mice"", ""swamp"", ""honk"", ""clock"", ""yellow"", ""rice"", ""notebook"", ""grass"", ""joint"", ""scale"", ""elevator"", ""tag""]",grains,"[""rice"", ""grass""]",0,2,7
3LRLIPTPERVGRQGAY0HX89NVD79AKG,A382S0KJMW3K9S,3S1L4CQSFXR3PKQ27NLY3CZYKRDFAP,Submitted,2022-05-25 15:55:49+03:00,random_10_12_candidates_785,"[""swamp.jpg"", ""grass.jpg""]","[""clock.jpg"", ""tag.jpg""]",67,67,green,auction,"[""mice"", ""swamp"", ""honk"", ""clock"", ""yellow"", ""rice"", ""notebook"", ""grass"", ""joint"", ""scale"", ""elevator"", ""tag""]",green,"[""swamp"", ""grass""]",67,2,8
3LRLIPTPERVGRQGAY0HX89NVD79AKG,A382S0KJMW3K9S,3S1L4CQSFXR3PKQ27NLY3CZYKRDFAP,Submitted,2022-05-25 15:55:49+03:00,random_10_12_candidates_785,"[""swamp.jpg"", ""grass.jpg""]","[""clock.jpg"", ""tag.jpg""]",67,67,green,auction,"[""mice"", ""swamp"", ""honk"", ""clock"", ""yellow"", ""rice"", ""notebook"", ""grass"", ""joint"", ""scale"", ""elevator"", ""tag""]",auction,"[""clock"", ""tag""]",67,2,9
