AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images_q1,selected_images_q2,score_fooling_ai_1,score_fooling_ai_2,cue1,cue2,candidates,cue,associations,score,num_associations,annotation_index
345LHZDEDYEUA1M1JZ6PROIN82SU35,A377LTGWJKY2IW,3K2CEDRACBNEAQHSZAGST79Z5E3TMI,Submitted,2022-05-20 16:22:01+03:00,random_1922,"[""net.jpg"", ""nap.jpg"", ""gin.jpg""]","[""march.jpg"", ""warrior.jpg""]",0,100,relax,power,"[""march"", ""warrior"", ""noodle"", ""net"", ""nap"", ""gin""]",relax,"[""net"", ""nap"", ""gin""]",0,3,0
345LHZDEDYEUA1M1JZ6PROIN82SU35,A377LTGWJKY2IW,3K2CEDRACBNEAQHSZAGST79Z5E3TMI,Submitted,2022-05-20 16:22:01+03:00,random_1922,"[""net.jpg"", ""nap.jpg"", ""gin.jpg""]","[""march.jpg"", ""warrior.jpg""]",0,100,relax,power,"[""march"", ""warrior"", ""noodle"", ""net"", ""nap"", ""gin""]",power,"[""march"", ""warrior""]",100,2,1
35USIKEBNS2GCUPA50S1KW2DAZ5N6K,AZLZA0Q87TJZO,3K2CEDRACBNEAQHSZAGST79Z5E3TMI,Submitted,2022-05-20 18:16:29+03:00,random_1922,"[""noodle.jpg"", ""nap.jpg"", ""gin.jpg""]","[""march.jpg"", ""nap.jpg""]",80,67,college,routine,"[""march"", ""warrior"", ""noodle"", ""net"", ""nap"", ""gin""]",college,"[""noodle"", ""nap"", ""gin""]",80,3,2
35USIKEBNS2GCUPA50S1KW2DAZ5N6K,AZLZA0Q87TJZO,3K2CEDRACBNEAQHSZAGST79Z5E3TMI,Submitted,2022-05-20 18:16:29+03:00,random_1922,"[""noodle.jpg"", ""nap.jpg"", ""gin.jpg""]","[""march.jpg"", ""nap.jpg""]",80,67,college,routine,"[""march"", ""warrior"", ""noodle"", ""net"", ""nap"", ""gin""]",routine,"[""march"", ""nap""]",67,2,3
34T446B1C1027F64EL36VKYAYUR0C4,A1HKYY6XI2OHO1,3K2CEDRACBNEAQHSZAGST79Z5E3TMI,Submitted,2022-05-20 21:32:27+03:00,random_1922,"[""march.jpg"", ""nap.jpg""]","[""noodle.jpg"", ""net.jpg""]",100,0,out,strands,"[""march"", ""warrior"", ""noodle"", ""net"", ""nap"", ""gin""]",out,"[""march"", ""nap""]",100,2,4
34T446B1C1027F64EL36VKYAYUR0C4,A1HKYY6XI2OHO1,3K2CEDRACBNEAQHSZAGST79Z5E3TMI,Submitted,2022-05-20 21:32:27+03:00,random_1922,"[""march.jpg"", ""nap.jpg""]","[""noodle.jpg"", ""net.jpg""]",100,0,out,strands,"[""march"", ""warrior"", ""noodle"", ""net"", ""nap"", ""gin""]",strands,"[""noodle"", ""net""]",0,2,5
3HUTX6F6VV9ACE6LJDGB98L6K2I2O3,A302KOFOYLD89A,36BTXXLZ2VULQLFUPHB17YRHV2LR48,Submitted,2022-05-20 12:33:36+03:00,random_276,"[""rabbit.jpg"", ""kitchen.jpg""]","[""rabbit.jpg"", ""kitchen.jpg""]",67,67,seated,wood,"[""resident"", ""rabbit"", ""troll"", ""kitchen"", ""male""]",seated,"[""rabbit"", ""kitchen""]",67,2,6
3HUTX6F6VV9ACE6LJDGB98L6K2I2O3,A302KOFOYLD89A,36BTXXLZ2VULQLFUPHB17YRHV2LR48,Submitted,2022-05-20 12:33:36+03:00,random_276,"[""rabbit.jpg"", ""kitchen.jpg""]","[""rabbit.jpg"", ""kitchen.jpg""]",67,67,seated,wood,"[""resident"", ""rabbit"", ""troll"", ""kitchen"", ""male""]",wood,"[""rabbit"", ""kitchen""]",67,2,7
3TUI152ZZC968515FM81TU6170KQ1M,A1HKYY6XI2OHO1,36BTXXLZ2VULQLFUPHB17YRHV2LR48,Submitted,2022-05-20 19:55:09+03:00,random_276,"[""rabbit.jpg"", ""troll.jpg""]","[""resident.jpg"", ""troll.jpg""]",0,0,poofy,scary,"[""resident"", ""rabbit"", ""troll"", ""kitchen"", ""male""]",poofy,"[""rabbit"", ""troll""]",0,2,8
3TUI152ZZC968515FM81TU6170KQ1M,A1HKYY6XI2OHO1,36BTXXLZ2VULQLFUPHB17YRHV2LR48,Submitted,2022-05-20 19:55:09+03:00,random_276,"[""rabbit.jpg"", ""troll.jpg""]","[""resident.jpg"", ""troll.jpg""]",0,0,poofy,scary,"[""resident"", ""rabbit"", ""troll"", ""kitchen"", ""male""]",scary,"[""resident"", ""troll""]",0,2,9
3YDTZAI2WY2ZJ0E7HP1OQR5WBAS149,A2QX3YJXAAHHVV,36BTXXLZ2VULQLFUPHB17YRHV2LR48,Submitted,2022-05-20 22:06:20+03:00,random_276,"[""kitchen.jpg"", ""male.jpg""]","[""kitchen.jpg"", ""male.jpg""]",67,67,picture,frame,"[""resident"", ""rabbit"", ""troll"", ""kitchen"", ""male""]",picture,"[""kitchen"", ""male""]",67,2,10
3YDTZAI2WY2ZJ0E7HP1OQR5WBAS149,A2QX3YJXAAHHVV,36BTXXLZ2VULQLFUPHB17YRHV2LR48,Submitted,2022-05-20 22:06:20+03:00,random_276,"[""kitchen.jpg"", ""male.jpg""]","[""kitchen.jpg"", ""male.jpg""]",67,67,picture,frame,"[""resident"", ""rabbit"", ""troll"", ""kitchen"", ""male""]",frame,"[""kitchen"", ""male""]",67,2,11
3KJYX6QCMAX58UDQRA8H3H1VI9JJVX,A3UJSDFJ9LBQ6Z,3V7ICJJAZA2YAEY5TKPB7JMDDHJ4BB,Submitted,2022-05-20 20:40:01+03:00,random_1243,"[""curry.jpg"", ""ketchup.jpg"", ""radish.jpg""]","[""circus.jpg"", ""mall.jpg""]",50,100,produce,recreation,"[""circus"", ""mall"", ""curry"", ""ketchup"", ""radish"", ""leaf""]",produce,"[""curry"", ""ketchup"", ""radish""]",50,3,12
3KJYX6QCMAX58UDQRA8H3H1VI9JJVX,A3UJSDFJ9LBQ6Z,3V7ICJJAZA2YAEY5TKPB7JMDDHJ4BB,Submitted,2022-05-20 20:40:01+03:00,random_1243,"[""curry.jpg"", ""ketchup.jpg"", ""radish.jpg""]","[""circus.jpg"", ""mall.jpg""]",50,100,produce,recreation,"[""circus"", ""mall"", ""curry"", ""ketchup"", ""radish"", ""leaf""]",recreation,"[""circus"", ""mall""]",100,2,13
