AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images_q1,selected_images_q2,score_fooling_ai_1,score_fooling_ai_2,cue1,cue2,candidates,cue,associations,score,num_associations,annotation_index
3EKVH9QMEZQJ8HFWT42VYE97FZND2E,A3RTW9UWYKSNWX,33BFF6QPI1X5GLDCOXGOKS7S9DUW3D,Submitted,2022-05-15 00:08:15+03:00,1650,"[""zeppelin.jpg"", ""swimming.jpg""]","[""fat.jpg"", ""jeans.jpg""]",0,0,glide,walk,"[""fat"", ""jeans"", ""tag"", ""plumbing"", ""zeppelin"", ""swimming""]",glide,"[""zeppelin"", ""swimming""]",0,2,0
3EKVH9QMEZQJ8HFWT42VYE97FZND2E,A3RTW9UWYKSNWX,33BFF6QPI1X5GLDCOXGOKS7S9DUW3D,Submitted,2022-05-15 00:08:15+03:00,1650,"[""zeppelin.jpg"", ""swimming.jpg""]","[""fat.jpg"", ""jeans.jpg""]",0,0,glide,walk,"[""fat"", ""jeans"", ""tag"", ""plumbing"", ""zeppelin"", ""swimming""]",walk,"[""fat"", ""jeans""]",0,2,1
3KMS4QQVK3CBNHXI9G3PMAYM8CWFKK,A1HKYY6XI2OHO1,33BFF6QPI1X5GLDCOXGOKS7S9DUW3D,Submitted,2022-05-15 02:47:26+03:00,1650,"[""fat.jpg"", ""swimming.jpg""]","[""zeppelin.jpg"", ""swimming.jpg""]",67,0,skin,float,"[""fat"", ""jeans"", ""tag"", ""plumbing"", ""zeppelin"", ""swimming""]",skin,"[""fat"", ""swimming""]",67,2,2
3KMS4QQVK3CBNHXI9G3PMAYM8CWFKK,A1HKYY6XI2OHO1,33BFF6QPI1X5GLDCOXGOKS7S9DUW3D,Submitted,2022-05-15 02:47:26+03:00,1650,"[""fat.jpg"", ""swimming.jpg""]","[""zeppelin.jpg"", ""swimming.jpg""]",67,0,skin,float,"[""fat"", ""jeans"", ""tag"", ""plumbing"", ""zeppelin"", ""swimming""]",float,"[""zeppelin"", ""swimming""]",0,2,3
3LKC68YZ3BPWOU4SXX5IXF1VNL5WOU,AKQAI78JTXXC9,33BFF6QPI1X5GLDCOXGOKS7S9DUW3D,Submitted,2022-05-15 06:23:11+03:00,1650,"[""fat.jpg"", ""jeans.jpg""]","[""fat.jpg"", ""tag.jpg""]",0,67,woman,disappoint,"[""fat"", ""jeans"", ""tag"", ""plumbing"", ""zeppelin"", ""swimming""]",woman,"[""fat"", ""jeans""]",0,2,4
3LKC68YZ3BPWOU4SXX5IXF1VNL5WOU,AKQAI78JTXXC9,33BFF6QPI1X5GLDCOXGOKS7S9DUW3D,Submitted,2022-05-15 06:23:11+03:00,1650,"[""fat.jpg"", ""jeans.jpg""]","[""fat.jpg"", ""tag.jpg""]",0,67,woman,disappoint,"[""fat"", ""jeans"", ""tag"", ""plumbing"", ""zeppelin"", ""swimming""]",disappoint,"[""fat"", ""tag""]",67,2,5
3VELCLL3GL59HGBW16X7HV2NZ731FC,A19UED74G8FXN3,3BKZLF990ZL1CREE19A8IXLJUD8QY9,Submitted,2022-05-15 05:06:01+03:00,119,"[""climb.jpg"", ""dawn.jpg""]","[""climb.jpg"", ""chess.jpg""]",67,0,Dismay,Challenging,"[""climb"", ""chess"", ""dawn"", ""string"", ""tie""]",Dismay,"[""climb"", ""dawn""]",67,2,6
3VELCLL3GL59HGBW16X7HV2NZ731FC,A19UED74G8FXN3,3BKZLF990ZL1CREE19A8IXLJUD8QY9,Submitted,2022-05-15 05:06:01+03:00,119,"[""climb.jpg"", ""dawn.jpg""]","[""climb.jpg"", ""chess.jpg""]",67,0,Dismay,Challenging,"[""climb"", ""chess"", ""dawn"", ""string"", ""tie""]",Challenging,"[""climb"", ""chess""]",0,2,7
3OVR4I9USQ5N04YO24R3RSD4ITP4QP,AKQAI78JTXXC9,3BKZLF990ZL1CREE19A8IXLJUD8QY9,Submitted,2022-05-15 06:23:56+03:00,119,"[""climb.jpg"", ""dawn.jpg"", ""tie.jpg""]","[""climb.jpg"", ""tie.jpg""]",0,67,man,work,"[""climb"", ""chess"", ""dawn"", ""string"", ""tie""]",man,"[""climb"", ""dawn"", ""tie""]",0,3,8
3OVR4I9USQ5N04YO24R3RSD4ITP4QP,AKQAI78JTXXC9,3BKZLF990ZL1CREE19A8IXLJUD8QY9,Submitted,2022-05-15 06:23:56+03:00,119,"[""climb.jpg"", ""dawn.jpg"", ""tie.jpg""]","[""climb.jpg"", ""tie.jpg""]",0,67,man,work,"[""climb"", ""chess"", ""dawn"", ""string"", ""tie""]",work,"[""climb"", ""tie""]",67,2,9
3FQ5JJ512MANB9AZ74M2UF7VA4YNKH,A1HKYY6XI2OHO1,3BKZLF990ZL1CREE19A8IXLJUD8QY9,Submitted,2022-05-15 10:19:55+03:00,119,"[""climb.jpg"", ""dawn.jpg""]","[""climb.jpg"", ""tie.jpg""]",67,67,brawny,outfit,"[""climb"", ""chess"", ""dawn"", ""string"", ""tie""]",brawny,"[""climb"", ""dawn""]",67,2,10
3FQ5JJ512MANB9AZ74M2UF7VA4YNKH,A1HKYY6XI2OHO1,3BKZLF990ZL1CREE19A8IXLJUD8QY9,Submitted,2022-05-15 10:19:55+03:00,119,"[""climb.jpg"", ""dawn.jpg""]","[""climb.jpg"", ""tie.jpg""]",67,67,brawny,outfit,"[""climb"", ""chess"", ""dawn"", ""string"", ""tie""]",outfit,"[""climb"", ""tie""]",67,2,11
3P4MQ7TPPYYKHXH8Y1404HOB6K8BBR,A1HKYY6XI2OHO1,3RBI0I35XEP95Q8C3YYC5PS8KLUY3E,Submitted,2022-05-14 19:57:53+03:00,566,"[""iris.jpg"", ""pencil.jpg""]","[""rubber.jpg"", ""coil.jpg""]",0,67,vibrant,roll,"[""rubber"", ""iris"", ""skip"", ""pencil"", ""coil""]",vibrant,"[""iris"", ""pencil""]",0,2,12
3P4MQ7TPPYYKHXH8Y1404HOB6K8BBR,A1HKYY6XI2OHO1,3RBI0I35XEP95Q8C3YYC5PS8KLUY3E,Submitted,2022-05-14 19:57:53+03:00,566,"[""iris.jpg"", ""pencil.jpg""]","[""rubber.jpg"", ""coil.jpg""]",0,67,vibrant,roll,"[""rubber"", ""iris"", ""skip"", ""pencil"", ""coil""]",roll,"[""rubber"", ""coil""]",67,2,13
3E7TUJ2EGD8U810VEDHA81HLL6HD9S,AHB3QFZSFN9DL,3RBI0I35XEP95Q8C3YYC5PS8KLUY3E,Submitted,2022-05-15 08:34:13+03:00,566,"[""skip.jpg"", ""pencil.jpg""]","[""rubber.jpg"", ""coil.jpg""]",67,0,Wood,Coil,"[""rubber"", ""iris"", ""skip"", ""pencil"", ""coil""]",Wood,"[""skip"", ""pencil""]",67,2,14
