AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images_q1,selected_images_q2,score_fooling_ai_1,score_fooling_ai_2,cue1,cue2,candidates,cue,associations,num_associations,annotation_index
33F859I567ZU8AKUYTEWQSR91U4HBY,A1HKYY6XI2OHO1,3DFYDSXB2WM39VQWWITAIB3KKUSJU0,Submitted,2022-05-13 22:10:52+03:00,754,"[""eagle.jpg"", ""ash.jpg""]","[""teepee.jpg"", ""ash.jpg""]",0,0,bald,plush,"[""eagle.jpg"", ""teepee.jpg"", ""factory.jpg"", ""metal.jpg"", ""ash.jpg""]",plush,"[""teepee"", ""ash""]",2,0
33F859I567ZU8AKUYTEWQSR91U4HBY,A1HKYY6XI2OHO1,3DFYDSXB2WM39VQWWITAIB3KKUSJU0,Submitted,2022-05-13 22:10:52+03:00,754,"[""eagle.jpg"", ""ash.jpg""]","[""teepee.jpg"", ""ash.jpg""]",0,0,bald,plush,"[""eagle.jpg"", ""teepee.jpg"", ""factory.jpg"", ""metal.jpg"", ""ash.jpg""]",plush,"[""teepee"", ""ash""]",2,1
3RWE2M8QWIWLYJ3V3BCKBVSMW3I0N8,AZLZA0Q87TJZO,3DFYDSXB2WM39VQWWITAIB3KKUSJU0,Submitted,2022-05-13 22:18:10+03:00,754,"[""eagle.jpg"", ""teepee.jpg""]","[""factory.jpg"", ""metal.jpg""]",67,67,west,contractor,"[""eagle.jpg"", ""teepee.jpg"", ""factory.jpg"", ""metal.jpg"", ""ash.jpg""]",contractor,"[""factory"", ""metal""]",2,2
3RWE2M8QWIWLYJ3V3BCKBVSMW3I0N8,AZLZA0Q87TJZO,3DFYDSXB2WM39VQWWITAIB3KKUSJU0,Submitted,2022-05-13 22:18:10+03:00,754,"[""eagle.jpg"", ""teepee.jpg""]","[""factory.jpg"", ""metal.jpg""]",67,67,west,contractor,"[""eagle.jpg"", ""teepee.jpg"", ""factory.jpg"", ""metal.jpg"", ""ash.jpg""]",contractor,"[""factory"", ""metal""]",2,3
3KYQYYSHYWTXFO41G20S5RCAG2WDOT,A382S0KJMW3K9S,3DFYDSXB2WM39VQWWITAIB3KKUSJU0,Submitted,2022-05-13 22:25:46+03:00,754,"[""eagle.jpg"", ""teepee.jpg""]","[""eagle.jpg"", ""teepee.jpg""]",67,67,forest,outside,"[""eagle.jpg"", ""teepee.jpg"", ""factory.jpg"", ""metal.jpg"", ""ash.jpg""]",outside,"[""eagle"", ""teepee""]",2,4
3KYQYYSHYWTXFO41G20S5RCAG2WDOT,A382S0KJMW3K9S,3DFYDSXB2WM39VQWWITAIB3KKUSJU0,Submitted,2022-05-13 22:25:46+03:00,754,"[""eagle.jpg"", ""teepee.jpg""]","[""eagle.jpg"", ""teepee.jpg""]",67,67,forest,outside,"[""eagle.jpg"", ""teepee.jpg"", ""factory.jpg"", ""metal.jpg"", ""ash.jpg""]",outside,"[""eagle"", ""teepee""]",2,5
3VD82FOHKRANAWYNG65HLLUSV0BCOF,AZLZA0Q87TJZO,3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,Submitted,2022-05-13 19:27:35+03:00,1667,"[""card.jpg"", ""cut.jpg"", ""postman.jpg""]","[""card.jpg"", ""outfit.jpg""]",50,67,diagonal,spend,"[""school.jpg"", ""card.jpg"", ""outfit.jpg"", ""cut.jpg"", ""spades.jpg"", ""postman.jpg""]",spend,"[""card"", ""outfit""]",2,6
3VD82FOHKRANAWYNG65HLLUSV0BCOF,AZLZA0Q87TJZO,3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,Submitted,2022-05-13 19:27:35+03:00,1667,"[""card.jpg"", ""cut.jpg"", ""postman.jpg""]","[""card.jpg"", ""outfit.jpg""]",50,67,diagonal,spend,"[""school.jpg"", ""card.jpg"", ""outfit.jpg"", ""cut.jpg"", ""spades.jpg"", ""postman.jpg""]",spend,"[""card"", ""outfit""]",2,7
39RP059MEIFG0OL5PQU9IXZ5IGNMBW,A1HKYY6XI2OHO1,3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,Submitted,2022-05-13 21:10:05+03:00,1667,"[""card.jpg"", ""spades.jpg""]","[""outfit.jpg"", ""cut.jpg"", ""postman.jpg""]",67,50,game,angle,"[""school.jpg"", ""card.jpg"", ""outfit.jpg"", ""cut.jpg"", ""spades.jpg"", ""postman.jpg""]",angle,"[""outfit"", ""cut"", ""postman""]",3,8
39RP059MEIFG0OL5PQU9IXZ5IGNMBW,A1HKYY6XI2OHO1,3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,Submitted,2022-05-13 21:10:05+03:00,1667,"[""card.jpg"", ""spades.jpg""]","[""outfit.jpg"", ""cut.jpg"", ""postman.jpg""]",67,50,game,angle,"[""school.jpg"", ""card.jpg"", ""outfit.jpg"", ""cut.jpg"", ""spades.jpg"", ""postman.jpg""]",angle,"[""outfit"", ""cut"", ""postman""]",3,9
