AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images_q1,selected_images_q2,score_fooling_ai_1,score_fooling_ai_2,cue1,cue2,candidates,cue,associations,score,num_associations,annotation_index
33F859I567ZU8AKUYTEWQSR91U4HBY,A1HKYY6XI2OHO1,3DFYDSXB2WM39VQWWITAIB3KKUSJU0,Submitted,2022-05-13 22:10:52+03:00,754,"[""eagle.jpg"", ""ash.jpg""]","[""teepee.jpg"", ""ash.jpg""]",0,0,bald,plush,"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",bald,"[""eagle"", ""ash""]",0,2,0
33F859I567ZU8AKUYTEWQSR91U4HBY,A1HKYY6XI2OHO1,3DFYDSXB2WM39VQWWITAIB3KKUSJU0,Submitted,2022-05-13 22:10:52+03:00,754,"[""eagle.jpg"", ""ash.jpg""]","[""teepee.jpg"", ""ash.jpg""]",0,0,bald,plush,"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",plush,"[""teepee"", ""ash""]",0,2,1
3RWE2M8QWIWLYJ3V3BCKBVSMW3I0N8,AZLZA0Q87TJZO,3DFYDSXB2WM39VQWWITAIB3KKUSJU0,Submitted,2022-05-13 22:18:10+03:00,754,"[""eagle.jpg"", ""teepee.jpg""]","[""factory.jpg"", ""metal.jpg""]",67,67,west,contractor,"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",west,"[""eagle"", ""teepee""]",67,2,2
3RWE2M8QWIWLYJ3V3BCKBVSMW3I0N8,AZLZA0Q87TJZO,3DFYDSXB2WM39VQWWITAIB3KKUSJU0,Submitted,2022-05-13 22:18:10+03:00,754,"[""eagle.jpg"", ""teepee.jpg""]","[""factory.jpg"", ""metal.jpg""]",67,67,west,contractor,"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",contractor,"[""factory"", ""metal""]",67,2,3
3KYQYYSHYWTXFO41G20S5RCAG2WDOT,A382S0KJMW3K9S,3DFYDSXB2WM39VQWWITAIB3KKUSJU0,Submitted,2022-05-13 22:25:46+03:00,754,"[""eagle.jpg"", ""teepee.jpg""]","[""eagle.jpg"", ""teepee.jpg""]",67,67,forest,outside,"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",forest,"[""eagle"", ""teepee""]",67,2,4
3KYQYYSHYWTXFO41G20S5RCAG2WDOT,A382S0KJMW3K9S,3DFYDSXB2WM39VQWWITAIB3KKUSJU0,Submitted,2022-05-13 22:25:46+03:00,754,"[""eagle.jpg"", ""teepee.jpg""]","[""eagle.jpg"", ""teepee.jpg""]",67,67,forest,outside,"[""eagle"", ""teepee"", ""factory"", ""metal"", ""ash""]",outside,"[""eagle"", ""teepee""]",67,2,5
3VD82FOHKRANAWYNG65HLLUSV0BCOF,AZLZA0Q87TJZO,3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,Submitted,2022-05-13 19:27:35+03:00,1667,"[""card.jpg"", ""cut.jpg"", ""postman.jpg""]","[""card.jpg"", ""outfit.jpg""]",50,67,diagonal,spend,"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",diagonal,"[""card"", ""cut"", ""postman""]",50,3,6
3VD82FOHKRANAWYNG65HLLUSV0BCOF,AZLZA0Q87TJZO,3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,Submitted,2022-05-13 19:27:35+03:00,1667,"[""card.jpg"", ""cut.jpg"", ""postman.jpg""]","[""card.jpg"", ""outfit.jpg""]",50,67,diagonal,spend,"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",spend,"[""card"", ""outfit""]",67,2,7
39RP059MEIFG0OL5PQU9IXZ5IGNMBW,A1HKYY6XI2OHO1,3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,Submitted,2022-05-13 21:10:05+03:00,1667,"[""card.jpg"", ""spades.jpg""]","[""outfit.jpg"", ""cut.jpg"", ""postman.jpg""]",67,50,game,angle,"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",game,"[""card"", ""spades""]",67,2,8
39RP059MEIFG0OL5PQU9IXZ5IGNMBW,A1HKYY6XI2OHO1,3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,Submitted,2022-05-13 21:10:05+03:00,1667,"[""card.jpg"", ""spades.jpg""]","[""outfit.jpg"", ""cut.jpg"", ""postman.jpg""]",67,50,game,angle,"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",angle,"[""outfit"", ""cut"", ""postman""]",50,3,9
3EICBYG645I99L7Q0TDCDPD6W7TCJQ,A2QX3YJXAAHHVV,3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,Submitted,2022-05-13 21:12:21+03:00,1667,"[""school.jpg"", ""outfit.jpg""]","[""cut.jpg"", ""postman.jpg""]",67,67,freshman,slanting,"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",freshman,"[""school"", ""outfit""]",67,2,10
3EICBYG645I99L7Q0TDCDPD6W7TCJQ,A2QX3YJXAAHHVV,3ACRLU860N0G2GVYIQ1OG5Y4Q1PBEQ,Submitted,2022-05-13 21:12:21+03:00,1667,"[""school.jpg"", ""outfit.jpg""]","[""cut.jpg"", ""postman.jpg""]",67,67,freshman,slanting,"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",slanting,"[""cut"", ""postman""]",67,2,11
3NJM2BJS4XS5VWAOV6IWALZI55ECP3,A2QX3YJXAAHHVV,360ZO6N6J15VQB8E14BB278NB3DM9G,Submitted,2022-05-13 19:48:14+03:00,1592,"[""field.jpg"", ""yak.jpg"", ""grass.jpg""]","[""disc.jpg"", ""yak.jpg""]",0,0,graze,brown,"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",graze,"[""field"", ""yak"", ""grass""]",0,3,12
3NJM2BJS4XS5VWAOV6IWALZI55ECP3,A2QX3YJXAAHHVV,360ZO6N6J15VQB8E14BB278NB3DM9G,Submitted,2022-05-13 19:48:14+03:00,1592,"[""field.jpg"", ""yak.jpg"", ""grass.jpg""]","[""disc.jpg"", ""yak.jpg""]",0,0,graze,brown,"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",brown,"[""disc"", ""yak""]",0,2,13
3BC8WZX3V4IUDBFMQVCG4BYJ6P6RRJ,A382S0KJMW3K9S,360ZO6N6J15VQB8E14BB278NB3DM9G,Submitted,2022-05-13 20:01:17+03:00,1592,"[""spy.jpg"", ""yak.jpg""]","[""disc.jpg"", ""spy.jpg""]",67,100,milk,drive,"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",milk,"[""spy"", ""yak""]",67,2,14
3BC8WZX3V4IUDBFMQVCG4BYJ6P6RRJ,A382S0KJMW3K9S,360ZO6N6J15VQB8E14BB278NB3DM9G,Submitted,2022-05-13 20:01:17+03:00,1592,"[""spy.jpg"", ""yak.jpg""]","[""disc.jpg"", ""spy.jpg""]",67,100,milk,drive,"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",drive,"[""disc"", ""spy""]",100,2,15
38YMOXR4MVL6ZOYOX1JOGFF42HSW6E,A1HKYY6XI2OHO1,360ZO6N6J15VQB8E14BB278NB3DM9G,Submitted,2022-05-13 21:18:05+03:00,1592,"[""disc.jpg"", ""yak.jpg""]","[""disc.jpg"", ""field.jpg"", ""grass.jpg""]",100,80,charge,blade,"[""disc"", ""field"", ""spy"", ""yak"", ""green"", ""grass""]",charge,"[""disc"", ""yak""]",100,2,16
