"חותמת זמן","1. Describe what did you like and dislike while performing the task","2. Which of the following best describe the emotions you had during the task? (choose all that apply)","Visual reasoning","General knowledge","Associative thinking","Commonsense","Generalization / abstraction ability","Out-of-the-box thinking","Imagination","4. Are there additional reasoning skills you feel that were required from you? ","5. We are currently thinking about creating an online game inspired by the task. Rate how much you see yourself playing in it and recommending about it to friends","6. Rate how enjoyable was the task for you?","7. Rate how clear & intuitive was the user interface for you","8. Anything else that you want to say? :) "
"2022/06/04 2:13:54 לפנה״צ GMT‎+3‎","I liked how easy and straightforward they were, and that they were also super fun and different from other typical HITs I have done. The only thing I disliked was probably the pay but it was not a big deal.","Fun;Challenge;Interest;Creativity;Curiosity;Amusement;Boredom;Tiredness","5","4","5","5","3","5","4","No.","4","5","5","I enjoyed this a lot and hope to participate in similar tasks for you in the near future!"
"2022/06/04 2:16:29 לפנה״צ GMT‎+3‎","it was fun to do some light puzzle solving, but i felt the requirements for maintaining the qualification (i had mine revoked) penalized people who were trying to make a reasonable hourly rate off of it.  Several creators did sloppy work and left solutions open to interpretation or not clearly defined, and by not picking the solutions they rushed to select, my solve rate dipped below a threshold necessary to keep the qual.  All in all, a fun project but needed to pay a couple pennies more per HIT in order to make it worthwhile.","Fun;Interest;Entertainment;Amusement;Frustration","4","3","4","4","2","3","3","nope","3","3","5",""
"2022/06/04 2:27:57 לפנה״צ GMT‎+3‎","I like the fact that I got to be creativity. Nothing to dislike about this task.","Fun;Creativity;Curiosity","4","4","4","3","4","3","4","","4","4","5",""
"2022/06/04 2:43:26 לפנה״צ GMT‎+3‎","I feel that the cues fell into three categories: obvious, easy and confusing. Obvious are ones that would have cues for things like female, clothes or humans in which there are obvious images. Easy is similar but this falls into the category of say edible or werewolf that shows something you can easily associate. Easy but sometimes not immediately obvious. Confusing is when you get those really weird cues, either super stretching, a really obscure word in which you have to look up or just bad cues. The bad ones was really annoying to do and quite frustrating. I think obvious ones were okay but too many got tiresome. Easy was kind of fun and those are the ones that made it interesting. They weren't too hard to figure out but also not something you could immediately go click, click, click, submit.","Fun;Challenge;Interest;Creativity;Entertainment;Amusement;Annoyment;Frustration;Tiredness","5","4","4","5","3","3","4","","4","5","5","It was fun and I hope the best for this project! If you make an online game I would 100% suggest a leaderboard for ""creators"" for people to create the cues. Introduce categories so people can focus on specific things. If you're also so inclined, build something to work with Twitch.tv so streamers can play with their audience. There are some pictionary like games that do this where the streamer draws and the people in chat try to guess."
"2022/06/04 2:52:18 לפנה״צ GMT‎+3‎","I liked that the correct answers were sometimes abstract and required a little thinking. Next time you make a task like this I think you should resize the images so you aren't loading multiple 1000x1000 images that are just going to get scaled down into tiny boxes anyway. ","Fun;Challenge;Interest;Surprise;Creativity;Curiosity","4","5","5","5","5","4","4","This is probably covered under ""general knowledge"" but I found that a lot of answers required a basic understanding of Pop Culture references.","4","5","5","I found doing these tasks very fun, I hope to be able to work on more like them in the future. "
"2022/06/04 3:03:43 לפנה״צ GMT‎+3‎","I liked that it was like I was playing a game. I did not like not finding out how I did.","Fun;Challenge;Creativity;Entertainment","3","4","5","4","4","5","5","No","4","4","5","I enjoyed this task."
"2022/06/04 3:33:35 לפנה״צ GMT‎+3‎","I absolutely hated the fact that you weren't given feedback as to whether you actually solved it. I'd of also had liked a running score; and a bonus with the last batch.  :)","Fun;Challenge;Interest;Surprise;Creativity;Curiosity;Entertainment;Amusement;Competitive;Annoyment;Frustration;Confusion;Anger","5","5","5","5","5","5","5","Luck, of course, but also a fair bit of pop culture wisdom, which is separate from general knowledge.","5","5","5","I liked creating, more than solving, even though I think I was a better solver than creator; I'm hoping to read the paper that results from this research. ;)"
"2022/06/04 3:41:15 לפנה״צ GMT‎+3‎","I liked that it was a fun task that made you really use some creative thinking. Most work on MTurk is rote and boring, this was a refreshing change. What I didn't like is that some of those word prompt/image associations just seemed unfair. Or maybe just too esoteric for me, some of them were really 'out there'.","Fun;Challenge;Interest;Amusement","4","2","5","3","5","4","4","No, I think the list up there covered all the bases.","5","4","5","The tasks were quite interesting, and I hope that the data I provided was useful in whatever you needed it for."
"2022/06/04 3:58:54 לפנה״צ GMT‎+3‎","I liked trying to figure out what the creator was thinking","Fun;Interest;Curiosity","5","4","5","4","5","4","4","no","4","5","5","good response when needed"
"2022/06/04 4:03:19 לפנה״צ GMT‎+3‎","It was fun being being able to sort of see things though someone else's thought process. It was somewhat frustrating when I got ones that literally made no sense at all.","Fun;Challenge;Interest;Inspiration;Entertainment;Amusement","4","4","5","4","5","4","4","Seeing a different perspective","4","4","5","This was fun to do. I'm sorry the project has ended :)"
"2022/06/04 7:32:11 לפנה״צ GMT‎+3‎","I liked that it was a puzzle. I really enjoy puzzles. I did not like that some of them seemed unsolvable. But all in all, I enjoyed it and did much more than I usually do. ","Fun;Challenge;Interest;Creativity;Curiosity;Amusement;Frustration;Confusion","5","5","5","5","3","4","4","I can't think of anything.","4","4","4","Thank you! "
"2022/06/04 1:29:51 אחה״צ GMT‎+3‎","It was fun and interesting, the concept itself, and when you felt like you got the association, even if it was a simple and easy one, it felt like a satisfying accomplishment. But occasionally you'd get one where it was clear they weren't doing it correctly or there might have been an error, and those felt like they were wasting my time. And then there were the really difficult ones where you just couldn't figure out what they were trying to connect. Ones I had mixed feelings about were when you could see an additional item that you could associate with the others, and it was satisfying but frustrating because they didn't catch it.","Fun;Challenge;Interest;Curiosity;Annoyment;Frustration;Confusion;satisfaction","5","3","5","5","5","5","4","I can't think of any.","4","4","4","I have to say there were times where I thought maybe my thinking was too out of the box for some of the exercises and I wondered if anyone else would make that kind of association. "
