"חותמת זמן","1. Describe what did you like and dislike while performing the task","2. Which of the following best describe the emotions you had during the task? (choose all that apply)","Visual Reasoning","General Knowledge","Associative Thinking","Commonsense","Generalization / Abstraction","Out-of-the-box thinking","Imagination","4. Are there additional reasoning skills you feel that were required from you? ","5. For how many candidates it was easier for you to create new profitable cues?","5. Please explain your last answer - why the number of candidates you selected is more profitable","6. For how many selected images it was easier for you to create new profitable cues? (When you select 2-5 images associated to the new cue)","6. Please explain your last answer  - why the number of selected images you selected is more profitable","7. We are currently thinking about creating an online game inspired by the task. Rate how much you see yourself playing in it and recommending about it","8. Rate your level of enjoyment while doing the task","9. Did seeing the model's predictions affect you in any way? If so, how?","10. Have you been affected by the performance bonus? In what way?","11. Rate how clear & intuitive was the user interface for you","12. Anything else that you want to say? :) "
"2022/06/04 2:11:32 לפנה״צ GMT‎+3‎","I liked the mental challenge, especially on the larger 10-12 ones. It was frustrating when the AI clearly guessed and got it right on the 5-6","Challenge;Interest;Inspiration;Creativity","4","3","5","4","5","5","4","n/a","12","The AI guessing was significant amount","3","It made it harder on the AI","4","4","I was impressed at some of the AI ideas, admired the programmers and learning.","I tried a bit harder, but generally not as much as one may think. ","4",""
"2022/06/04 2:18:44 לפנה״צ GMT‎+3‎","I liked the chance to improve my creativity and brainstorm. It was fun.  ","Fun;Challenge;Inspiration;Creativity;Curiosity;Annoyment;Confusion;Tiredness","5","5","5","5","5","5","5","N/A","12","It's always easier to create new associations when you have more possibilities. ","2","Sometimes all I could think of was one association that would connect two images. Sometimes it got very difficult to connect any images at all. ","5","4","Yes, it helped but it was also kind of discouraging as it seemed like the AI was able to guess nearly all of my associations, which made me feel like I had even more limited options.","It was nice to have a little extra pay. It helped to keep my motivation up when it was hard to come up with connections. ","5","N/A"
"2022/06/04 2:25:13 לפנה״צ GMT‎+3‎","Fun, but the effort required in the early rounds wasn't compensated well enough to make it worth it until the bonus structure was revised, but at that point I'd already had my qualification taken away.  Also, solutions were too dependent on whether the solvers were putting enough effort into figuring them out.  Any time another mturk user's input is a deciding factor on worker pay it generally turns out poorly for the worker.","Fun;Challenge;Creativity;Amusement;Annoyment;Frustration","4","5","3","5","4","3","4","","6","i was only allowed to work on the ones with 6.  I'd imagine with 12 it'd be easier","2","much, much easier to find an association between 2 things that to find something that like 5 items have in common","3","3","no particularly, i submitted the task too quickly to notice because I was pursuing a better hourly rate","The new bonus structure incentivized slowing down a bit rather than just trying to come up with any association as fast as possible, however i wasn't allowed to work the project by the time that happened","5",""
"2022/06/04 2:45:10 לפנה״צ GMT‎+3‎","I liked that it was easy to do and that the bonuses paid out well.","Challenge;Creativity;Frustration;Confusion;Competitive","3","3","5","2","4","4","5","No.","12","There were more possibilities to make abstractions with.","3","Any more than 3 and the associations start to become too generic and easily guessed.","2","3","I used the model's guesses to make my associations better. I went after associations that the model frequently got wrong.","Yes, it made me try harder too fool the AI.","4","I would do more of these HITs if they became available."
"2022/06/04 3:00:14 לפנה״צ GMT‎+3‎","In the beginning, it was fun trying to see the limits of where the AI guessing ability was. However, after a while, once you learn the quirks of the AI, it became a bit more boring because you know that the AI had issues with some specific words and those words were very obvious to normal people. Sometimes it was annoying to get a set of images and there's just nothing you can think of to link a few up. While sometimes challenging, it did get a bit frustrating when that happened and you felt you had to make a somewhat bad cue.","Fun;Challenge;Interest;Curiosity;Entertainment;Amusement;Competitive","5","3","4","5","4","3","4","","12","12 is definitely easier however I'm not sure if it's easier if you don't know a bit about the AI and it's quirks. If you know the quirks of the AI, it was very profitable to use words you know that the AI will mess up on. However, if you're not familiar with the quirks, it might not be that much easier because, you might end up trying to choose words that the AI knows and has an easier chance to guess at. ","2","I feel debatable between 2 and 3. 2 let's you make a ""tight"" cue which correspond to only two images however it can be risky if the AI knows the word. 3 can be safer because you can go a bit farther with your imagination and not risk a bad human selection and still fool the AI.","5","5","Sometimes the images you selected for my cue, I would take a second look at the image it selected to try to figure out why it did it that way. I would also take note of any obvious ""bad""  image selections it made based on the cue because that was how I learned about the quirks of the AI and how to exploit it.","The bonus did make me sometimes give up on making a ""good"" cue and make a ""performance"" cue. Performance cue being a cue that utilizes a quirk of the AI that I know and almost guarantee that it will get wrong and will generally be easy for humans to guess. But it's not a creative or interesting cue. Notable words are human, male and female or sometimes features like eyes, noses, ears, hands, etc. ","5","This would be a super interesting online if you include things like leaderboards for creators, categories, more images (although be sure to get rights to images!) and letting people rate the cues. I can definitely see game like this being popular with streamers on Twitch.tv to play with their audience (streamer https://twitch.tv/itshafu is pretty known to like games like these and sometimes streams her playing code names with other streamers) or with a group of people online."
"2022/06/04 3:02:00 לפנה״צ GMT‎+3‎","I liked that I got immediate feedback and it was something different than what I usually do on mturk. I did not like that sometimes it seemed like the objects had nothing in common and it took me too long to think of a word to try and associate the objects. ","Fun;Challenge;Interest;Creativity;Annoyment;Frustration","4","4","5","3","3","5","5","No","12","It seemed like the more candidates there were the easier it was to find something in common with them. Although, I don't know that I ever got any with 12.","2","It was hard to find a cue that would link objects together sometimes, so the less that you had to find something in common with one another, the easier it was.","3","3","Yes, it either increased my confidence or made me think harder about cues.","Not really. I enjoyed the task because it was kind of fun and different. But it was not the best paying for me, so I only did it when I had free time. The bonus was nice but did not affect me.","5","This was something different to do and was fun, thank you for the opportunity. I also really appreciated how you communicated with us!"
"2022/06/04 3:30:31 לפנה״צ GMT‎+3‎","I initially disliked the distracting bubbles, but thankfully those were removed. I didn't like the lag time, and I also didn't like that the AI seemed to cheat often.","Fun;Challenge;Interest;Surprise;Inspiration;Creativity;Curiosity;Entertainment;Amusement;Annoyment;Frustration;Anger;Competitive","5","4","5","5","5","5","5","Luck!","12","With 12 associations, it was easier to avoid the AI merely getting lucky with what seemed like random pics, as well as allowing deeper associations, due to more choices being available to use.","2","I didn't think to expand it later, but in earlier ones, the AI seemed to more easily get it when I went above 2, and my score took a hit --- because with 3, it'd always get at least 1.","5","4","If by predictions this means the AI's answers, yes; it made me try to come up with ones it wouldn't get.","The performance bonus motivated me to try harder to beat the AI, so I could justify the time investment.","5","The researcher running this is pretty awesome, in general, and with the communication and earnestness. ;)"
"2022/06/04 3:52:29 לפנה״צ GMT‎+3‎","I liked that it was a very creative-focused task, even more so on the creator's side. It was fun to think of what I could come up with to link these words/images and fool the AI/other people. Even with the bonuses I don't think the pay was up to par for this one, and that I didn't like. This job is easy to do when solving and very hard when creating, it's very thought intensive. I always didn't appreciate the constant reminders that if you mess up you'll get banned off the task. I understand you need high quality work, but that's a bit harsh you must admit.","Fun;Challenge;Creativity;Curiosity;Frustration;Competitive","4","2","5","2","5","4","5","I find things like common sense and general knowledge mattered less for creating than when solving, because the AI was very good at cracking anything using general knowledge. You had to go more for abstract, metaphorical, or otherwise really 'out there' associations to get past it.","6","The fewer the options, the easier I found it to be to create associations between them, because I could think along narrower lines when coming up with my answers.","2","As above, smaller scopes seemed to help me come up with answers easier. Since I had to be really abstract in these associations, the links tended to be very slim in how many images I could really fit into any given answer.","4","4","It made me feel good when I fooled it and really bad when I did not. Both competitively and because of the aforementioned threat of being booted off the job if I fell below the bottom line.","I got the bonus payment a few times, and it was appreciated. The solver tasks were easy and fun, the creator ones, while still fun, I really tried to take my time on. But time is money on MTurk.","5","I have no other comments aside to say that I hope my input, here and in the tasks themselves, was useful."
"2022/06/04 4:16:02 לפנה״צ GMT‎+3‎","Creating was exponentially harder for me than the solving. I felt frustration and I kind of felt stupid because I struggled with it. (But the solving was a blast.)","Challenge;Frustration;Kind of embarrassed/inferior","4","3","4","4","4","5","5","none come to mind","6","Oddly, the fewer pictures, the better because I found that if I came up with a word, I had to make sure the word also automatically ruled out all the other pictures (or didn't include some of the other pictures), and if there were more pictures, it seemed more of them would then only ""sort of"" fit perfectly, but might also lead to more confusion for the solver. It was harder to find a clear-cut word that only worked with 20% of the pictures but didn't ambiguously include 40-50% of the pictures, if that makes sense...","2","Two was almost always do-able, but when I really tried to make the word apply to 3, it sort of became impossible for me. (I really wasn't very good at creating.)","3","2","It helped a lot as I found it encouraging that I was fooling the AI.","I received one for solving and that was so encouraging and rewarding for me to know that I was doing a good job. I didn't receive any for creating, which wasn't really a surprise.","4","When you first came out with the hits (in the very beginning), it took me days to sort of ""rewire"" my brain to be able to do both the solving and creating. I really had to have an ""aha"" moment before I could try again because it was all just a different way of thinking or something. I felt sort of like a fish out of water for quite a while. I get it now and it feels natural, but at first I was deer-in-headlight lol."
"2022/06/04 6:12:54 לפנה״צ GMT‎+3‎","The task was interesting and fun but the payment was low for the time spent on it, especially if I wanted to think hard about the clue.","Fun;Challenge;Interest;Creativity;Annoyment;Frustration;Indifference;Tiredness","5","3","4","4","5","5","5","No","6","Too many candidates is confusing and tiring.","2","2 is more simple and easy to find the relation between those images.","5","5","Sometimes the model was very off especially in detecting emotions.","It was great to see the bonus and I was thankful. ","5","Thank you! "
