,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,35LDD5557BQHTRPZV372H0IV44EKMJ,A2K607J3Z68WRR,3VDVA3ILID1D9W9XMOYNAW67HX7G17,Approved,2022-05-06 19:21:11+03:00,708,"['skate.jpg', 'prairie.jpg', 'earth.jpg', 'green.jpg', 'barbecue.jpg']","{'earth.jpg', 'green.jpg'}","{'earth.jpg', 'prairie.jpg'}",0.3333333333333333
1,3QEMNNSB2YLQUIC2ZGJQU5QFP6Z7DV,A1WY3YGT618GC0,3VDVA3ILID1D9W9XMOYNAW67HX7G17,Approved,2022-05-06 19:44:36+03:00,708,"['skate.jpg', 'prairie.jpg', 'earth.jpg', 'green.jpg', 'barbecue.jpg']","{'earth.jpg', 'green.jpg'}","{'earth.jpg', 'prairie.jpg'}",0.3333333333333333
2,3WJ1OXY92B2WWPE9PBKUI4E4FNEA8P,A2LU259QPV1I4V,3VDVA3ILID1D9W9XMOYNAW67HX7G17,Approved,2022-05-06 19:58:27+03:00,708,"['skate.jpg', 'prairie.jpg', 'earth.jpg', 'green.jpg', 'barbecue.jpg']","{'earth.jpg', 'green.jpg'}","{'earth.jpg', 'green.jpg'}",1.0
3,338JKRMM27LPP0F2SFE0VH73I5IAHG,A1WY3YGT618GC0,3XT3KXP24ZKMC9GPIIA7Q4A44LF6IN,Approved,2022-05-06 19:15:47+03:00,1945,"['switch.jpg', 'laugh.jpg', 'card.jpg', 'owl.jpg', 'buttons.jpg', 'clicker.jpg']","{'owl.jpg', 'laugh.jpg'}","{'owl.jpg', 'laugh.jpg'}",1.0
4,3TPWUS5F8ANVF57P7SWR2F7EXXRCWX,A104V8NZIQFN2F,3XT3KXP24ZKMC9GPIIA7Q4A44LF6IN,Approved,2022-05-06 19:33:24+03:00,1945,"['switch.jpg', 'laugh.jpg', 'card.jpg', 'owl.jpg', 'buttons.jpg', 'clicker.jpg']","{'owl.jpg', 'laugh.jpg'}","{'owl.jpg', 'laugh.jpg'}",1.0
5,3F6KKYWMNCNFX34PFN0FQ2C5PL2DNA,A2LU259QPV1I4V,3XT3KXP24ZKMC9GPIIA7Q4A44LF6IN,Approved,2022-05-06 19:40:09+03:00,1945,"['switch.jpg', 'laugh.jpg', 'card.jpg', 'owl.jpg', 'buttons.jpg', 'clicker.jpg']","{'owl.jpg', 'laugh.jpg'}","{'owl.jpg', 'clicker.jpg'}",0.3333333333333333
6,3IRIK4HM3B6XLQSJGAJN4L819VQC6O,A2K607J3Z68WRR,3OCZWXS7ZOTSJ6OHY2XFQEOWPUYL50,Approved,2022-05-06 19:20:28+03:00,395,"['man.jpg', 'male.jpg', 'bottle.jpg', 'folded.jpg', 'muscle.jpg']","{'male.jpg', 'muscle.jpg', 'man.jpg'}","{'bottle.jpg', 'male.jpg', 'man.jpg'}",0.5
7,3D8YOU6S9F6T7K9J214NYRU7GVB6U6,A1FA3QRISJ1RIP,3OCZWXS7ZOTSJ6OHY2XFQEOWPUYL50,Approved,2022-05-06 19:45:00+03:00,395,"['man.jpg', 'male.jpg', 'bottle.jpg', 'folded.jpg', 'muscle.jpg']","{'male.jpg', 'muscle.jpg', 'man.jpg'}","{'male.jpg', 'muscle.jpg', 'man.jpg'}",1.0
8,3NVC2EB65RLBRA66T03EU9O02SKY3Q,A104V8NZIQFN2F,3OCZWXS7ZOTSJ6OHY2XFQEOWPUYL50,Approved,2022-05-06 19:46:52+03:00,395,"['man.jpg', 'male.jpg', 'bottle.jpg', 'folded.jpg', 'muscle.jpg']","{'male.jpg', 'muscle.jpg', 'man.jpg'}","{'male.jpg', 'muscle.jpg', 'man.jpg'}",1.0
9,3KRVW3HTZO7FHA270CG48M95LY8MSJ,A104V8NZIQFN2F,3TTPFEFXCT6MGE55C0SMQS9P4806HU,Approved,2022-05-06 19:54:08+03:00,452,"['boat.jpg', 'oar.jpg', 'vertebrae.jpg', 'cartwheel.jpg', 'fight.jpg']","{'boat.jpg', 'oar.jpg', 'fight.jpg'}","{'boat.jpg', 'cartwheel.jpg', 'fight.jpg'}",0.5
10,3GU1KF0O4JNMLRIIH6M1Z1T0MFZPBJ,A2LU259QPV1I4V,3TTPFEFXCT6MGE55C0SMQS9P4806HU,Approved,2022-05-06 19:59:22+03:00,452,"['boat.jpg', 'oar.jpg', 'vertebrae.jpg', 'cartwheel.jpg', 'fight.jpg']","{'boat.jpg', 'oar.jpg', 'fight.jpg'}","{'boat.jpg', 'oar.jpg', 'fight.jpg'}",1.0
11,32KTQ2V7RE1XCV68R6GDRR4FTAOM9D,AKQAI78JTXXC9,3TTPFEFXCT6MGE55C0SMQS9P4806HU,Approved,2022-05-06 20:04:31+03:00,452,"['boat.jpg', 'oar.jpg', 'vertebrae.jpg', 'cartwheel.jpg', 'fight.jpg']","{'boat.jpg', 'oar.jpg', 'fight.jpg'}","{'boat.jpg', 'oar.jpg', 'fight.jpg'}",1.0
12,37XITHEISXVQ79Q38YMLFGZX5IBRC8,A104V8NZIQFN2F,3L2OEKSTW9WV6NEIFFT8W60J0Z38YH,Approved,2022-05-06 19:32:31+03:00,480,"['taste.jpg', 'spice.jpg', 'stab.jpg', 'food.jpg', 'chin.jpg']","{'spice.jpg', 'taste.jpg', 'food.jpg'}","{'spice.jpg', 'taste.jpg', 'food.jpg'}",1.0
13,3PZDLQMM0U793P9IT87KE8RPTQVC2E,A1WY3YGT618GC0,3L2OEKSTW9WV6NEIFFT8W60J0Z38YH,Approved,2022-05-06 19:33:20+03:00,480,"['taste.jpg', 'spice.jpg', 'stab.jpg', 'food.jpg', 'chin.jpg']","{'spice.jpg', 'taste.jpg', 'food.jpg'}","{'spice.jpg', 'taste.jpg', 'food.jpg'}",1.0
14,3IAS3U3I0G2QTKHCF8BP3OL7B5A2BC,A2K607J3Z68WRR,3L2OEKSTW9WV6NEIFFT8W60J0Z38YH,Approved,2022-05-06 20:01:30+03:00,480,"['taste.jpg', 'spice.jpg', 'stab.jpg', 'food.jpg', 'chin.jpg']","{'spice.jpg', 'taste.jpg', 'food.jpg'}","{'spice.jpg', 'taste.jpg', 'food.jpg'}",1.0
15,3VHP9MDGRO6T4JLUH3MRYRLE2TNFCM,A1FA3QRISJ1RIP,33K3E8REWWH66IO8AJ76DSTAYT98XB,Approved,2022-05-06 19:05:39+03:00,35,"['music.jpg', 'bald.jpg', 'rooster.jpg', 'singer.jpg', 'rock.jpg']","{'music.jpg', 'rock.jpg', 'singer.jpg'}","{'music.jpg', 'rock.jpg', 'singer.jpg'}",1.0
16,34Q075JO1YZIKCW6YOEMEOFJSVV013,A2LU259QPV1I4V,33K3E8REWWH66IO8AJ76DSTAYT98XB,Approved,2022-05-06 19:57:01+03:00,35,"['music.jpg', 'bald.jpg', 'rooster.jpg', 'singer.jpg', 'rock.jpg']","{'music.jpg', 'rock.jpg', 'singer.jpg'}","{'bald.jpg', 'music.jpg', 'rock.jpg'}",0.5
17,3MRNMEIQW6SP93143AK0DA8GKQALDO,A2K607J3Z68WRR,33K3E8REWWH66IO8AJ76DSTAYT98XB,Approved,2022-05-06 19:57:55+03:00,35,"['music.jpg', 'bald.jpg', 'rooster.jpg', 'singer.jpg', 'rock.jpg']","{'music.jpg', 'rock.jpg', 'singer.jpg'}","{'bald.jpg', 'music.jpg', 'rock.jpg'}",0.5
18,3M0NZ3JDP2KEAF3F35TQNDVMMI5Z5Y,A1WY3YGT618GC0,3WKGUBL7SZ8ANNKHKXE5LMIIPY3L4V,Approved,2022-05-06 19:30:25+03:00,1357,"['pipe.jpg', 'smoke.jpg', 'cigar.jpg', 'run.jpg', 'pork.jpg', 'postbox.jpg']","{'smoke.jpg', 'cigar.jpg', 'pipe.jpg'}","{'smoke.jpg', 'cigar.jpg', 'pipe.jpg'}",1.0
19,3OS4RQUCRA1AUETO33QWN7FWK9ZFBT,AKQAI78JTXXC9,3WKGUBL7SZ8ANNKHKXE5LMIIPY3L4V,Approved,2022-05-06 19:39:47+03:00,1357,"['pipe.jpg', 'smoke.jpg', 'cigar.jpg', 'run.jpg', 'pork.jpg', 'postbox.jpg']","{'smoke.jpg', 'cigar.jpg', 'pipe.jpg'}","{'smoke.jpg', 'cigar.jpg', 'pipe.jpg'}",1.0
20,3LKC68YZ3BPWOU4SXX5IXF1VMBEOWA,A104V8NZIQFN2F,3WKGUBL7SZ8ANNKHKXE5LMIIPY3L4V,Approved,2022-05-06 19:41:48+03:00,1357,"['pipe.jpg', 'smoke.jpg', 'cigar.jpg', 'run.jpg', 'pork.jpg', 'postbox.jpg']","{'smoke.jpg', 'cigar.jpg', 'pipe.jpg'}","{'smoke.jpg', 'cigar.jpg', 'pipe.jpg'}",1.0
21,3EA3QWIZ4JHU0RPV4XN2QYYA68XTIU,A104V8NZIQFN2F,3Q2T3FD0ONU9B9JYKVA1BU51B3X3MU,Approved,2022-05-06 19:42:18+03:00,1264,"['diagram.jpg', 'grave.jpg', 'station.jpg', 'car.jpg', 'train.jpg', 'track.jpg']","{'car.jpg', 'train.jpg', 'track.jpg', 'station.jpg'}","{'car.jpg', 'train.jpg', 'station.jpg', 'diagram.jpg'}",0.6
22,3NVC2EB65RLBRA66T03EU9O02SS3Y3,AKQAI78JTXXC9,3Q2T3FD0ONU9B9JYKVA1BU51B3X3MU,Approved,2022-05-06 20:03:10+03:00,1264,"['diagram.jpg', 'grave.jpg', 'station.jpg', 'car.jpg', 'train.jpg', 'track.jpg']","{'car.jpg', 'train.jpg', 'track.jpg', 'station.jpg'}","{'car.jpg', 'train.jpg', 'track.jpg', 'station.jpg'}",1.0
23,3OLF68YTNAN5B4OWXPQ0SWVQ2RVAFA,A1FA3QRISJ1RIP,3Q2T3FD0ONU9B9JYKVA1BU51B3X3MU,Approved,2022-05-06 20:04:22+03:00,1264,"['diagram.jpg', 'grave.jpg', 'station.jpg', 'car.jpg', 'train.jpg', 'track.jpg']","{'car.jpg', 'train.jpg', 'track.jpg', 'station.jpg'}","{'car.jpg', 'train.jpg', 'track.jpg', 'station.jpg'}",1.0
24,339ANSOTR6OVX8Z8AO9AP7BENV2IK9,A1WY3YGT618GC0,3PUV2Q8SV4QBAAHYMVQ4ANGJQHIDBD,Approved,2022-05-06 19:36:50+03:00,1495,"['running.jpg', 'jogger.jpg', 'square.jpg', 'rooster.jpg', 'triangle.jpg', 'box.jpg']","{'triangle.jpg', 'square.jpg', 'box.jpg'}","{'triangle.jpg', 'square.jpg', 'box.jpg'}",1.0
25,3ZOTGHDK5JX3HDNJDSVH0QYAGYHSOY,AKQAI78JTXXC9,3PUV2Q8SV4QBAAHYMVQ4ANGJQHIDBD,Approved,2022-05-06 19:42:23+03:00,1495,"['running.jpg', 'jogger.jpg', 'square.jpg', 'rooster.jpg', 'triangle.jpg', 'box.jpg']","{'triangle.jpg', 'square.jpg', 'box.jpg'}","{'triangle.jpg', 'square.jpg', 'box.jpg'}",1.0
