,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,3C5W7UE9CGCNDRO6UMMR7UQX1EMXMH,A35TUIBF05DKM4,3JUDR1D0D6DBB6L78O3D9TKEFX5Q2I,Submitted,2022-05-12 23:01:22+03:00,solve_create_qualification_30,"['mustache.jpg', 'cat.jpg', 'diary.jpg', 'waistband.jpg', 'nebula.jpg']","{'diary.jpg', 'waistband.jpg'}","{'diary.jpg', 'waistband.jpg'}",1.0
1,3K772S5NP9XSFDWE8KGMR0XU4MDEHH,AB7MYP65HZ2MH,3JUDR1D0D6DBB6L78O3D9TKEFX5Q2I,Submitted,2022-05-12 23:02:02+03:00,solve_create_qualification_30,"['mustache.jpg', 'cat.jpg', 'diary.jpg', 'waistband.jpg', 'nebula.jpg']","{'diary.jpg', 'waistband.jpg'}","{'diary.jpg', 'waistband.jpg'}",1.0
2,3LOTDFNYA8L2IHRZYUMSALSHVB4FWZ,A1WY3YGT618GC0,3JUDR1D0D6DBB6L78O3D9TKEFX5Q2I,Submitted,2022-05-12 23:03:52+03:00,solve_create_qualification_30,"['mustache.jpg', 'cat.jpg', 'diary.jpg', 'waistband.jpg', 'nebula.jpg']","{'diary.jpg', 'waistband.jpg'}","{'diary.jpg', 'nebula.jpg'}",0.3333333333333333
3,3FPRZHYEPZTUNGB1OPGUNAK6LCTV3S,A35TUIBF05DKM4,36AZSFEYZ4MX4RHKDGQYG9MQQVXVBJ,Submitted,2022-05-12 22:48:01+03:00,solve_create_qualification_258,"['letter.jpg', 'garden.jpg', 'green.jpg', 'olive.jpg', 'bush.jpg', 'group.jpg']","{'garden.jpg', 'green.jpg', 'group.jpg', 'olive.jpg'}","{'garden.jpg', 'green.jpg', 'group.jpg', 'olive.jpg'}",1.0
4,3ZY8KE4ISKPMUHH3M0SQ0IDHV49QVS,A5WWHKD82I8UE,36AZSFEYZ4MX4RHKDGQYG9MQQVXVBJ,Submitted,2022-05-12 22:55:09+03:00,solve_create_qualification_258,"['letter.jpg', 'garden.jpg', 'green.jpg', 'olive.jpg', 'bush.jpg', 'group.jpg']","{'garden.jpg', 'green.jpg', 'group.jpg', 'olive.jpg'}","{'garden.jpg', 'green.jpg', 'group.jpg', 'olive.jpg'}",1.0
5,3XXU1SWE8NHEE096U77FPP8MXQC0A5,A1WY3YGT618GC0,36AZSFEYZ4MX4RHKDGQYG9MQQVXVBJ,Submitted,2022-05-12 23:02:04+03:00,solve_create_qualification_258,"['letter.jpg', 'garden.jpg', 'green.jpg', 'olive.jpg', 'bush.jpg', 'group.jpg']","{'garden.jpg', 'green.jpg', 'group.jpg', 'olive.jpg'}","{'garden.jpg', 'letter.jpg', 'green.jpg', 'olive.jpg'}",0.6
6,3ERMJ6L4DZETYCIFC9ITDVD9ZL67MV,A35TUIBF05DKM4,3RKHNXPHGWIYKFWEE3TMJQ3XZIXKU3,Submitted,2022-05-12 22:56:07+03:00,solve_create_qualification_81,"['troll.jpg', 'costume.jpg', 'pumpkin.jpg', 'candy.jpg', 'pigeon.jpg']","{'pigeon.jpg', 'costume.jpg'}","{'pigeon.jpg', 'costume.jpg'}",1.0
7,3YGXWBAF713J63O5XMQ87NONE5GC42,A3135Y3RMFC3PK,3RKHNXPHGWIYKFWEE3TMJQ3XZIXKU3,Submitted,2022-05-12 23:09:01+03:00,solve_create_qualification_81,"['troll.jpg', 'costume.jpg', 'pumpkin.jpg', 'candy.jpg', 'pigeon.jpg']","{'pigeon.jpg', 'costume.jpg'}","{'pigeon.jpg', 'costume.jpg'}",1.0
8,3T3IWE1XG797HPDEH5SBZ0PWYJXQTG,A302KOFOYLD89A,3RKHNXPHGWIYKFWEE3TMJQ3XZIXKU3,Submitted,2022-05-12 23:11:28+03:00,solve_create_qualification_81,"['troll.jpg', 'costume.jpg', 'pumpkin.jpg', 'candy.jpg', 'pigeon.jpg']","{'pigeon.jpg', 'costume.jpg'}","{'pigeon.jpg', 'troll.jpg'}",0.3333333333333333
9,3KB8R4ZV1FTG8EPJENWE5SF8MPLGBI,A35TUIBF05DKM4,3YCT0L9OMMVJD8PDMBQ2WH2D8GHSN0,Submitted,2022-05-12 22:58:06+03:00,solve_create_qualification_218,"['letter.jpg', 'garden.jpg', 'green.jpg', 'olive.jpg', 'bush.jpg', 'group.jpg']","{'bush.jpg', 'garden.jpg', 'green.jpg'}","{'bush.jpg', 'letter.jpg', 'green.jpg'}",0.5
10,3BF51CHDTWWTONHK0DH76BVQAL2H0X,A1WY3YGT618GC0,3YCT0L9OMMVJD8PDMBQ2WH2D8GHSN0,Submitted,2022-05-12 23:03:15+03:00,solve_create_qualification_218,"['letter.jpg', 'garden.jpg', 'green.jpg', 'olive.jpg', 'bush.jpg', 'group.jpg']","{'bush.jpg', 'garden.jpg', 'green.jpg'}","{'garden.jpg', 'green.jpg', 'olive.jpg'}",0.5
11,3IXEICO7935E77UU2WEDTV85YILT6M,A1FA3QRISJ1RIP,3YCT0L9OMMVJD8PDMBQ2WH2D8GHSN0,Submitted,2022-05-12 23:06:44+03:00,solve_create_qualification_218,"['letter.jpg', 'garden.jpg', 'green.jpg', 'olive.jpg', 'bush.jpg', 'group.jpg']","{'bush.jpg', 'garden.jpg', 'green.jpg'}","{'bush.jpg', 'garden.jpg', 'green.jpg'}",1.0
12,3X66WABAJX4B5JL6ZUH8N9HWYX9G3S,A35TUIBF05DKM4,3O71U79SRBBDVQ4DAAB2J2DD3Q7SM0,Submitted,2022-05-12 23:00:55+03:00,solve_create_qualification_0,"['mustache.jpg', 'cat.jpg', 'diary.jpg', 'waistband.jpg', 'nebula.jpg']","{'waistband.jpg', 'mustache.jpg'}","{'waistband.jpg', 'mustache.jpg'}",1.0
