,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,3TXMY6UCAFAQV8B3VJXLAQPSBFECQ1,A18WSAKX5YN2FB,3RIHDBQ1NEKO5HQXZGZ3FO6BUI5MHU,Submitted,2022-05-17 19:47:20+03:00,solve_create_303,"['groin.jpg', 'hit.jpg', 'mole.jpg', 'seaweed.jpg', 'smack.jpg']","{'mole.jpg', 'groin.jpg', 'smack.jpg'}","{'mole.jpg', 'groin.jpg', 'smack.jpg'}",1.0
1,3T111IHZ5FCO9BJ0WECUDQYP1I79RG,AB7MYP65HZ2MH,3RIHDBQ1NEKO5HQXZGZ3FO6BUI5MHU,Submitted,2022-05-18 00:27:05+03:00,solve_create_303,"['groin.jpg', 'hit.jpg', 'mole.jpg', 'seaweed.jpg', 'smack.jpg']","{'mole.jpg', 'groin.jpg', 'smack.jpg'}","{'mole.jpg', 'groin.jpg', 'smack.jpg'}",1.0
2,3TMSXRD2X7MBS2XRRV77LJONVLZ1W3,A3135Y3RMFC3PK,3RIHDBQ1NEKO5HQXZGZ3FO6BUI5MHU,Submitted,2022-05-18 00:32:10+03:00,solve_create_303,"['groin.jpg', 'hit.jpg', 'mole.jpg', 'seaweed.jpg', 'smack.jpg']","{'mole.jpg', 'groin.jpg', 'smack.jpg'}","{'mole.jpg', 'groin.jpg', 'smack.jpg'}",1.0
3,3B4YI393VAIIF5FCK9CQKV8BF61SSG,A18WSAKX5YN2FB,3DFYDSXB2WM39VQWWITAIB3KKWCJUO,Submitted,2022-05-17 20:42:15+03:00,solve_create_1043,"['food.jpg', 'aunt.jpg', 'sperm.jpg', 'dip.jpg', 'chickpea.jpg', 'bridge.jpg']","{'dip.jpg', 'food.jpg'}","{'dip.jpg', 'food.jpg'}",1.0
4,3P4MQ7TPPYYKHXH8Y1404HOB7VHBBN,AKQAI78JTXXC9,3DFYDSXB2WM39VQWWITAIB3KKWCJUO,Submitted,2022-05-17 22:21:57+03:00,solve_create_1043,"['food.jpg', 'aunt.jpg', 'sperm.jpg', 'dip.jpg', 'chickpea.jpg', 'bridge.jpg']","{'dip.jpg', 'food.jpg'}","{'dip.jpg', 'food.jpg'}",1.0
5,3KJYX6QCMAX58UDQRA8H3H1VITVVJP,A3135Y3RMFC3PK,3DFYDSXB2WM39VQWWITAIB3KKWCJUO,Submitted,2022-05-18 00:25:48+03:00,solve_create_1043,"['food.jpg', 'aunt.jpg', 'sperm.jpg', 'dip.jpg', 'chickpea.jpg', 'bridge.jpg']","{'dip.jpg', 'food.jpg'}","{'dip.jpg', 'food.jpg'}",1.0
6,324G5B4FB4UWVYB8N4VVFY6WX0J70Z,A104V8NZIQFN2F,386T3MLZLNHY9SIX77IZ4E6ZOWE80Q,Submitted,2022-05-17 19:26:46+03:00,solve_create_1515,"['water.jpg', 'stream.jpg', 'panel.jpg', 'laboratory.jpg', 'river.jpg']","{'river.jpg', 'water.jpg', 'stream.jpg'}","{'river.jpg', 'water.jpg', 'stream.jpg'}",1.0
7,3II4UPYCOKT000HHVFSWUW7AWHJQDC,AB7MYP65HZ2MH,386T3MLZLNHY9SIX77IZ4E6ZOWE80Q,Submitted,2022-05-18 00:24:50+03:00,solve_create_1515,"['water.jpg', 'stream.jpg', 'panel.jpg', 'laboratory.jpg', 'river.jpg']","{'river.jpg', 'water.jpg', 'stream.jpg'}","{'river.jpg', 'water.jpg', 'stream.jpg'}",1.0
8,3KRVW3HTZO7FHA270CG48M95NJWSML,A3135Y3RMFC3PK,386T3MLZLNHY9SIX77IZ4E6ZOWE80Q,Submitted,2022-05-18 00:24:52+03:00,solve_create_1515,"['water.jpg', 'stream.jpg', 'panel.jpg', 'laboratory.jpg', 'river.jpg']","{'river.jpg', 'water.jpg', 'stream.jpg'}","{'river.jpg', 'water.jpg', 'stream.jpg'}",1.0
9,3DQQ64TANH7E9UGTCXIXMF6LYZCPWY,A18WSAKX5YN2FB,3L60IFZKF342D3PM8JJQNJYFDW6HHG,Submitted,2022-05-17 19:54:00+03:00,solve_create_2192,"['kid.jpg', 'cola.jpg', 'witness.jpg', 'pop.jpg', 'drink.jpg', 'coke.jpg']","{'kid.jpg', 'witness.jpg'}","{'kid.jpg', 'witness.jpg'}",1.0
