,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images_q1,selected_images_q2,score_fooling_ai_1,score_fooling_ai_2,cue1,cue2,candidates
0,3VNL7UK1XG5AQ0N53PHHN1LISYDFTZ,A382S0KJMW3K9S,3L1EFR8WWTRPK1GXFH7Y7HOEE9VF9A,Submitted,2022-05-25 03:38:53+03:00,random_10_12_candidates_522,"['painter.jpg', 'bride.jpg']","['chili.jpg', 'fast food.jpg', 'shake.jpg']",67,50,female,edible,"['chili.jpg', 'gold.jpg', 'painter.jpg', 'butler.jpg', 'miner.jpg', 'graph.jpg', 'pager.jpg', 'bride.jpg', 'fast food.jpg', 'shake.jpg']"
1,3ZAZR5XV024Z90CUIFGY1J1WHIPZC9,A1HKYY6XI2OHO1,3L1EFR8WWTRPK1GXFH7Y7HOEE9VF9A,Submitted,2022-05-25 07:10:38+03:00,random_10_12_candidates_522,"['fast food.jpg', 'shake.jpg']","['butler.jpg', 'bride.jpg']",0,67,ordered,formal,"['chili.jpg', 'gold.jpg', 'painter.jpg', 'butler.jpg', 'miner.jpg', 'graph.jpg', 'pager.jpg', 'bride.jpg', 'fast food.jpg', 'shake.jpg']"
2,3WAKVUDHUX2CBKNOLB9F45U3EVFU7U,A3RTW9UWYKSNWX,3L1EFR8WWTRPK1GXFH7Y7HOEE9VF9A,Submitted,2022-05-26 11:17:28+03:00,random_10_12_candidates_522,"['chili.jpg', 'fast food.jpg']","['gold.jpg', 'bride.jpg']",100,0,digest,jewelry,"['chili.jpg', 'gold.jpg', 'painter.jpg', 'butler.jpg', 'miner.jpg', 'graph.jpg', 'pager.jpg', 'bride.jpg', 'fast food.jpg', 'shake.jpg']"
3,3TMFV4NEP90T32HCQGGM0TBVAP2W8C,A1HKYY6XI2OHO1,3S1L4CQSFXR3PKQ27NLY3CZYKRDFAP,Submitted,2022-05-25 07:27:13+03:00,random_10_12_candidates_785,"['honk.jpg', 'tag.jpg']","['rice.jpg', 'grass.jpg']",100,0,red,grains,"['mice.jpg', 'swamp.jpg', 'honk.jpg', 'clock.jpg', 'yellow.jpg', 'rice.jpg', 'notebook.jpg', 'grass.jpg', 'joint.jpg', 'scale.jpg', 'elevator.jpg', 'tag.jpg']"
4,3LRLIPTPERVGRQGAY0HX89NVD79AKG,A382S0KJMW3K9S,3S1L4CQSFXR3PKQ27NLY3CZYKRDFAP,Submitted,2022-05-25 15:55:49+03:00,random_10_12_candidates_785,"['swamp.jpg', 'grass.jpg']","['clock.jpg', 'tag.jpg']",67,67,green,auction,"['mice.jpg', 'swamp.jpg', 'honk.jpg', 'clock.jpg', 'yellow.jpg', 'rice.jpg', 'notebook.jpg', 'grass.jpg', 'joint.jpg', 'scale.jpg', 'elevator.jpg', 'tag.jpg']"
5,3KMS4QQVK3CBNHXI9G3PMAYMAR1FKL,A16184N1RO5OJV,3S1L4CQSFXR3PKQ27NLY3CZYKRDFAP,Submitted,2022-05-26 00:39:42+03:00,random_10_12_candidates_785,"['mice.jpg', 'rice.jpg']","['swamp.jpg', 'rice.jpg', 'grass.jpg']",67,80,food,abundant,"['mice.jpg', 'swamp.jpg', 'honk.jpg', 'clock.jpg', 'yellow.jpg', 'rice.jpg', 'notebook.jpg', 'grass.jpg', 'joint.jpg', 'scale.jpg', 'elevator.jpg', 'tag.jpg']"
6,3K2755HG5TP39BR8HZH2IX3WPCYDFN,A1HKYY6XI2OHO1,39AYGO6AFF6EQARGFYNZVC6LQZ9N6E,Submitted,2022-05-25 05:46:47+03:00,random_10_12_candidates_1693,"['court.jpg', 'employee.jpg']","['court.jpg', 'contract.jpg']",67,100,confer,resolution,"['stand.jpg', 'falcon.jpg', 'court.jpg', 'smile.jpg', 'employee.jpg', 'stream.jpg', 'contract.jpg', 'stone.jpg', 'clockwise.jpg', 'razor.jpg', 'quiz.jpg', 'soak.jpg']"
7,3OLF68YTNAN5B4OWXPQ0SWVQ5BOFAF,A382S0KJMW3K9S,39AYGO6AFF6EQARGFYNZVC6LQZ9N6E,Submitted,2022-05-25 15:11:44+03:00,random_10_12_candidates_1693,"['court.jpg', 'contract.jpg']","['court.jpg', 'employee.jpg']",100,67,lawsuit,group,"['stand.jpg', 'falcon.jpg', 'court.jpg', 'smile.jpg', 'employee.jpg', 'stream.jpg', 'contract.jpg', 'stone.jpg', 'clockwise.jpg', 'razor.jpg', 'quiz.jpg', 'soak.jpg']"
8,3VHHR074H439SU0UCXHEDIYK10EL7B,A2QX3YJXAAHHVV,39AYGO6AFF6EQARGFYNZVC6LQZ9N6E,Submitted,2022-05-25 18:48:16+03:00,random_10_12_candidates_1693,"['court.jpg', 'contract.jpg']","['smile.jpg', 'employee.jpg', 'quiz.jpg']",67,50,Law,emotion,"['stand.jpg', 'falcon.jpg', 'court.jpg', 'smile.jpg', 'employee.jpg', 'stream.jpg', 'contract.jpg', 'stone.jpg', 'clockwise.jpg', 'razor.jpg', 'quiz.jpg', 'soak.jpg']"
9,3JNQLM5FT5826T3O6L0JHRHCPH22LF,A2QX3YJXAAHHVV,30IRMPJWDZ564N4XA9YHEFGDSRIKR4,Submitted,2022-05-25 00:12:06+03:00,random_10_12_candidates_1109,"['strangle.jpg', 'nun.jpg']","['choir.jpg', 'kneel.jpg']",100,100,throttled,practice,"['perfume.jpg', 'ipad.jpg', 'strangle.jpg', 'nun.jpg', 'marker.jpg', 'calf.jpg', 'crow.jpg', 'choir.jpg', 'target.jpg', 'kneel.jpg', 'hot tub.jpg', 'bomb.jpg']"
