,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,3VAR3R6G1QNLYT8AZUPCJZY942J8OJ,A1W1X3S1Y0RKF3,3KTZHH2ONI1VC6P4WC5X2BDCRO88M8,Submitted,2022-05-06 16:43:26+03:00,30,"['baseball.jpg', 'column.jpg', 'stance.jpg', 'pitcher.jpg', 'rye.jpg']","{'baseball.jpg', 'rye.jpg', 'pitcher.jpg'}","{'baseball.jpg', 'rye.jpg', 'pitcher.jpg'}",1.0
1,3KV0LJBBH373GV2ULNGZIC49ZU4RMB,A2ONILC0LZKG6Y,3KTZHH2ONI1VC6P4WC5X2BDCRO88M8,Submitted,2022-05-06 17:36:30+03:00,30,"['baseball.jpg', 'column.jpg', 'stance.jpg', 'pitcher.jpg', 'rye.jpg']","{'baseball.jpg', 'rye.jpg', 'pitcher.jpg'}","{'baseball.jpg', 'rye.jpg', 'pitcher.jpg'}",1.0
2,3Y4W8Q93L06S58DYHEM60J6IBOKDV7,A1OZPLHNIU1519,3KTZHH2ONI1VC6P4WC5X2BDCRO88M8,Submitted,2022-05-06 20:16:57+03:00,30,"['baseball.jpg', 'column.jpg', 'stance.jpg', 'pitcher.jpg', 'rye.jpg']","{'baseball.jpg', 'rye.jpg', 'pitcher.jpg'}","{'baseball.jpg', 'rye.jpg', 'pitcher.jpg'}",1.0
3,39L1G8WVWRDE14V3HBW5GMDQV4R317,A1OZPLHNIU1519,3538U0YQ1FG35ZRHY86OG4LSE143F4,Submitted,2022-05-06 15:18:48+03:00,1228,"['beast.jpg', 'pot.jpg', 'herb.jpg', 'green.jpg', 'sage.jpg', 'thyme.jpg']","{'green.jpg', 'sage.jpg', 'herb.jpg', 'thyme.jpg'}","{'green.jpg', 'sage.jpg', 'herb.jpg', 'thyme.jpg'}",1.0
4,3A7Y0R2P2PAXCJILRP9ZR2YGWLDXJ0,A3135Y3RMFC3PK,3538U0YQ1FG35ZRHY86OG4LSE143F4,Submitted,2022-05-07 01:45:12+03:00,1228,"['beast.jpg', 'pot.jpg', 'herb.jpg', 'green.jpg', 'sage.jpg', 'thyme.jpg']","{'green.jpg', 'sage.jpg', 'herb.jpg', 'thyme.jpg'}","{'green.jpg', 'sage.jpg', 'herb.jpg', 'thyme.jpg'}",1.0
5,3HMVI3QICKEFH7SR6WPV6G934AB1YA,A2UAHW3Q7S45JP,3538U0YQ1FG35ZRHY86OG4LSE143F4,Submitted,2022-05-07 02:21:57+03:00,1228,"['beast.jpg', 'pot.jpg', 'herb.jpg', 'green.jpg', 'sage.jpg', 'thyme.jpg']","{'green.jpg', 'sage.jpg', 'herb.jpg', 'thyme.jpg'}","{'green.jpg', 'sage.jpg', 'herb.jpg', 'thyme.jpg'}",1.0
6,345LHZDEDYEUA1M1JZ6PROIN6303UM,A1OZPLHNIU1519,3R0WOCG21MVQ69Q4MM7ZFD87F18DUB,Submitted,2022-05-06 18:04:56+03:00,1587,"['face.jpg', 'sheep.jpg', 'herbs.jpg', 'mouth.jpg', 'breast.jpg', 'teeth.jpg']","{'teeth.jpg', 'mouth.jpg', 'face.jpg'}","{'teeth.jpg', 'mouth.jpg', 'face.jpg'}",1.0
7,3HFNH7HEMI03CKR8X5T40HA77Q4GQD,A302KOFOYLD89A,3R0WOCG21MVQ69Q4MM7ZFD87F18DUB,Submitted,2022-05-07 00:52:04+03:00,1587,"['face.jpg', 'sheep.jpg', 'herbs.jpg', 'mouth.jpg', 'breast.jpg', 'teeth.jpg']","{'teeth.jpg', 'mouth.jpg', 'face.jpg'}","{'teeth.jpg', 'mouth.jpg', 'face.jpg'}",1.0
8,3HPZF4IVNNFZ4A2PMTEFNCSU870CY9,A3135Y3RMFC3PK,3R0WOCG21MVQ69Q4MM7ZFD87F18DUB,Submitted,2022-05-07 01:59:54+03:00,1587,"['face.jpg', 'sheep.jpg', 'herbs.jpg', 'mouth.jpg', 'breast.jpg', 'teeth.jpg']","{'teeth.jpg', 'mouth.jpg', 'face.jpg'}","{'teeth.jpg', 'mouth.jpg', 'face.jpg'}",1.0
9,3E4GGUZ1T9DRMNL6LLOI2R4XYXTK2K,A2ONILC0LZKG6Y,36FQTHX3Z3DDSIF1T6KSXEU7Z3CB3U,Submitted,2022-05-06 17:33:51+03:00,273,"['lottery.jpg', 'colonoscopy.jpg', 'orange.jpg', 'fruit.jpg', 'apple.jpg']","{'apple.jpg', 'fruit.jpg', 'orange.jpg'}","{'apple.jpg', 'fruit.jpg', 'orange.jpg'}",1.0
10,3UWN2HHPUZRLZSN7CDV4L1Y5QQ8NSE,A1OZPLHNIU1519,36FQTHX3Z3DDSIF1T6KSXEU7Z3CB3U,Submitted,2022-05-07 00:37:10+03:00,273,"['lottery.jpg', 'colonoscopy.jpg', 'orange.jpg', 'fruit.jpg', 'apple.jpg']","{'apple.jpg', 'fruit.jpg', 'orange.jpg'}","{'apple.jpg', 'fruit.jpg', 'orange.jpg'}",1.0
11,36ZN444YTSKENZKN8G13WOSN72FIO0,A302KOFOYLD89A,36FQTHX3Z3DDSIF1T6KSXEU7Z3CB3U,Submitted,2022-05-07 01:00:28+03:00,273,"['lottery.jpg', 'colonoscopy.jpg', 'orange.jpg', 'fruit.jpg', 'apple.jpg']","{'apple.jpg', 'fruit.jpg', 'orange.jpg'}","{'fruit.jpg', 'lottery.jpg', 'orange.jpg'}",0.5
12,3P4RDNWND6S0MOTQS39YOSB183NJIQ,A382S0KJMW3K9S,3TTPFEFXCT6MGE55C0SMQS9P47J6HB,Submitted,2022-05-06 15:09:54+03:00,638,"['anvil.jpg', 'ant.jpg', 'thunder.jpg', 'cardboard.jpg', 'group.jpg']","{'group.jpg', 'ant.jpg'}","{'group.jpg', 'ant.jpg'}",1.0
13,37WLF8U1WQCF4O478N0LS4L9E2LK6R,A2ONILC0LZKG6Y,3TTPFEFXCT6MGE55C0SMQS9P47J6HB,Submitted,2022-05-06 16:49:02+03:00,638,"['anvil.jpg', 'ant.jpg', 'thunder.jpg', 'cardboard.jpg', 'group.jpg']","{'group.jpg', 'ant.jpg'}","{'anvil.jpg', 'ant.jpg'}",0.3333333333333333
14,3OXV7EAXLFC98QW0NH8MBI473KF63Q,A1OZPLHNIU1519,3TTPFEFXCT6MGE55C0SMQS9P47J6HB,Submitted,2022-05-06 23:49:34+03:00,638,"['anvil.jpg', 'ant.jpg', 'thunder.jpg', 'cardboard.jpg', 'group.jpg']","{'group.jpg', 'ant.jpg'}","{'anvil.jpg', 'ant.jpg'}",0.3333333333333333
15,32UTUBMZ7HIZQBFE3IV05TII85IBVC,A2ONILC0LZKG6Y,3YGE63DIN8J9ZTEF5AY5IU9L6SA0W4,Submitted,2022-05-06 23:45:22+03:00,1358,"['meat.jpg', 'cooler.jpg', 'cow.jpg', 'fat.jpg', 'ledger.jpg', 'bleach.jpg']","{'cow.jpg', 'fat.jpg', 'meat.jpg'}","{'cow.jpg', 'fat.jpg', 'meat.jpg'}",1.0
16,3TYCR1GOTD5SC460VS9X42RJ8A4LZB,A1OZPLHNIU1519,3YGE63DIN8J9ZTEF5AY5IU9L6SA0W4,Submitted,2022-05-06 23:59:43+03:00,1358,"['meat.jpg', 'cooler.jpg', 'cow.jpg', 'fat.jpg', 'ledger.jpg', 'bleach.jpg']","{'cow.jpg', 'fat.jpg', 'meat.jpg'}","{'cow.jpg', 'fat.jpg', 'meat.jpg'}",1.0
17,3KB8R4ZV1FTG8EPJENWE5SF8LQ9BG2,A2UAHW3Q7S45JP,3YGE63DIN8J9ZTEF5AY5IU9L6SA0W4,Submitted,2022-05-07 01:50:43+03:00,1358,"['meat.jpg', 'cooler.jpg', 'cow.jpg', 'fat.jpg', 'ledger.jpg', 'bleach.jpg']","{'cow.jpg', 'fat.jpg', 'meat.jpg'}","{'cow.jpg', 'fat.jpg', 'meat.jpg'}",1.0
18,3IAS3U3I0G2QTKHCF8BP3OL7B2H2BD,A382S0KJMW3K9S,3XJOUITW8UD5V5FKR3N9AGT4F2PTQ4,Submitted,2022-05-06 14:58:01+03:00,1554,"['video game.jpg', 'boat.jpg', 'water.jpg', 'ship.jpg', 'wiper.jpg', 'taxi.jpg']","{'ship.jpg', 'boat.jpg', 'water.jpg'}","{'ship.jpg', 'boat.jpg', 'water.jpg'}",1.0
19,3R6P78PK7LXG40J0E9NZ5MLURVJTGG,A1OZPLHNIU1519,3XJOUITW8UD5V5FKR3N9AGT4F2PTQ4,Submitted,2022-05-06 20:16:19+03:00,1554,"['video game.jpg', 'boat.jpg', 'water.jpg', 'ship.jpg', 'wiper.jpg', 'taxi.jpg']","{'ship.jpg', 'boat.jpg', 'water.jpg'}","{'ship.jpg', 'taxi.jpg', 'boat.jpg'}",0.5
20,3SB4CE2TJWHMBQFHXJWMY3VX6YLAXZ,A3135Y3RMFC3PK,3XJOUITW8UD5V5FKR3N9AGT4F2PTQ4,Submitted,2022-05-07 02:03:03+03:00,1554,"['video game.jpg', 'boat.jpg', 'water.jpg', 'ship.jpg', 'wiper.jpg', 'taxi.jpg']","{'ship.jpg', 'boat.jpg', 'water.jpg'}","{'ship.jpg', 'taxi.jpg', 'boat.jpg'}",0.5
21,36NEMU28XGZ8ORJGKHQ55BCQRBEMW8,A1OZPLHNIU1519,3R6RZGK0XFYTHZAVN84IOKKRBWMYVS,Submitted,2022-05-06 20:18:53+03:00,432,"['wagon.jpg', 'hair.jpg', 'baking.jpg', 'ginger.jpg', 'freckles.jpg']","{'ginger.jpg', 'freckles.jpg', 'hair.jpg'}","{'ginger.jpg', 'freckles.jpg', 'hair.jpg'}",1.0
22,3CCZ6YKWR85Z4OL2Z7ZRAPTT7HN59Z,A302KOFOYLD89A,3R6RZGK0XFYTHZAVN84IOKKRBWMYVS,Submitted,2022-05-07 00:58:59+03:00,432,"['wagon.jpg', 'hair.jpg', 'baking.jpg', 'ginger.jpg', 'freckles.jpg']","{'ginger.jpg', 'freckles.jpg', 'hair.jpg'}","{'ginger.jpg', 'freckles.jpg', 'hair.jpg'}",1.0
23,3X73LLYYQ20W9J9R1JJ5HNR3HF0HNW,A2UAHW3Q7S45JP,3R6RZGK0XFYTHZAVN84IOKKRBWMYVS,Submitted,2022-05-07 01:47:05+03:00,432,"['wagon.jpg', 'hair.jpg', 'baking.jpg', 'ginger.jpg', 'freckles.jpg']","{'ginger.jpg', 'freckles.jpg', 'hair.jpg'}","{'freckles.jpg', 'hair.jpg', 'wagon.jpg'}",0.5
24,358UUM7WR0PKVSV7HHEAZU7J4597RG,A2ONILC0LZKG6Y,3MQY1YVHS36O70JIP66NE4PFTPCB2J,Submitted,2022-05-06 17:34:04+03:00,620,"['exam.jpg', 'bag.jpg', 'downtown.jpg', 'jigsaw.jpg', 'girl.jpg']","{'girl.jpg', 'downtown.jpg'}","{'girl.jpg', 'downtown.jpg'}",1.0
25,3CFVK00FWM7QOUMPTNCM74YO3636L1,A1OZPLHNIU1519,3MQY1YVHS36O70JIP66NE4PFTPCB2J,Submitted,2022-05-06 23:30:03+03:00,620,"['exam.jpg', 'bag.jpg', 'downtown.jpg', 'jigsaw.jpg', 'girl.jpg']","{'girl.jpg', 'downtown.jpg'}","{'girl.jpg', 'downtown.jpg'}",1.0
26,33JKGHPFYDGI1XA2SGZI9SZZY1ZMNA,A2UAHW3Q7S45JP,3MQY1YVHS36O70JIP66NE4PFTPCB2J,Submitted,2022-05-07 01:57:23+03:00,620,"['exam.jpg', 'bag.jpg', 'downtown.jpg', 'jigsaw.jpg', 'girl.jpg']","{'girl.jpg', 'downtown.jpg'}","{'bag.jpg', 'downtown.jpg'}",0.3333333333333333
27,34Q075JO1YZIKCW6YOEMEOFJSTT10Y,A1W1X3S1Y0RKF3,31JUPBOORNQB6O7JW04I2YYNRJI8L6,Submitted,2022-05-06 16:32:56+03:00,857,"['roller coaster.jpg', 'microphone.jpg', 'country.jpg', 'parasite.jpg', 'beer.jpg']","{'beer.jpg', 'country.jpg'}","{'beer.jpg', 'country.jpg'}",1.0
28,3GA6AFUKOPAP5FGHJ0ZQ89TXCYU3HN,A1OZPLHNIU1519,31JUPBOORNQB6O7JW04I2YYNRJI8L6,Submitted,2022-05-06 23:45:10+03:00,857,"['roller coaster.jpg', 'microphone.jpg', 'country.jpg', 'parasite.jpg', 'beer.jpg']","{'beer.jpg', 'country.jpg'}","{'country.jpg', 'parasite.jpg'}",0.3333333333333333
