,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images_q1,selected_images_q2,score_fooling_ai_1,score_fooling_ai_2,cue1,cue2,candidates
0,345LHZDEDYEUA1M1JZ6PROIN82SU35,A377LTGWJKY2IW,3K2CEDRACBNEAQHSZAGST79Z5E3TMI,Submitted,2022-05-20 16:22:01+03:00,random_1922,"['net.jpg', 'nap.jpg', 'gin.jpg']","['march.jpg', 'warrior.jpg']",0,100,relax,power,"['march.jpg', 'warrior.jpg', 'noodle.jpg', 'net.jpg', 'nap.jpg', 'gin.jpg']"
1,35USIKEBNS2GCUPA50S1KW2DAZ5N6K,AZLZA0Q87TJZO,3K2CEDRACBNEAQHSZAGST79Z5E3TMI,Submitted,2022-05-20 18:16:29+03:00,random_1922,"['noodle.jpg', 'nap.jpg', 'gin.jpg']","['march.jpg', 'nap.jpg']",80,67,college,routine,"['march.jpg', 'warrior.jpg', 'noodle.jpg', 'net.jpg', 'nap.jpg', 'gin.jpg']"
2,34T446B1C1027F64EL36VKYAYUR0C4,A1HKYY6XI2OHO1,3K2CEDRACBNEAQHSZAGST79Z5E3TMI,Submitted,2022-05-20 21:32:27+03:00,random_1922,"['march.jpg', 'nap.jpg']","['noodle.jpg', 'net.jpg']",100,0,out,strands,"['march.jpg', 'warrior.jpg', 'noodle.jpg', 'net.jpg', 'nap.jpg', 'gin.jpg']"
3,3HUTX6F6VV9ACE6LJDGB98L6K2I2O3,A302KOFOYLD89A,36BTXXLZ2VULQLFUPHB17YRHV2LR48,Submitted,2022-05-20 12:33:36+03:00,random_276,"['rabbit.jpg', 'kitchen.jpg']","['rabbit.jpg', 'kitchen.jpg']",67,67,seated,wood,"['resident.jpg', 'rabbit.jpg', 'troll.jpg', 'kitchen.jpg', 'male.jpg']"
4,3TUI152ZZC968515FM81TU6170KQ1M,A1HKYY6XI2OHO1,36BTXXLZ2VULQLFUPHB17YRHV2LR48,Submitted,2022-05-20 19:55:09+03:00,random_276,"['rabbit.jpg', 'troll.jpg']","['resident.jpg', 'troll.jpg']",0,0,poofy,scary,"['resident.jpg', 'rabbit.jpg', 'troll.jpg', 'kitchen.jpg', 'male.jpg']"
5,3YDTZAI2WY2ZJ0E7HP1OQR5WBAS149,A2QX3YJXAAHHVV,36BTXXLZ2VULQLFUPHB17YRHV2LR48,Submitted,2022-05-20 22:06:20+03:00,random_276,"['kitchen.jpg', 'male.jpg']","['kitchen.jpg', 'male.jpg']",67,67,picture,frame,"['resident.jpg', 'rabbit.jpg', 'troll.jpg', 'kitchen.jpg', 'male.jpg']"
6,3KJYX6QCMAX58UDQRA8H3H1VI9JJVX,A3UJSDFJ9LBQ6Z,3V7ICJJAZA2YAEY5TKPB7JMDDHJ4BB,Submitted,2022-05-20 20:40:01+03:00,random_1243,"['curry.jpg', 'ketchup.jpg', 'radish.jpg']","['circus.jpg', 'mall.jpg']",50,100,produce,recreation,"['circus.jpg', 'mall.jpg', 'curry.jpg', 'ketchup.jpg', 'radish.jpg', 'leaf.jpg']"
7,3YGXWBAF713J63O5XMQ87NONF684CP,A1HKYY6XI2OHO1,3V7ICJJAZA2YAEY5TKPB7JMDDHJ4BB,Submitted,2022-05-20 21:35:10+03:00,random_1243,"['circus.jpg', 'mall.jpg']","['radish.jpg', 'leaf.jpg']",100,0,stacked,unprocessed,"['circus.jpg', 'mall.jpg', 'curry.jpg', 'ketchup.jpg', 'radish.jpg', 'leaf.jpg']"
8,3OWEPKL08AYZGU3FOAXTQA295D8N78,AZLZA0Q87TJZO,3V7ICJJAZA2YAEY5TKPB7JMDDHJ4BB,Submitted,2022-05-21 00:24:44+03:00,random_1243,"['curry.jpg', 'radish.jpg', 'leaf.jpg']","['circus.jpg', 'leaf.jpg']",50,67,fertilize,faith,"['circus.jpg', 'mall.jpg', 'curry.jpg', 'ketchup.jpg', 'radish.jpg', 'leaf.jpg']"
9,33M4IA01QHNEA71YZUI8TTK78Y6RXF,A302KOFOYLD89A,3EHIMLB7F7L9KSOT5FPKA65GAGK8H2,Submitted,2022-05-20 13:22:04+03:00,random_1741,"['bug.jpg', 'poo.jpg']","['bug.jpg', 'porcupine.jpg']",67,0,repulsive,alive,"['bug.jpg', 'bottle.jpg', 'porcupine.jpg', 'poo.jpg', 'pentagon.jpg', 'kit.jpg']"
10,3DR23U6WE60IKMN98EXB5J0IGD6ETK,A1HKYY6XI2OHO1,3EHIMLB7F7L9KSOT5FPKA65GAGK8H2,Submitted,2022-05-20 15:48:42+03:00,random_1741,"['porcupine.jpg', 'kit.jpg']","['pentagon.jpg', 'kit.jpg']",67,100,pierce,defend,"['bug.jpg', 'bottle.jpg', 'porcupine.jpg', 'poo.jpg', 'pentagon.jpg', 'kit.jpg']"
11,3WLEIWSYHP30KXKYF0LLPZO58LG2H1,A2QX3YJXAAHHVV,3EHIMLB7F7L9KSOT5FPKA65GAGK8H2,Submitted,2022-05-21 00:34:02+03:00,random_1741,"['bug.jpg', 'poo.jpg']","['pentagon.jpg', 'kit.jpg']",67,100,dung,SEAL,"['bug.jpg', 'bottle.jpg', 'porcupine.jpg', 'poo.jpg', 'pentagon.jpg', 'kit.jpg']"
12,3VNXK88KKD4G2I0H5YH4ENNSM5LV9U,AZLZA0Q87TJZO,3ZQX1VYFTDRJC9AG9SKAUF2HM1XO83,Submitted,2022-05-20 21:10:44+03:00,random_994,"['bolt.jpg', 'pub.jpg', 'meter.jpg']","['bolt.jpg', 'shake.jpg', 'pub.jpg', 'pentagon.jpg']",50,40,handy,turn,"['shop.jpg', 'bolt.jpg', 'shake.jpg', 'pub.jpg', 'meter.jpg', 'pentagon.jpg']"
13,3GGAI1SQEWKZATDB3QQ4TH5N1YKMCV,A1HKYY6XI2OHO1,3ZQX1VYFTDRJC9AG9SKAUF2HM1XO83,Submitted,2022-05-20 23:43:52+03:00,random_994,"['bolt.jpg', 'meter.jpg']","['shake.jpg', 'pub.jpg']",67,67,size,fountain,"['shop.jpg', 'bolt.jpg', 'shake.jpg', 'pub.jpg', 'meter.jpg', 'pentagon.jpg']"
