,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,3DH6GAKTYZBCC3DZE7YNYATFHJVYZR,A302KOFOYLD89A,3VZYA8PITOKFMAZV99BWSUW8MV505M,Submitted,2022-05-06 04:31:27+03:00,714,"['thief.jpg', 'cone.jpg', 'bush.jpg', 'peak.jpg', 'cheese.jpg']","{'thief.jpg', 'peak.jpg'}","{'thief.jpg', 'bush.jpg'}",0.3333333333333333
1,3I0BTBYZAY7FAI79ADLVSBQTZCG0Y5,A2ONILC0LZKG6Y,3VZYA8PITOKFMAZV99BWSUW8MV505M,Submitted,2022-05-06 05:05:39+03:00,714,"['thief.jpg', 'cone.jpg', 'bush.jpg', 'peak.jpg', 'cheese.jpg']","{'thief.jpg', 'peak.jpg'}","{'thief.jpg', 'bush.jpg'}",0.3333333333333333
2,3KJYX6QCMAX58UDQRA8H3H1VG5WVJC,A2UAHW3Q7S45JP,3VZYA8PITOKFMAZV99BWSUW8MV505M,Submitted,2022-05-06 09:12:12+03:00,714,"['thief.jpg', 'cone.jpg', 'bush.jpg', 'peak.jpg', 'cheese.jpg']","{'thief.jpg', 'peak.jpg'}","{'thief.jpg', 'bush.jpg'}",0.3333333333333333
3,3DUZQ9U6SNAY7XWGE4HVVISICNUSV8,A2BK45LZGGWPLX,3FO95NVK5CM4S6H5FI7J517N95CSRE,Submitted,2022-05-06 04:37:47+03:00,814,"['drugs.jpg', 'film.jpg', 'puppy.jpg', 'needle.jpg', 'venus.jpg']","{'needle.jpg', 'drugs.jpg'}","{'needle.jpg', 'drugs.jpg'}",1.0
4,3HRMW88U17CFG1IVRAXKYG3MQ20M0Z,A3BUWQ5C39GRQC,3FO95NVK5CM4S6H5FI7J517N95CSRE,Submitted,2022-05-06 04:53:17+03:00,814,"['drugs.jpg', 'film.jpg', 'puppy.jpg', 'needle.jpg', 'venus.jpg']","{'needle.jpg', 'drugs.jpg'}","{'needle.jpg', 'drugs.jpg'}",1.0
5,35DR22AR5E6MR5GWO4HCBVHR0JJ3XC,A2UAHW3Q7S45JP,3FO95NVK5CM4S6H5FI7J517N95CSRE,Submitted,2022-05-06 09:15:17+03:00,814,"['drugs.jpg', 'film.jpg', 'puppy.jpg', 'needle.jpg', 'venus.jpg']","{'needle.jpg', 'drugs.jpg'}","{'needle.jpg', 'drugs.jpg'}",1.0
6,3NXNZ5RS1BJERSZLN0EO897PYHZ97N,A2BK45LZGGWPLX,3Z33IC0JC08EGY2NFWC2P3R02N0V9Z,Submitted,2022-05-06 04:43:45+03:00,1592,"['disc.jpg', 'field.jpg', 'spy.jpg', 'yak.jpg', 'green.jpg', 'grass.jpg']","{'green.jpg', 'grass.jpg', 'field.jpg'}","{'green.jpg', 'grass.jpg', 'field.jpg'}",1.0
7,3SNLUL3WO59BQ5CQP5APNAC46MFLU0,A3135Y3RMFC3PK,3Z33IC0JC08EGY2NFWC2P3R02N0V9Z,Submitted,2022-05-06 05:05:36+03:00,1592,"['disc.jpg', 'field.jpg', 'spy.jpg', 'yak.jpg', 'green.jpg', 'grass.jpg']","{'green.jpg', 'grass.jpg', 'field.jpg'}","{'green.jpg', 'grass.jpg', 'field.jpg'}",1.0
8,3VSOLARPKCVWQ9YYLOBYVSV9TFF39E,A2ONILC0LZKG6Y,3Z33IC0JC08EGY2NFWC2P3R02N0V9Z,Submitted,2022-05-06 05:05:50+03:00,1592,"['disc.jpg', 'field.jpg', 'spy.jpg', 'yak.jpg', 'green.jpg', 'grass.jpg']","{'green.jpg', 'grass.jpg', 'field.jpg'}","{'green.jpg', 'grass.jpg', 'field.jpg'}",1.0
9,3ZPPDN2SLWIZ07EVA8SUEJZ6K42E9D,A302KOFOYLD89A,337F8MIIMZZXQRVVV4SMN2QUMZA04H,Submitted,2022-05-06 04:30:53+03:00,591,"['chimp.jpg', 'ring.jpg', 'money.jpg', 'bill.jpg', 'tag.jpg']","{'bill.jpg', 'money.jpg'}","{'bill.jpg', 'money.jpg'}",1.0
