,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,3PQMUDRV7SS4RD9KALOZPNUMUCGIIH,A2LCWWEBLDW3H6,3NBFJK3IOH4Y5OGYSQW00OHCX1RGOF,Submitted,2022-05-03 23:59:12+03:00,1667,"['school.jpg', 'card.jpg', 'outfit.jpg', 'cut.jpg', 'spades.jpg', 'postman.jpg']","{'card.jpg', 'school.jpg'}","{'card.jpg', 'school.jpg'}",1.0
1,35LDD5557BQHTRPZV373UWGG3PPKMA,A2LCWWEBLDW3H6,36MUZ9VAE6O9HDTIWMSWPRK1G75EDZ,Submitted,2022-05-04 00:05:11+03:00,1213,"['food.jpg', 'breakfast.jpg', 'lip.jpg', 'twitter.jpg', 'pan.jpg', 'egg.jpg']","{'breakfast.jpg', 'pan.jpg', 'food.jpg', 'egg.jpg'}","{'breakfast.jpg', 'pan.jpg', 'food.jpg', 'egg.jpg'}",1.0
2,39LNWE0K4VI9044K42DD8QIXO73IUP,A2LCWWEBLDW3H6,3MXX6RQ9EVR0E8ZFCP7EGZPZH1E4PX,Submitted,2022-05-04 00:05:37+03:00,1391,"['board.jpg', 'music.jpg', 'tea party.jpg', 'rinse.jpg', 'siren.jpg', 'game.jpg']","{'game.jpg', 'board.jpg', 'music.jpg'}","{'game.jpg', 'board.jpg', 'music.jpg'}",1.0
3,3QILPRALQ6H3G88YYFP0H6WPDF5N8U,A2LCWWEBLDW3H6,3A520CCNWNMBJ6Q6CC1UZQCVV48EAX,Submitted,2022-05-04 00:02:55+03:00,162,"['nail.jpg', 'thumb.jpg', 'clap.jpg', 'pin.jpg', 'pulp.jpg']","{'nail.jpg', 'pin.jpg', 'thumb.jpg'}","{'nail.jpg', 'pin.jpg', 'thumb.jpg'}",1.0
4,3L4PIM1GQU23ACR84Q4BP3P17RXRY0,A2LCWWEBLDW3H6,3PEG1BH7AEDJOGN8ECCTSW96XJPBK9,Submitted,2022-05-03 23:56:03+03:00,391,"['forest.jpg', 'water.jpg', 'slide.jpg', 'ball.jpg', 'rain.jpg']","{'ball.jpg', 'water.jpg', 'rain.jpg'}","{'ball.jpg', 'water.jpg', 'slide.jpg'}",0.5
5,3Y5140Z9DY2W8ZWONGEJYKVYGQBIPT,A2LCWWEBLDW3H6,307FVKVSYR1B82VFG3DXGDYEH7874T,Submitted,2022-05-04 00:02:02+03:00,582,"['sulfur.jpg', 'icing.jpg', 'store.jpg', 'office.jpg', 'ink.jpg']","{'store.jpg', 'office.jpg'}","{'store.jpg', 'office.jpg'}",1.0
6,3CPLWGV3MPL3UDR837VEH2R0XLNN9J,A2LCWWEBLDW3H6,35JDMRECC4VCTX39YCT4VCNYTZLGEB,Submitted,2022-05-04 00:03:02+03:00,1838,"['submarine.jpg', 'queen.jpg', 'dragon.jpg', 'crown.jpg', 'soprano.jpg', 'corpse.jpg']","{'crown.jpg', 'queen.jpg'}","{'dragon.jpg', 'queen.jpg'}",0.3333333333333333
7,3C8HJ7UOP8GCIMOLV4ADHB4T7Y2MZY,A2LCWWEBLDW3H6,3QE4DGPGBRXU1V6G96HRMQB7GAR4GT,Submitted,2022-05-03 23:55:30+03:00,792,"['telephone.jpg', 'shelter.jpg', 'badge.jpg', 'bird.jpg', 'baby.jpg']","{'baby.jpg', 'bird.jpg'}","{'baby.jpg', 'bird.jpg'}",1.0
8,3NGI5ARFTURL8T0QF9TD6LECZO0P18,A2LCWWEBLDW3H6,3UV0D2KX1M5ONVALYMB945BVFVR4FU,Submitted,2022-05-03 23:54:54+03:00,1795,"['grandma.jpg', 'letter.jpg', 'wiper.jpg', 'adobe.jpg', 'manual.jpg', 'worker.jpg']","{'manual.jpg', 'worker.jpg'}","{'manual.jpg', 'worker.jpg'}",1.0
9,3FDJT1UU75UJLK4T34QHDU5UHUZK5K,A2LCWWEBLDW3H6,3RHLQY6EDTQRPBWP7GGJG58A3IB4DJ,Submitted,2022-05-03 23:53:42+03:00,43,"['penguin.jpg', 'ice.jpg', 'drink.jpg', 'snow.jpg', 'jack.jpg']","{'ice.jpg', 'snow.jpg', 'penguin.jpg'}","{'ice.jpg', 'snow.jpg', 'penguin.jpg'}",1.0
10,3IKZ72A5B52CVNIL6TV6RYDB0JIFN3,A2LCWWEBLDW3H6,3G5RUKN2ECP18TTED5QDTIVK3ER9N2,Submitted,2022-05-03 23:55:47+03:00,1767,"['twins.jpg', 'ice.jpg', 'rhino.jpg', 'car.jpg', 'seaweed.jpg', 'loo.jpg']","{'car.jpg', 'rhino.jpg'}","{'car.jpg', 'rhino.jpg'}",1.0
11,36NEMU28XGZ8ORJGKHQ6I7ABQWYMW8,A2LCWWEBLDW3H6,3V7ICJJAZA2YAEY5TKPDLFKA0XZ4BC,Submitted,2022-05-03 23:55:17+03:00,299,"['soup.jpg', 'singer.jpg', 'knife.jpg', 'fork.jpg', 'iris.jpg']","{'soup.jpg', 'fork.jpg', 'knife.jpg'}","{'soup.jpg', 'fork.jpg', 'knife.jpg'}",1.0
