,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,3GGAI1SQEWKZATDB3QQ4TH5NZYNCMM,A2QX3YJXAAHHVV,3L7SUC0TTUGDUHK118SI9W7U8RY0MH,Submitted,2022-05-07 17:58:58+03:00,258,"['hair.jpg', 'scarf.jpg', 'nail.jpg', 'spa.jpg', 'eating.jpg']","{'nail.jpg', 'spa.jpg', 'hair.jpg'}","{'nail.jpg', 'spa.jpg', 'hair.jpg'}",1.0
1,3E47SOBEYRIDEANKIBSC1OY6IP4CI7,A2M9JNCHRKMCC4,3L7SUC0TTUGDUHK118SI9W7U8RY0MH,Submitted,2022-05-07 18:16:00+03:00,258,"['hair.jpg', 'scarf.jpg', 'nail.jpg', 'spa.jpg', 'eating.jpg']","{'nail.jpg', 'spa.jpg', 'hair.jpg'}","{'scarf.jpg', 'hair.jpg', 'nail.jpg'}",0.5
2,3A1PQ49WVI3TVC22WWL7KGE0EF01HF,A30BPQ2QGZOXN8,3L7SUC0TTUGDUHK118SI9W7U8RY0MH,Submitted,2022-05-07 18:57:46+03:00,258,"['hair.jpg', 'scarf.jpg', 'nail.jpg', 'spa.jpg', 'eating.jpg']","{'nail.jpg', 'spa.jpg', 'hair.jpg'}","{'scarf.jpg', 'hair.jpg', 'nail.jpg'}",0.5
3,35L9RVQFCP4949T0YKVRVIJXPCVUH5,A2M9JNCHRKMCC4,3L55D8AUFAJXIQ4VWR9DYSW2QQ9CYC,Submitted,2022-05-07 17:59:36+03:00,551,"['bullseye.jpg', 'castle.jpg', 'bald.jpg', 'monastery.jpg', 'earth.jpg']","{'bald.jpg', 'monastery.jpg'}","{'castle.jpg', 'monastery.jpg'}",0.3333333333333333
4,37Z929RLGAUJU5SR99HGU04XF97TS0,A30BPQ2QGZOXN8,3L55D8AUFAJXIQ4VWR9DYSW2QQ9CYC,Submitted,2022-05-07 18:51:24+03:00,551,"['bullseye.jpg', 'castle.jpg', 'bald.jpg', 'monastery.jpg', 'earth.jpg']","{'bald.jpg', 'monastery.jpg'}","{'bald.jpg', 'monastery.jpg'}",1.0
5,3LRKMWOKB63MBIKSLMRSP6SA2BW2ZO,A19UED74G8FXN3,3L55D8AUFAJXIQ4VWR9DYSW2QQ9CYC,Submitted,2022-05-07 19:13:59+03:00,551,"['bullseye.jpg', 'castle.jpg', 'bald.jpg', 'monastery.jpg', 'earth.jpg']","{'bald.jpg', 'monastery.jpg'}","{'castle.jpg', 'monastery.jpg'}",0.3333333333333333
6,3X31TUMD7Y8VH8LSNH05C877VW5L12,A30BPQ2QGZOXN8,3ZUE82NE0ANP6WXNAP1K7LT3UOY8F5,Submitted,2022-05-07 17:39:16+03:00,1302,"['composer.jpg', 'emperor.jpg', 'jewelry.jpg', 'money.jpg', 'yellow.jpg', 'silver.jpg']","{'money.jpg', 'silver.jpg', 'jewelry.jpg', 'yellow.jpg'}","{'money.jpg', 'silver.jpg', 'jewelry.jpg', 'yellow.jpg'}",1.0
7,37Q970SNZFUILLGI7QX6OUL2NQES1O,A2QX3YJXAAHHVV,3ZUE82NE0ANP6WXNAP1K7LT3UOY8F5,Submitted,2022-05-07 17:56:30+03:00,1302,"['composer.jpg', 'emperor.jpg', 'jewelry.jpg', 'money.jpg', 'yellow.jpg', 'silver.jpg']","{'money.jpg', 'silver.jpg', 'jewelry.jpg', 'yellow.jpg'}","{'money.jpg', 'silver.jpg', 'jewelry.jpg', 'yellow.jpg'}",1.0
8,3UJ1CZ6IZIBH93H18DZIRKYJZ6KS57,A2M9JNCHRKMCC4,3ZUE82NE0ANP6WXNAP1K7LT3UOY8F5,Submitted,2022-05-07 18:22:22+03:00,1302,"['composer.jpg', 'emperor.jpg', 'jewelry.jpg', 'money.jpg', 'yellow.jpg', 'silver.jpg']","{'money.jpg', 'silver.jpg', 'jewelry.jpg', 'yellow.jpg'}","{'money.jpg', 'silver.jpg', 'jewelry.jpg', 'yellow.jpg'}",1.0
9,36H9ULYP63GGCXR0RV3DLVY9SHKFJW,A2QX3YJXAAHHVV,3D4BBDG7ZHIW2N7776GN8Y0PHPE3CX,Submitted,2022-05-07 17:58:34+03:00,1247,"['voice.jpg', 'opera.jpg', 'hawk.jpg', 'marijuana.jpg', 'choir.jpg', 'music.jpg']","{'music.jpg', 'opera.jpg', 'choir.jpg', 'voice.jpg'}","{'music.jpg', 'opera.jpg', 'choir.jpg', 'voice.jpg'}",1.0
10,31HQ4X3T3TWVBSKM00FP89UGLWJSLU,A2M9JNCHRKMCC4,3D4BBDG7ZHIW2N7776GN8Y0PHPE3CX,Submitted,2022-05-07 17:59:16+03:00,1247,"['voice.jpg', 'opera.jpg', 'hawk.jpg', 'marijuana.jpg', 'choir.jpg', 'music.jpg']","{'music.jpg', 'opera.jpg', 'choir.jpg', 'voice.jpg'}","{'music.jpg', 'opera.jpg', 'choir.jpg', 'voice.jpg'}",1.0
