,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,3OE22WJIGJAMH2S3HAIL4WBYHC5UQ6,AKQAI78JTXXC9,3SBNLSTU6UR7S8KES967W5NMHTSDZP,Submitted,2022-05-17 09:50:12+03:00,solve_create_971,"['cage.jpg', 'reef.jpg', 'ice cream.jpg', 'parrot.jpg', 'bird.jpg']","{'bird.jpg', 'reef.jpg', 'parrot.jpg'}","{'bird.jpg', 'reef.jpg', 'parrot.jpg'}",1.0
1,32ZKVD547G9FE2DVJ8PUMYQZI0WB3H,AB7MYP65HZ2MH,3SBNLSTU6UR7S8KES967W5NMHTSDZP,Submitted,2022-05-17 13:16:43+03:00,solve_create_971,"['cage.jpg', 'reef.jpg', 'ice cream.jpg', 'parrot.jpg', 'bird.jpg']","{'bird.jpg', 'reef.jpg', 'parrot.jpg'}","{'bird.jpg', 'reef.jpg', 'parrot.jpg'}",1.0
2,33LK57MYLURFGH1QF16YGO5E1KMSZ3,A3135Y3RMFC3PK,3SBNLSTU6UR7S8KES967W5NMHTSDZP,Submitted,2022-05-17 17:53:46+03:00,solve_create_971,"['cage.jpg', 'reef.jpg', 'ice cream.jpg', 'parrot.jpg', 'bird.jpg']","{'bird.jpg', 'reef.jpg', 'parrot.jpg'}","{'bird.jpg', 'reef.jpg', 'parrot.jpg'}",1.0
3,3TEM0PF1Q6JCC7CIEHYHFQGSI9FD0M,A3FQNVDMR1ORAT,3VDI8GSXAFFVKWTIL972P6TFVC18GP,Submitted,2022-05-17 10:46:32+03:00,solve_create_345,"['nine.jpg', 'entrance.jpg', 'doormat.jpg', 'puffy.jpg', 'door.jpg']","{'doormat.jpg', 'entrance.jpg', 'door.jpg'}","{'doormat.jpg', 'entrance.jpg', 'door.jpg'}",1.0
4,392CY0QWG2DAJ6A5PWMUIQMIRRC4I6,A104V8NZIQFN2F,3VDI8GSXAFFVKWTIL972P6TFVC18GP,Submitted,2022-05-17 17:36:29+03:00,solve_create_345,"['nine.jpg', 'entrance.jpg', 'doormat.jpg', 'puffy.jpg', 'door.jpg']","{'doormat.jpg', 'entrance.jpg', 'door.jpg'}","{'doormat.jpg', 'entrance.jpg', 'door.jpg'}",1.0
5,3KV0LJBBH373GV2ULNGZIC490EKMRR,A3135Y3RMFC3PK,3VDI8GSXAFFVKWTIL972P6TFVC18GP,Submitted,2022-05-17 17:47:21+03:00,solve_create_345,"['nine.jpg', 'entrance.jpg', 'doormat.jpg', 'puffy.jpg', 'door.jpg']","{'doormat.jpg', 'entrance.jpg', 'door.jpg'}","{'doormat.jpg', 'entrance.jpg', 'door.jpg'}",1.0
6,3K3R2QNK8CPGP3BH087ZI1L97D59U5,A3FQNVDMR1ORAT,3OREP8RUT2XEMURPOLRCG8JG3IMGBW,Submitted,2022-05-17 10:54:09+03:00,solve_create_140,"['hedge.jpg', 'army.jpg', 'college.jpg', 'water.jpg', 'storm.jpg']","{'storm.jpg', 'army.jpg'}","{'storm.jpg', 'army.jpg'}",1.0
7,31Z0PCVWUL1XB78ZL6J5Z981T9BT7N,AB7MYP65HZ2MH,3OREP8RUT2XEMURPOLRCG8JG3IMGBW,Submitted,2022-05-17 11:19:07+03:00,solve_create_140,"['hedge.jpg', 'army.jpg', 'college.jpg', 'water.jpg', 'storm.jpg']","{'storm.jpg', 'army.jpg'}","{'storm.jpg', 'army.jpg'}",1.0
8,3U5NZHP4LSOWC4L4HYWXLCWYI9EPH8,A104V8NZIQFN2F,3OREP8RUT2XEMURPOLRCG8JG3IMGBW,Submitted,2022-05-17 16:48:22+03:00,solve_create_140,"['hedge.jpg', 'army.jpg', 'college.jpg', 'water.jpg', 'storm.jpg']","{'storm.jpg', 'army.jpg'}","{'storm.jpg', 'army.jpg'}",1.0
9,3OVHNO1VE7N9ESI8IBB9LPJE0H3DZL,A104V8NZIQFN2F,32PT7WK7DM167FDL72BYS4I72YT3DI,Submitted,2022-05-17 17:26:11+03:00,solve_create_1899,"['musician.jpg', 'plaid.jpg', 'music.jpg', 'roof.jpg', 'speck.jpg', 'violin.jpg']","{'music.jpg', 'roof.jpg'}","{'roof.jpg', 'violin.jpg'}",0.3333333333333333
