,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images_q1,selected_images_q2,score_fooling_ai_1,score_fooling_ai_2,cue1,cue2,candidates
0,3EKVH9QMEZQJ8HFWT42VYE97FZND2E,A3RTW9UWYKSNWX,33BFF6QPI1X5GLDCOXGOKS7S9DUW3D,Submitted,2022-05-15 00:08:15+03:00,1650,"['zeppelin.jpg', 'swimming.jpg']","['fat.jpg', 'jeans.jpg']",0,0,glide,walk,"['fat.jpg', 'jeans.jpg', 'tag.jpg', 'plumbing.jpg', 'zeppelin.jpg', 'swimming.jpg']"
1,3KMS4QQVK3CBNHXI9G3PMAYM8CWFKK,A1HKYY6XI2OHO1,33BFF6QPI1X5GLDCOXGOKS7S9DUW3D,Submitted,2022-05-15 02:47:26+03:00,1650,"['fat.jpg', 'swimming.jpg']","['zeppelin.jpg', 'swimming.jpg']",67,0,skin,float,"['fat.jpg', 'jeans.jpg', 'tag.jpg', 'plumbing.jpg', 'zeppelin.jpg', 'swimming.jpg']"
2,3LKC68YZ3BPWOU4SXX5IXF1VNL5WOU,AKQAI78JTXXC9,33BFF6QPI1X5GLDCOXGOKS7S9DUW3D,Submitted,2022-05-15 06:23:11+03:00,1650,"['fat.jpg', 'jeans.jpg']","['fat.jpg', 'tag.jpg']",0,67,woman,disappoint,"['fat.jpg', 'jeans.jpg', 'tag.jpg', 'plumbing.jpg', 'zeppelin.jpg', 'swimming.jpg']"
3,3VELCLL3GL59HGBW16X7HV2NZ731FC,A19UED74G8FXN3,3BKZLF990ZL1CREE19A8IXLJUD8QY9,Submitted,2022-05-15 05:06:01+03:00,119,"['climb.jpg', 'dawn.jpg']","['climb.jpg', 'chess.jpg']",67,0,Dismay,Challenging,"['climb.jpg', 'chess.jpg', 'dawn.jpg', 'string.jpg', 'tie.jpg']"
4,3OVR4I9USQ5N04YO24R3RSD4ITP4QP,AKQAI78JTXXC9,3BKZLF990ZL1CREE19A8IXLJUD8QY9,Submitted,2022-05-15 06:23:56+03:00,119,"['climb.jpg', 'dawn.jpg', 'tie.jpg']","['climb.jpg', 'tie.jpg']",0,67,man,work,"['climb.jpg', 'chess.jpg', 'dawn.jpg', 'string.jpg', 'tie.jpg']"
5,3FQ5JJ512MANB9AZ74M2UF7VA4YNKH,A1HKYY6XI2OHO1,3BKZLF990ZL1CREE19A8IXLJUD8QY9,Submitted,2022-05-15 10:19:55+03:00,119,"['climb.jpg', 'dawn.jpg']","['climb.jpg', 'tie.jpg']",67,67,brawny,outfit,"['climb.jpg', 'chess.jpg', 'dawn.jpg', 'string.jpg', 'tie.jpg']"
6,3H7Z272LX8TYY04U8JBVD4P5ZIAPLM,AKQAI78JTXXC9,3VGET1QSZ0LNH4EZQ9JEX9J8EFH7WU,Submitted,2022-05-14 22:14:17+03:00,1235,"['speaker.jpg', 'music.jpg', 'sing.jpg']","['hedgehog.jpg', 'sing.jpg']",0,0,music,rodent,"['speaker.jpg', 'slip.jpg', 'music.jpg', 'hedgehog.jpg', 'singer.jpg', 'sing.jpg']"
7,31T4R4OBOT2GPQ6OZKOFAZ8X5F47CV,A1HKYY6XI2OHO1,3VGET1QSZ0LNH4EZQ9JEX9J8EFH7WU,Submitted,2022-05-15 02:46:25+03:00,1235,"['hedgehog.jpg', 'sing.jpg']","['singer.jpg', 'sing.jpg']",0,0,nose,singer,"['speaker.jpg', 'slip.jpg', 'music.jpg', 'hedgehog.jpg', 'singer.jpg', 'sing.jpg']"
8,3U8YCDAGXQ261GGNJ341FPNR1HM0QI,A382S0KJMW3K9S,3VGET1QSZ0LNH4EZQ9JEX9J8EFH7WU,Submitted,2022-05-15 15:27:22+03:00,1235,"['slip.jpg', 'singer.jpg']","['slip.jpg', 'singer.jpg', 'sing.jpg']",67,50,sweatshop,textile,"['speaker.jpg', 'slip.jpg', 'music.jpg', 'hedgehog.jpg', 'singer.jpg', 'sing.jpg']"
9,3NG53N1RLW53JTKBEU2R8Z3ZFIG8PO,A1OZPLHNIU1519,3T2EL38U0M6CCMO4WDO6ZJEAS7EQX3,Submitted,2022-05-14 23:49:32+03:00,1937,"['drink.jpg', 'roller.jpg', 'alcohol.jpg', 'clarinet.jpg']","['drink.jpg', 'granola.jpg', 'alcohol.jpg', 'parsley.jpg']",40,40,grip,pub,"['drink.jpg', 'roller.jpg', 'granola.jpg', 'alcohol.jpg', 'clarinet.jpg', 'parsley.jpg']"
10,3U4J9857OFXXFLEILKSKZF2FNUX7BH,A2QX3YJXAAHHVV,3T2EL38U0M6CCMO4WDO6ZJEAS7EQX3,Submitted,2022-05-15 00:05:01+03:00,1937,"['drink.jpg', 'alcohol.jpg', 'parsley.jpg']","['drink.jpg', 'roller.jpg', 'clarinet.jpg']",50,50,sprig,cylindrical,"['drink.jpg', 'roller.jpg', 'granola.jpg', 'alcohol.jpg', 'clarinet.jpg', 'parsley.jpg']"
11,3STRJBFXOXDL6MFJ408E3EDNZMITKM,A3RTW9UWYKSNWX,3T2EL38U0M6CCMO4WDO6ZJEAS7EQX3,Submitted,2022-05-15 09:35:05+03:00,1937,"['roller.jpg', 'clarinet.jpg']","['drink.jpg', 'alcohol.jpg']",0,67,tube,club,"['drink.jpg', 'roller.jpg', 'granola.jpg', 'alcohol.jpg', 'clarinet.jpg', 'parsley.jpg']"
12,3PXX5PX6LYKFYNCGSN449645O2PBAY,AZLZA0Q87TJZO,3JMNNNO3B1QGV3HTKX2J1I203ZUW22,Submitted,2022-05-14 20:37:03+03:00,224,"['lava.jpg', 'fire.jpg']","['lava.jpg', 'fire.jpg', 'hot.jpg']",0,0,melt,swelter,"['lava.jpg', 'sleigh.jpg', 'fire.jpg', 'hot.jpg', 'bud.jpg']"
13,37W3JXSD67U8I88U3KEGZ6ZX1UBYWC,A1HKYY6XI2OHO1,3JMNNNO3B1QGV3HTKX2J1I203ZUW22,Submitted,2022-05-14 20:58:42+03:00,224,"['sleigh.jpg', 'bud.jpg']","['sleigh.jpg', 'bud.jpg']",100,67,chill,iceberg,"['lava.jpg', 'sleigh.jpg', 'fire.jpg', 'hot.jpg', 'bud.jpg']"
14,3N1FSUEFL6MTBVUJXILJRT65ZDCD43,AKQAI78JTXXC9,3JMNNNO3B1QGV3HTKX2J1I203ZUW22,Submitted,2022-05-14 22:19:25+03:00,224,"['lava.jpg', 'fire.jpg', 'hot.jpg']","['lava.jpg', 'fire.jpg', 'hot.jpg']",0,0,hot,burning,"['lava.jpg', 'sleigh.jpg', 'fire.jpg', 'hot.jpg', 'bud.jpg']"
15,37TD41K0AIV28OQGNNMQ5Q4TST5CSB,AHB3QFZSFN9DL,36KM3FWE3RYU9EDEX2QTQEA4DA207L,Submitted,2022-05-14 22:56:36+03:00,38,"['wet.jpg', 'orthodontist.jpg']","['wet.jpg', 'water.jpg']",0,0,Pearly,Drops,"['giant.jpg', 'wet.jpg', 'orthodontist.jpg', 'hot.jpg', 'water.jpg']"
16,3VHP9MDGRO6T4JLUH3MRYRLE33GFC0,A2QX3YJXAAHHVV,36KM3FWE3RYU9EDEX2QTQEA4DA207L,Submitted,2022-05-15 00:09:11+03:00,38,"['orthodontist.jpg', 'water.jpg']","['hot.jpg', 'water.jpg']",67,67,clear,rising,"['giant.jpg', 'wet.jpg', 'orthodontist.jpg', 'hot.jpg', 'water.jpg']"
17,3F6KKYWMNCNFX34PFN0FQ2C5QUEDN5,A3RTW9UWYKSNWX,36KM3FWE3RYU9EDEX2QTQEA4DA207L,Submitted,2022-05-15 00:10:32+03:00,38,"['hot.jpg', 'water.jpg']","['wet.jpg', 'orthodontist.jpg']",0,67,evaporate,hygiene,"['giant.jpg', 'wet.jpg', 'orthodontist.jpg', 'hot.jpg', 'water.jpg']"
18,3WQQ9FUS6BG1FZJ1VPKQDFYAYEMB8R,A3UJSDFJ9LBQ6Z,3U74KRR67M7KS82SBBVS6MYZA03TN0,Submitted,2022-05-14 19:45:35+03:00,548,"['lion.jpg', 'picture.jpg']","['lion.jpg', 'picture.jpg']",67,67,sky,beyond,"['lion.jpg', 'senator.jpg', 'yellow.jpg', 'toothpaste.jpg', 'picture.jpg']"
