,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images_q1,selected_images_q2,score_fooling_ai_1,score_fooling_ai_2,cue1,cue2,candidates
0,3EKVH9QMEZQJ8HFWT42VYE97FZND2E,A3RTW9UWYKSNWX,33BFF6QPI1X5GLDCOXGOKS7S9DUW3D,Submitted,2022-05-15 00:08:15+03:00,1650,"['zeppelin.jpg', 'swimming.jpg']","['fat.jpg', 'jeans.jpg']",0,0,glide,walk,"['fat.jpg', 'jeans.jpg', 'tag.jpg', 'plumbing.jpg', 'zeppelin.jpg', 'swimming.jpg']"
1,3KMS4QQVK3CBNHXI9G3PMAYM8CWFKK,A1HKYY6XI2OHO1,33BFF6QPI1X5GLDCOXGOKS7S9DUW3D,Submitted,2022-05-15 02:47:26+03:00,1650,"['fat.jpg', 'swimming.jpg']","['zeppelin.jpg', 'swimming.jpg']",67,0,skin,float,"['fat.jpg', 'jeans.jpg', 'tag.jpg', 'plumbing.jpg', 'zeppelin.jpg', 'swimming.jpg']"
2,3LKC68YZ3BPWOU4SXX5IXF1VNL5WOU,AKQAI78JTXXC9,33BFF6QPI1X5GLDCOXGOKS7S9DUW3D,Submitted,2022-05-15 06:23:11+03:00,1650,"['fat.jpg', 'jeans.jpg']","['fat.jpg', 'tag.jpg']",0,67,woman,disappoint,"['fat.jpg', 'jeans.jpg', 'tag.jpg', 'plumbing.jpg', 'zeppelin.jpg', 'swimming.jpg']"
3,3VELCLL3GL59HGBW16X7HV2NZ731FC,A19UED74G8FXN3,3BKZLF990ZL1CREE19A8IXLJUD8QY9,Submitted,2022-05-15 05:06:01+03:00,119,"['climb.jpg', 'dawn.jpg']","['climb.jpg', 'chess.jpg']",67,0,Dismay,Challenging,"['climb.jpg', 'chess.jpg', 'dawn.jpg', 'string.jpg', 'tie.jpg']"
4,3OVR4I9USQ5N04YO24R3RSD4ITP4QP,AKQAI78JTXXC9,3BKZLF990ZL1CREE19A8IXLJUD8QY9,Submitted,2022-05-15 06:23:56+03:00,119,"['climb.jpg', 'dawn.jpg', 'tie.jpg']","['climb.jpg', 'tie.jpg']",0,67,man,work,"['climb.jpg', 'chess.jpg', 'dawn.jpg', 'string.jpg', 'tie.jpg']"
5,3FQ5JJ512MANB9AZ74M2UF7VA4YNKH,A1HKYY6XI2OHO1,3BKZLF990ZL1CREE19A8IXLJUD8QY9,Submitted,2022-05-15 10:19:55+03:00,119,"['climb.jpg', 'dawn.jpg']","['climb.jpg', 'tie.jpg']",67,67,brawny,outfit,"['climb.jpg', 'chess.jpg', 'dawn.jpg', 'string.jpg', 'tie.jpg']"
6,3P4MQ7TPPYYKHXH8Y1404HOB6K8BBR,A1HKYY6XI2OHO1,3RBI0I35XEP95Q8C3YYC5PS8KLUY3E,Submitted,2022-05-14 19:57:53+03:00,566,"['iris.jpg', 'pencil.jpg']","['rubber.jpg', 'coil.jpg']",0,67,vibrant,roll,"['rubber.jpg', 'iris.jpg', 'skip.jpg', 'pencil.jpg', 'coil.jpg']"
7,3E7TUJ2EGD8U810VEDHA81HLL6HD9S,AHB3QFZSFN9DL,3RBI0I35XEP95Q8C3YYC5PS8KLUY3E,Submitted,2022-05-15 08:34:13+03:00,566,"['skip.jpg', 'pencil.jpg']","['rubber.jpg', 'coil.jpg']",67,0,Wood,Coil,"['rubber.jpg', 'iris.jpg', 'skip.jpg', 'pencil.jpg', 'coil.jpg']"
8,3N4BPTXIO9E06ZU845YO8AZPI3MKU7,AZLZA0Q87TJZO,3RBI0I35XEP95Q8C3YYC5PS8KLUY3E,Submitted,2022-05-16 18:36:04+03:00,566,"['iris.jpg', 'pencil.jpg']","['rubber.jpg', 'coil.jpg']",67,67,fragile,fuse,"['rubber.jpg', 'iris.jpg', 'skip.jpg', 'pencil.jpg', 'coil.jpg']"
9,358010RM5FF63EIF8ENIUQ9ASGDXVV,A1HKYY6XI2OHO1,386T3MLZLNHY9SIX77IZ4E6ZOU8088,Submitted,2022-05-15 09:50:53+03:00,350,"['syrup.jpg', 'wash.jpg']","['syrup.jpg', 'wash.jpg']",67,67,plastic,fill,"['syrup.jpg', 'flat.jpg', 'food.jpg', 'wash.jpg', 'dirty.jpg']"
10,3180JW2OT5YOA0YBLJQ4ZJ7W4VA5JO,A3RTW9UWYKSNWX,386T3MLZLNHY9SIX77IZ4E6ZOU8088,Submitted,2022-05-16 05:22:45+03:00,350,"['wash.jpg', 'dirty.jpg']","['syrup.jpg', 'wash.jpg']",0,67,clean,viscous,"['syrup.jpg', 'flat.jpg', 'food.jpg', 'wash.jpg', 'dirty.jpg']"
11,3570Y55XZQ5CLMIUOFAYD3D979QYGO,AZLZA0Q87TJZO,386T3MLZLNHY9SIX77IZ4E6ZOU8088,Submitted,2022-05-16 16:08:09+03:00,350,"['syrup.jpg', 'flat.jpg']","['syrup.jpg', 'food.jpg', 'wash.jpg']",0,50,pancake,market,"['syrup.jpg', 'flat.jpg', 'food.jpg', 'wash.jpg', 'dirty.jpg']"
12,3H7Z272LX8TYY04U8JBVD4P5ZIAPLM,AKQAI78JTXXC9,3VGET1QSZ0LNH4EZQ9JEX9J8EFH7WU,Submitted,2022-05-14 22:14:17+03:00,1235,"['speaker.jpg', 'music.jpg', 'sing.jpg']","['hedgehog.jpg', 'sing.jpg']",0,0,music,rodent,"['speaker.jpg', 'slip.jpg', 'music.jpg', 'hedgehog.jpg', 'singer.jpg', 'sing.jpg']"
13,31T4R4OBOT2GPQ6OZKOFAZ8X5F47CV,A1HKYY6XI2OHO1,3VGET1QSZ0LNH4EZQ9JEX9J8EFH7WU,Submitted,2022-05-15 02:46:25+03:00,1235,"['hedgehog.jpg', 'sing.jpg']","['singer.jpg', 'sing.jpg']",0,0,nose,singer,"['speaker.jpg', 'slip.jpg', 'music.jpg', 'hedgehog.jpg', 'singer.jpg', 'sing.jpg']"
14,3U8YCDAGXQ261GGNJ341FPNR1HM0QI,A382S0KJMW3K9S,3VGET1QSZ0LNH4EZQ9JEX9J8EFH7WU,Submitted,2022-05-15 15:27:22+03:00,1235,"['slip.jpg', 'singer.jpg']","['slip.jpg', 'singer.jpg', 'sing.jpg']",67,50,sweatshop,textile,"['speaker.jpg', 'slip.jpg', 'music.jpg', 'hedgehog.jpg', 'singer.jpg', 'sing.jpg']"
15,3NG53N1RLW53JTKBEU2R8Z3ZFIG8PO,A1OZPLHNIU1519,3T2EL38U0M6CCMO4WDO6ZJEAS7EQX3,Submitted,2022-05-14 23:49:32+03:00,1937,"['drink.jpg', 'roller.jpg', 'alcohol.jpg', 'clarinet.jpg']","['drink.jpg', 'granola.jpg', 'alcohol.jpg', 'parsley.jpg']",40,40,grip,pub,"['drink.jpg', 'roller.jpg', 'granola.jpg', 'alcohol.jpg', 'clarinet.jpg', 'parsley.jpg']"
16,3U4J9857OFXXFLEILKSKZF2FNUX7BH,A2QX3YJXAAHHVV,3T2EL38U0M6CCMO4WDO6ZJEAS7EQX3,Submitted,2022-05-15 00:05:01+03:00,1937,"['drink.jpg', 'alcohol.jpg', 'parsley.jpg']","['drink.jpg', 'roller.jpg', 'clarinet.jpg']",50,50,sprig,cylindrical,"['drink.jpg', 'roller.jpg', 'granola.jpg', 'alcohol.jpg', 'clarinet.jpg', 'parsley.jpg']"
17,3STRJBFXOXDL6MFJ408E3EDNZMITKM,A3RTW9UWYKSNWX,3T2EL38U0M6CCMO4WDO6ZJEAS7EQX3,Submitted,2022-05-15 09:35:05+03:00,1937,"['roller.jpg', 'clarinet.jpg']","['drink.jpg', 'alcohol.jpg']",0,67,tube,club,"['drink.jpg', 'roller.jpg', 'granola.jpg', 'alcohol.jpg', 'clarinet.jpg', 'parsley.jpg']"
18,3PXX5PX6LYKFYNCGSN449645O2PBAY,AZLZA0Q87TJZO,3JMNNNO3B1QGV3HTKX2J1I203ZUW22,Submitted,2022-05-14 20:37:03+03:00,224,"['lava.jpg', 'fire.jpg']","['lava.jpg', 'fire.jpg', 'hot.jpg']",0,0,melt,swelter,"['lava.jpg', 'sleigh.jpg', 'fire.jpg', 'hot.jpg', 'bud.jpg']"
19,37W3JXSD67U8I88U3KEGZ6ZX1UBYWC,A1HKYY6XI2OHO1,3JMNNNO3B1QGV3HTKX2J1I203ZUW22,Submitted,2022-05-14 20:58:42+03:00,224,"['sleigh.jpg', 'bud.jpg']","['sleigh.jpg', 'bud.jpg']",100,67,chill,iceberg,"['lava.jpg', 'sleigh.jpg', 'fire.jpg', 'hot.jpg', 'bud.jpg']"
