,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard,personal_details
0,31LM9EDVOMES0P4HPJMQT07IU2CJN1,A2A6FH0F7LD9ND,38LRF35D5LISOHO7TX1N24MVOONU3Y,Submitted,2022-05-06 13:56:11+03:00,16,"['stewardess.jpg', 'van.jpg', 'snake.jpg', 'limp.jpg', 'cat.jpg']","{'snake.jpg', 'cat.jpg'}","{'snake.jpg', 'cat.jpg'}",1.0,"{'ages': 58, 'gender': 'female', 'education': 'HighSchool', 'speaker': 'Native'}"
1,31LM9EDVOMES0P4HPJMQT07IU2CJN1,A2A6FH0F7LD9ND,38LRF35D5LISOHO7TX1N24MVOONU3Y,Submitted,2022-05-06 13:56:11+03:00,11,"['cobra.jpg', 'ruler.jpg', 'penguin.jpg', 'notebook.jpg', 'king.jpg']","{'ruler.jpg', 'penguin.jpg', 'king.jpg'}","{'cobra.jpg', 'penguin.jpg', 'king.jpg'}",0.5,"{'ages': 58, 'gender': 'female', 'education': 'HighSchool', 'speaker': 'Native'}"
2,31LM9EDVOMES0P4HPJMQT07IU2CJN1,A2A6FH0F7LD9ND,38LRF35D5LISOHO7TX1N24MVOONU3Y,Submitted,2022-05-06 13:56:11+03:00,18,"['crane.jpg', 'microscope.jpg', 'van.jpg', 'woods.jpg', 'bush.jpg']","{'woods.jpg', 'bush.jpg'}","{'woods.jpg', 'crane.jpg'}",0.3333333333333333,"{'ages': 58, 'gender': 'female', 'education': 'HighSchool', 'speaker': 'Native'}"
3,31LM9EDVOMES0P4HPJMQT07IU2CJN1,A2A6FH0F7LD9ND,38LRF35D5LISOHO7TX1N24MVOONU3Y,Submitted,2022-05-06 13:56:11+03:00,8,"['food.jpg', 'groundhog.jpg', 'drool.jpg', 'pie.jpg', 'cheese.jpg']","{'cheese.jpg', 'food.jpg', 'pie.jpg'}","{'cheese.jpg', 'food.jpg', 'pie.jpg'}",1.0,"{'ages': 58, 'gender': 'female', 'education': 'HighSchool', 'speaker': 'Native'}"
4,31LM9EDVOMES0P4HPJMQT07IU2CJN1,A2A6FH0F7LD9ND,38LRF35D5LISOHO7TX1N24MVOONU3Y,Submitted,2022-05-06 13:56:11+03:00,1,"['salt.jpg', 'bread.jpg', 'landlord.jpg', 'witch.jpg', 'snack.jpg']","{'bread.jpg', 'salt.jpg', 'snack.jpg'}","{'bread.jpg', 'salt.jpg', 'snack.jpg'}",1.0,"{'ages': 58, 'gender': 'female', 'education': 'HighSchool', 'speaker': 'Native'}"
5,31LM9EDVOMES0P4HPJMQT07IU2CJN1,A2A6FH0F7LD9ND,38LRF35D5LISOHO7TX1N24MVOONU3Y,Submitted,2022-05-06 13:56:11+03:00,24,"['mirror.jpg', 'snot.jpg', 'pond.jpg', 'vitamin.jpg', 'eating.jpg', 'water.jpg']","{'water.jpg', 'mirror.jpg', 'pond.jpg'}","{'water.jpg', 'mirror.jpg', 'pond.jpg'}",1.0,"{'ages': 58, 'gender': 'female', 'education': 'HighSchool', 'speaker': 'Native'}"
6,31LM9EDVOMES0P4HPJMQT07IU2CJN1,A2A6FH0F7LD9ND,38LRF35D5LISOHO7TX1N24MVOONU3Y,Submitted,2022-05-06 13:56:11+03:00,25,"['pat.jpg', 'arc.jpg', 'horn.jpg', 'newt.jpg', 'fire.jpg', 'lizard.jpg']","{'newt.jpg', 'lizard.jpg', 'fire.jpg'}","{'arc.jpg', 'lizard.jpg', 'newt.jpg'}",0.5,"{'ages': 58, 'gender': 'female', 'education': 'HighSchool', 'speaker': 'Native'}"
7,31LM9EDVOMES0P4HPJMQT07IU2CJN1,A2A6FH0F7LD9ND,38LRF35D5LISOHO7TX1N24MVOONU3Y,Submitted,2022-05-06 13:56:11+03:00,30,"['insect.jpg', 'clock.jpg', 'woodwind.jpg', 'bug.jpg', 'jacket.jpg', 'wrench.jpg']","{'bug.jpg', 'insect.jpg', 'clock.jpg'}","{'bug.jpg', 'insect.jpg', 'wrench.jpg'}",0.5,"{'ages': 58, 'gender': 'female', 'education': 'HighSchool', 'speaker': 'Native'}"
8,31LM9EDVOMES0P4HPJMQT07IU2CJN1,A2A6FH0F7LD9ND,38LRF35D5LISOHO7TX1N24MVOONU3Y,Submitted,2022-05-06 13:56:11+03:00,37,"['crowd.jpg', 'teddy.jpg', 'skin.jpg', 'diamond.jpg', 'tin.jpg', 'crust.jpg']","{'skin.jpg', 'diamond.jpg'}","{'diamond.jpg', 'tin.jpg'}",0.3333333333333333,"{'ages': 58, 'gender': 'female', 'education': 'HighSchool', 'speaker': 'Native'}"
9,31LM9EDVOMES0P4HPJMQT07IU2CJN1,A2A6FH0F7LD9ND,38LRF35D5LISOHO7TX1N24MVOONU3Y,Submitted,2022-05-06 13:56:11+03:00,39,"['road.jpg', 'homework.jpg', 'air force.jpg', 'weed.jpg', 'goose.jpg', 'morse code.jpg']","{'road.jpg', 'goose.jpg'}","{'road.jpg', 'weed.jpg'}",0.3333333333333333,"{'ages': 58, 'gender': 'female', 'education': 'HighSchool', 'speaker': 'Native'}"
10,3KIBXJ1WD6G5TUAB8JMF9470Z1GKOF,A19Z68L0RHQVWL,335VBRURDJMXENG1K6NSPZ3E2S49EE,Submitted,2022-05-06 13:38:25+03:00,16,"['stewardess.jpg', 'van.jpg', 'snake.jpg', 'limp.jpg', 'cat.jpg']","{'snake.jpg', 'cat.jpg'}","{'snake.jpg', 'cat.jpg'}",1.0,"{'ages': 37, 'gender': 'female', 'education': 'HighSchool', 'speaker': 'Native'}"
11,3KIBXJ1WD6G5TUAB8JMF9470Z1GKOF,A19Z68L0RHQVWL,335VBRURDJMXENG1K6NSPZ3E2S49EE,Submitted,2022-05-06 13:38:25+03:00,11,"['cobra.jpg', 'ruler.jpg', 'penguin.jpg', 'notebook.jpg', 'king.jpg']","{'ruler.jpg', 'penguin.jpg', 'king.jpg'}","{'cobra.jpg', 'penguin.jpg', 'king.jpg'}",0.5,"{'ages': 37, 'gender': 'female', 'education': 'HighSchool', 'speaker': 'Native'}"
12,3KIBXJ1WD6G5TUAB8JMF9470Z1GKOF,A19Z68L0RHQVWL,335VBRURDJMXENG1K6NSPZ3E2S49EE,Submitted,2022-05-06 13:38:25+03:00,18,"['crane.jpg', 'microscope.jpg', 'van.jpg', 'woods.jpg', 'bush.jpg']","{'woods.jpg', 'bush.jpg'}","{'woods.jpg', 'crane.jpg'}",0.3333333333333333,"{'ages': 37, 'gender': 'female', 'education': 'HighSchool', 'speaker': 'Native'}"
13,3KIBXJ1WD6G5TUAB8JMF9470Z1GKOF,A19Z68L0RHQVWL,335VBRURDJMXENG1K6NSPZ3E2S49EE,Submitted,2022-05-06 13:38:25+03:00,8,"['food.jpg', 'groundhog.jpg', 'drool.jpg', 'pie.jpg', 'cheese.jpg']","{'cheese.jpg', 'food.jpg', 'pie.jpg'}","{'cheese.jpg', 'food.jpg', 'pie.jpg'}",1.0,"{'ages': 37, 'gender': 'female', 'education': 'HighSchool', 'speaker': 'Native'}"
14,3KIBXJ1WD6G5TUAB8JMF9470Z1GKOF,A19Z68L0RHQVWL,335VBRURDJMXENG1K6NSPZ3E2S49EE,Submitted,2022-05-06 13:38:25+03:00,1,"['salt.jpg', 'bread.jpg', 'landlord.jpg', 'witch.jpg', 'snack.jpg']","{'bread.jpg', 'salt.jpg', 'snack.jpg'}","{'bread.jpg', 'salt.jpg', 'snack.jpg'}",1.0,"{'ages': 37, 'gender': 'female', 'education': 'HighSchool', 'speaker': 'Native'}"
