,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,3GS6S824SRJE694GWI55IQ1QW43NWU,A1FA3QRISJ1RIP,309D674SHZ715IBKMZVTQHY15HPBCU,Submitted,2022-05-07 13:04:22+03:00,1156,"['maze.jpg', 'car.jpg', 'grease.jpg', 'oil.jpg', 'fly.jpg', 'wet.jpg']","{'grease.jpg', 'wet.jpg', 'oil.jpg', 'car.jpg'}","{'grease.jpg', 'wet.jpg', 'oil.jpg', 'car.jpg'}",1.0
1,3NJM2BJS4XS5VWAOV6IWALZI43MPCJ,A2K607J3Z68WRR,309D674SHZ715IBKMZVTQHY15HPBCU,Submitted,2022-05-07 13:17:31+03:00,1156,"['maze.jpg', 'car.jpg', 'grease.jpg', 'oil.jpg', 'fly.jpg', 'wet.jpg']","{'grease.jpg', 'wet.jpg', 'oil.jpg', 'car.jpg'}","{'grease.jpg', 'wet.jpg', 'oil.jpg', 'car.jpg'}",1.0
2,3H8DHMCCWAXEPXJMIA8ZYAV1VTTKDE,AB7MYP65HZ2MH,309D674SHZ715IBKMZVTQHY15HPBCU,Submitted,2022-05-07 13:18:48+03:00,1156,"['maze.jpg', 'car.jpg', 'grease.jpg', 'oil.jpg', 'fly.jpg', 'wet.jpg']","{'grease.jpg', 'wet.jpg', 'oil.jpg', 'car.jpg'}","{'grease.jpg', 'wet.jpg', 'oil.jpg', 'fly.jpg'}",0.6
3,3VJ40NV2QJ94WD0Y2S07AVUWIKQOTK,A2K607J3Z68WRR,3UEBBGULPFAN4T40DS2P3DBSRFOFUQ,Submitted,2022-05-07 13:13:20+03:00,383,"['dew.jpg', 'muppet.jpg', 'yelling.jpg', 'cup.jpg', 'glass.jpg']","{'cup.jpg', 'glass.jpg', 'muppet.jpg'}","{'cup.jpg', 'glass.jpg', 'muppet.jpg'}",1.0
4,3OONKJ5DKD540R6H269MA1OACDRBOI,AB7MYP65HZ2MH,3UEBBGULPFAN4T40DS2P3DBSRFOFUQ,Submitted,2022-05-07 13:23:19+03:00,383,"['dew.jpg', 'muppet.jpg', 'yelling.jpg', 'cup.jpg', 'glass.jpg']","{'cup.jpg', 'glass.jpg', 'muppet.jpg'}","{'cup.jpg', 'glass.jpg', 'muppet.jpg'}",1.0
5,36W0OB37HX0QQ8NA47UZCAYCRUZZHO,AXID3RPK6NZT6,3UEBBGULPFAN4T40DS2P3DBSRFOFUQ,Submitted,2022-05-07 13:32:02+03:00,383,"['dew.jpg', 'muppet.jpg', 'yelling.jpg', 'cup.jpg', 'glass.jpg']","{'cup.jpg', 'glass.jpg', 'muppet.jpg'}","{'cup.jpg', 'glass.jpg', 'muppet.jpg'}",1.0
6,3WS1NTTKEZY9ARQE5NT73QJDT830FZ,A2K607J3Z68WRR,3YGYP13641V7CTP07MQX67XHM76NR1,Submitted,2022-05-07 13:18:20+03:00,736,"['paint.jpg', 'shovel.jpg', 'back.jpg', 'apple.jpg', 'fruit.jpg']","{'fruit.jpg', 'apple.jpg'}","{'fruit.jpg', 'back.jpg'}",0.3333333333333333
7,3A0EX8ZRN9AGU5AJ8TIKCSMCQNQYBG,AB7MYP65HZ2MH,3YGYP13641V7CTP07MQX67XHM76NR1,Submitted,2022-05-07 13:25:56+03:00,736,"['paint.jpg', 'shovel.jpg', 'back.jpg', 'apple.jpg', 'fruit.jpg']","{'fruit.jpg', 'apple.jpg'}","{'fruit.jpg', 'apple.jpg'}",1.0
8,33LK57MYLURFGH1QF16YGO5E05GZS9,A1FA3QRISJ1RIP,3YGYP13641V7CTP07MQX67XHM76NR1,Submitted,2022-05-07 13:33:22+03:00,736,"['paint.jpg', 'shovel.jpg', 'back.jpg', 'apple.jpg', 'fruit.jpg']","{'fruit.jpg', 'apple.jpg'}","{'fruit.jpg', 'apple.jpg'}",1.0
9,3EWIJTFFVPTH4DQIAC91L8YDH7O0EH,A2K607J3Z68WRR,3SBX2M1TKD9LEK0UC2M128HCZ49Q48,Submitted,2022-05-07 13:18:12+03:00,1385,"['baby.jpg', 'school.jpg', 'snout.jpg', 'llama.jpg', 'slave.jpg', 'children.jpg']","{'baby.jpg', 'children.jpg', 'school.jpg'}","{'baby.jpg', 'llama.jpg', 'children.jpg'}",0.5
