,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images,score,userCue,personal_details
0,36W0OB37HX0QQ8NA47UZCAYCRW7HZI,AXID3RPK6NZT6,33NOQL7T9OLVBDONB1VRAD9L6U2Z8W,Submitted,2022-05-09 01:37:05+03:00,15,"['cat.jpg', 'diary.jpg', 'nebula.jpg']",50,locked,"{'ages': 58, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
1,36W0OB37HX0QQ8NA47UZCAYCRW7HZI,AXID3RPK6NZT6,33NOQL7T9OLVBDONB1VRAD9L6U2Z8W,Submitted,2022-05-09 01:37:05+03:00,0,"['troll.jpg', 'pumpkin.jpg', 'pigeon.jpg']",0,Orange,"{'ages': 58, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
2,36W0OB37HX0QQ8NA47UZCAYCRW7HZI,AXID3RPK6NZT6,33NOQL7T9OLVBDONB1VRAD9L6U2Z8W,Submitted,2022-05-09 01:37:05+03:00,3,"['air.jpg', 'water.jpg', 'sink.jpg']",50,Drink,"{'ages': 58, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
3,36W0OB37HX0QQ8NA47UZCAYCRW7HZI,AXID3RPK6NZT6,33NOQL7T9OLVBDONB1VRAD9L6U2Z8W,Submitted,2022-05-09 01:37:05+03:00,9,"['fat.jpg', 'button.jpg']",67,tuck,"{'ages': 58, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
4,36W0OB37HX0QQ8NA47UZCAYCRW7HZI,AXID3RPK6NZT6,33NOQL7T9OLVBDONB1VRAD9L6U2Z8W,Submitted,2022-05-09 01:37:05+03:00,17,"['toothbrush.jpg', 'book.jpg', 'phone.jpg']",50,Set,"{'ages': 58, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
5,36W0OB37HX0QQ8NA47UZCAYCRW7HZI,AXID3RPK6NZT6,33NOQL7T9OLVBDONB1VRAD9L6U2Z8W,Submitted,2022-05-09 01:37:05+03:00,29,"['quarter.jpg', 'dirt.jpg']",67,Dig,"{'ages': 58, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
6,36W0OB37HX0QQ8NA47UZCAYCRW7HZI,AXID3RPK6NZT6,33NOQL7T9OLVBDONB1VRAD9L6U2Z8W,Submitted,2022-05-09 01:37:05+03:00,31,"['parade.jpg', 'march.jpg']",0,Parade,"{'ages': 58, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
7,36W0OB37HX0QQ8NA47UZCAYCRW7HZI,AXID3RPK6NZT6,33NOQL7T9OLVBDONB1VRAD9L6U2Z8W,Submitted,2022-05-09 01:37:05+03:00,32,"['church.jpg', 'toaster.jpg', 'bible.jpg']",0,Matrimony,"{'ages': 58, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
8,36W0OB37HX0QQ8NA47UZCAYCRW7HZI,AXID3RPK6NZT6,33NOQL7T9OLVBDONB1VRAD9L6U2Z8W,Submitted,2022-05-09 01:37:05+03:00,27,"['green.jpg', 'olive.jpg', 'bush.jpg']",80,Enigma,"{'ages': 58, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
9,36W0OB37HX0QQ8NA47UZCAYCRW7HZI,AXID3RPK6NZT6,33NOQL7T9OLVBDONB1VRAD9L6U2Z8W,Submitted,2022-05-09 01:37:05+03:00,38,"['floss.jpg', 'limo.jpg', 'child.jpg']",80,Morning,"{'ages': 58, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
10,3M68NM076IT1RSH2Y79ITG7N918R6Y,A2SDOD67560IN8,3EGKVCRQFWEE8LCPIRDIN8QK86KBYH,Submitted,2022-05-09 02:00:02+03:00,15,"['mustache.jpg', 'cat.jpg']",0,whiskers,"{'ages': 44, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
11,3M68NM076IT1RSH2Y79ITG7N918R6Y,A2SDOD67560IN8,3EGKVCRQFWEE8LCPIRDIN8QK86KBYH,Submitted,2022-05-09 02:00:02+03:00,0,"['troll.jpg', 'costume.jpg', 'pumpkin.jpg']",50,Halloween,"{'ages': 44, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
12,3M68NM076IT1RSH2Y79ITG7N918R6Y,A2SDOD67560IN8,3EGKVCRQFWEE8LCPIRDIN8QK86KBYH,Submitted,2022-05-09 02:00:02+03:00,3,"['air.jpg', 'iris.jpg']",0,seasonal,"{'ages': 44, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
13,3M68NM076IT1RSH2Y79ITG7N918R6Y,A2SDOD67560IN8,3EGKVCRQFWEE8LCPIRDIN8QK86KBYH,Submitted,2022-05-09 02:00:02+03:00,9,"['fat.jpg', 'button.jpg']",67,profile,"{'ages': 44, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
14,3M68NM076IT1RSH2Y79ITG7N918R6Y,A2SDOD67560IN8,3EGKVCRQFWEE8LCPIRDIN8QK86KBYH,Submitted,2022-05-09 02:00:02+03:00,17,"['toothbrush.jpg', 'book.jpg', 'lobe.jpg']",50,knowledge,"{'ages': 44, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
15,3M68NM076IT1RSH2Y79ITG7N918R6Y,A2SDOD67560IN8,3EGKVCRQFWEE8LCPIRDIN8QK86KBYH,Submitted,2022-05-09 02:00:02+03:00,29,"['dirty.jpg', 'ink.jpg', 'dirt.jpg']",80,manmade,"{'ages': 44, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
16,3M68NM076IT1RSH2Y79ITG7N918R6Y,A2SDOD67560IN8,3EGKVCRQFWEE8LCPIRDIN8QK86KBYH,Submitted,2022-05-09 02:00:02+03:00,31,"['line.jpg', 'march.jpg', 'list.jpg']",0,linear,"{'ages': 44, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
17,3M68NM076IT1RSH2Y79ITG7N918R6Y,A2SDOD67560IN8,3EGKVCRQFWEE8LCPIRDIN8QK86KBYH,Submitted,2022-05-09 02:00:02+03:00,32,"['church.jpg', 'bible.jpg']",0,holy,"{'ages': 44, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
18,3M68NM076IT1RSH2Y79ITG7N918R6Y,A2SDOD67560IN8,3EGKVCRQFWEE8LCPIRDIN8QK86KBYH,Submitted,2022-05-09 02:00:02+03:00,27,"['letter.jpg', 'garden.jpg', 'green.jpg', 'olive.jpg']",40,garden,"{'ages': 44, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
19,3M68NM076IT1RSH2Y79ITG7N918R6Y,A2SDOD67560IN8,3EGKVCRQFWEE8LCPIRDIN8QK86KBYH,Submitted,2022-05-09 02:00:02+03:00,38,"['pet.jpg', 'child.jpg']",67,ribbon,"{'ages': 44, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
20,3MYYFCXHJ4TWNF4AZ8MRXE92B23G4K,A2K607J3Z68WRR,371QPA24C2AHE1V36OXU9FLW7SB1TZ,Submitted,2022-05-09 11:00:45+03:00,15,"['cat.jpg', 'diary.jpg']",67,secret,"{'ages': 40, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
21,3MYYFCXHJ4TWNF4AZ8MRXE92B23G4K,A2K607J3Z68WRR,371QPA24C2AHE1V36OXU9FLW7SB1TZ,Submitted,2022-05-09 11:00:45+03:00,0,"['costume.jpg', 'pumpkin.jpg']",67,costume,"{'ages': 40, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
22,3MYYFCXHJ4TWNF4AZ8MRXE92B23G4K,A2K607J3Z68WRR,371QPA24C2AHE1V36OXU9FLW7SB1TZ,Submitted,2022-05-09 11:00:45+03:00,3,"['water.jpg', 'iris.jpg', 'submarine.jpg']",50,Navy,"{'ages': 40, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
23,3MYYFCXHJ4TWNF4AZ8MRXE92B23G4K,A2K607J3Z68WRR,371QPA24C2AHE1V36OXU9FLW7SB1TZ,Submitted,2022-05-09 11:00:45+03:00,9,"['fat.jpg', 'button.jpg', 'tummy.jpg']",0,Belly,"{'ages': 40, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
24,3MYYFCXHJ4TWNF4AZ8MRXE92B23G4K,A2K607J3Z68WRR,371QPA24C2AHE1V36OXU9FLW7SB1TZ,Submitted,2022-05-09 11:00:45+03:00,17,"['toothbrush.jpg', 'book.jpg', 'lobe.jpg']",50,knowledge,"{'ages': 40, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
25,3MYYFCXHJ4TWNF4AZ8MRXE92B23G4K,A2K607J3Z68WRR,371QPA24C2AHE1V36OXU9FLW7SB1TZ,Submitted,2022-05-09 11:00:45+03:00,29,"['dirty.jpg', 'quarter.jpg']",0,breadwinner,"{'ages': 40, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
26,3MYYFCXHJ4TWNF4AZ8MRXE92B23G4K,A2K607J3Z68WRR,371QPA24C2AHE1V36OXU9FLW7SB1TZ,Submitted,2022-05-09 11:00:45+03:00,31,"['line.jpg', 'march.jpg']",67,group,"{'ages': 40, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
27,3MYYFCXHJ4TWNF4AZ8MRXE92B23G4K,A2K607J3Z68WRR,371QPA24C2AHE1V36OXU9FLW7SB1TZ,Submitted,2022-05-09 11:00:45+03:00,32,"['church.jpg', 'bible.jpg']",0,church,"{'ages': 40, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
28,3MYYFCXHJ4TWNF4AZ8MRXE92B23G4K,A2K607J3Z68WRR,371QPA24C2AHE1V36OXU9FLW7SB1TZ,Submitted,2022-05-09 11:00:45+03:00,27,"['garden.jpg', 'green.jpg', 'olive.jpg']",50,nature,"{'ages': 40, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
29,3MYYFCXHJ4TWNF4AZ8MRXE92B23G4K,A2K607J3Z68WRR,371QPA24C2AHE1V36OXU9FLW7SB1TZ,Submitted,2022-05-09 11:00:45+03:00,38,"['floss.jpg', 'shave.jpg']",0,hygiene,"{'ages': 40, 'gender': 'male', 'education': 'HighSchool', 'speaker': 'Native'}"
