,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,34PGFRQONPXINJDVHKDE2FIUM2EJWC,AZOLD3I9B3XPA,3OCZWXS7ZOTSJ6OHY2XH4AMTCNP5LM,Submitted,2022-05-04 18:12:20+03:00,1346,"['tablet.jpg', 'globe.jpg', 'brown.jpg', 'dictionary.jpg', 'face.jpg', 'book.jpg']","{'dictionary.jpg', 'brown.jpg', 'book.jpg'}","{'dictionary.jpg', 'book.jpg', 'tablet.jpg'}",0.5
1,39K0FND3AI1BHEGDJCUE0IDKYD6MA8,A2LCWWEBLDW3H6,3OCZWXS7ZOTSJ6OHY2XH4AMTCNP5LM,Submitted,2022-05-04 18:14:11+03:00,1346,"['tablet.jpg', 'globe.jpg', 'brown.jpg', 'dictionary.jpg', 'face.jpg', 'book.jpg']","{'dictionary.jpg', 'brown.jpg', 'book.jpg'}","{'dictionary.jpg', 'book.jpg', 'globe.jpg'}",0.5
2,3QHK8ZVMIN4WU63KPETVVGI1GQ1BLQ,A2LCWWEBLDW3H6,3Z33IC0JC08EGY2NFWC43ZPXPHA9V0,Submitted,2022-05-04 18:04:26+03:00,512,"['skate.jpg', 'ketchup.jpg', 'dungeon.jpg', 'salt.jpg', 'eggnog.jpg']","{'salt.jpg', 'ketchup.jpg'}","{'salt.jpg', 'ketchup.jpg'}",1.0
3,3GGAI1SQEWKZATDB3QQ56D38YGRMCA,AZOLD3I9B3XPA,3Z33IC0JC08EGY2NFWC43ZPXPHA9V0,Submitted,2022-05-04 18:15:08+03:00,512,"['skate.jpg', 'ketchup.jpg', 'dungeon.jpg', 'salt.jpg', 'eggnog.jpg']","{'salt.jpg', 'ketchup.jpg'}","{'salt.jpg', 'ketchup.jpg'}",1.0
4,3XCC1ODXDMXU1A0MDGNHCHMZ8IRQR7,A2LCWWEBLDW3H6,3ULIZ0H1VARFTZKD5SFYKVDFEHK15C,Submitted,2022-05-04 18:16:47+03:00,445,"['water.jpg', 'pig.jpg', 'eucalyptus.jpg', 'hanging.jpg', 'horse.jpg']","{'water.jpg', 'pig.jpg', 'horse.jpg'}","{'water.jpg', 'pig.jpg', 'horse.jpg'}",1.0
5,3LYA37P8IR9LA0L24EHUGG5MRQWKBW,AZOLD3I9B3XPA,3ULIZ0H1VARFTZKD5SFYKVDFEHK15C,Submitted,2022-05-04 18:17:12+03:00,445,"['water.jpg', 'pig.jpg', 'eucalyptus.jpg', 'hanging.jpg', 'horse.jpg']","{'water.jpg', 'pig.jpg', 'horse.jpg'}","{'water.jpg', 'pig.jpg', 'horse.jpg'}",1.0
6,34X6J5FLPUKD3MH95BE8AQ08Y1XJQ8,A2LCWWEBLDW3H6,3OJX0UFJ0ZTE3JDNA62Z7DNEBA19UB,Submitted,2022-05-04 18:10:37+03:00,1560,"['bench.jpg', 'jail.jpg', 'farm.jpg', 'child.jpg', 'millipede.jpg', 'police.jpg']","{'jail.jpg', 'child.jpg', 'police.jpg'}","{'jail.jpg', 'child.jpg', 'police.jpg'}",1.0
7,3JV9LGBJWU00R8ESIS11O8DSR8YOG1,AZOLD3I9B3XPA,3OJX0UFJ0ZTE3JDNA62Z7DNEBA19UB,Submitted,2022-05-04 18:17:29+03:00,1560,"['bench.jpg', 'jail.jpg', 'farm.jpg', 'child.jpg', 'millipede.jpg', 'police.jpg']","{'jail.jpg', 'child.jpg', 'police.jpg'}","{'jail.jpg', 'bench.jpg', 'police.jpg'}",0.5
8,3W8CV64QJ3LBKH5X0901CIU4B9PH9F,AZOLD3I9B3XPA,3OZ4VAIBEX13MAFW183HST30LMLVJG,Submitted,2022-05-04 18:12:50+03:00,915,"['pan.jpg', 'gym.jpg', 'running.jpg', 'balloon.jpg', 'snowman.jpg']","{'gym.jpg', 'running.jpg'}","{'gym.jpg', 'running.jpg'}",1.0
9,336YQZE83W0EB84WOG3XS7XY6Z5M52,A2LCWWEBLDW3H6,3OZ4VAIBEX13MAFW183HST30LMLVJG,Submitted,2022-05-04 18:13:28+03:00,915,"['pan.jpg', 'gym.jpg', 'running.jpg', 'balloon.jpg', 'snowman.jpg']","{'gym.jpg', 'running.jpg'}","{'gym.jpg', 'running.jpg'}",1.0
10,3BF51CHDTWWTONHK0DH8J7TB85VH03,AZOLD3I9B3XPA,3JTPR5MTZSYHZ06ZD2LGPA9ENNK5KJ,Submitted,2022-05-04 18:10:56+03:00,797,"['house.jpg', 'hyena.jpg', 'arcade.jpg', 'paint.jpg', 'licorice.jpg']","{'house.jpg', 'paint.jpg'}","{'house.jpg', 'paint.jpg'}",1.0
