,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images,score,userCue,personal_details
0,39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,15,"['cat.jpg', 'waistband.jpg']",67,male,"{'ages': 39, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
1,39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,0,"['troll.jpg', 'costume.jpg', 'pumpkin.jpg']",50,halloween,"{'ages': 39, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
2,39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,3,"['air.jpg', 'water.jpg', 'sink.jpg']",50,sink,"{'ages': 39, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
3,39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,9,"['fat.jpg', 'button.jpg']",67,weight,"{'ages': 39, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
4,39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,17,"['toothbrush.jpg', 'phone.jpg']",67,calculator,"{'ages': 39, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
5,39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,29,"['dirty.jpg', 'quarter.jpg']",67,wash,"{'ages': 39, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
6,39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,31,"['line.jpg', 'list.jpg']",100,costume,"{'ages': 39, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
7,39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,32,"['waterfall.jpg', 'bullseye.jpg', 'bible.jpg']",80,resort,"{'ages': 39, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
8,39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,27,"['green.jpg', 'olive.jpg']",67,foliage,"{'ages': 39, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
9,39N5ACM9HF93XY3LJM858VYAYJQP9B,A382S0KJMW3K9S,3ZXNP4Z39R776A20MVCCOY2SG0GL72,Approved,2022-05-08 03:16:42+03:00,38,"['limo.jpg', 'typewriter.jpg']",100,routine,"{'ages': 39, 'gender': 'male', 'education': 'Bachelor', 'speaker': 'Native'}"
