ID,R1_association,R1_edge_weight,R1_concreteness,R2_association,R2_edge_weight,R2_concreteness,R3_association,R3_edge_weight,R3_concreteness,R4_association,R4_edge_weight,R4_concreteness,cue,cue_weight,associations,num_distractors,num_associations,associations_mean_weight,distractors,labels,candidates,candidates_connectivity_score,candidates_connectivity_data,alternative_associations_candidates,cue_associations_str,cue_associations_lst,candidates_connectivity_score_weight,origin_candidates_number,solvers_mean_jaccard
0,water,51,5.0,church,37.0,4.9,baby,14.0,5.0,,,,baptism,102,"[""water"", ""church"", ""baby""]",2,3,34.0,"[""monk"", ""piece""]","[0, 1, 4]","[""water"", ""church"", ""piece"", ""monk"", ""baby""]",4,"[{'alternative_cue': 'baptize', 'alternative_cue_novel_associations': ['church', 'baby', 'water'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'cloister', 'alternative_cue_novel_associations': ['church', 'monk'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'abbey', 'alternative_cue_novel_associations': ['church', 'monk'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'baptist', 'alternative_cue_novel_associations': ['church', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bottle', 'alternative_cue_novel_associations': ['baby', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'monastery', 'alternative_cue_novel_associations': ['church', 'monk'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'friar', 'alternative_cue_novel_associations': ['church', 'monk'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tadpole', 'alternative_cue_novel_associations': ['baby', 'water'], 'num_alternative_cue_novel_associations': 2}]","[['baby', 'water'], ['church', 'baby', 'water'], ['church', 'monk'], ['church', 'water']]","['baby', 'baptism', 'church', 'water']","['baptism', 'water', 'church', 'baby']",25,5,0.8333333333333334
4,water,41,5.0,ocean,18.0,4.86,boat,12.0,4.93,window,11.0,4.86,bay,72,"[""water"", ""ocean"", ""boat""]",2,3,23.666666666666668,"[""newt"", ""ring""]","[1, 3, 2]","[""ring"", ""water"", ""boat"", ""ocean"", ""newt""]",5,"[{'alternative_cue': 'sail', 'alternative_cue_novel_associations': ['boat', 'ocean', 'water'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'ship', 'alternative_cue_novel_associations': ['boat', 'ocean', 'water'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'submarine', 'alternative_cue_novel_associations': ['boat', 'ocean', 'water'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'nautical', 'alternative_cue_novel_associations': ['boat', 'ocean', 'water'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'sailing', 'alternative_cue_novel_associations': ['boat', 'ocean', 'water'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'yacht', 'alternative_cue_novel_associations': ['boat', 'ocean', 'water'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'surfing', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'seaman', 'alternative_cue_novel_associations': ['boat', 'ocean'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'seahorse', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cruise', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'fishing', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'island', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'life jacket', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'islands', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'wharf', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cove', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sailors', 'alternative_cue_novel_associations': ['boat', 'ocean'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'voyage', 'alternative_cue_novel_associations': ['boat', 'ocean'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'porpoise', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sailor', 'alternative_cue_novel_associations': ['boat', 'ocean'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'mermaid', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bail', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'floating', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'beaches', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'reef', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'surfboard', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'surfer', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'hovercraft', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'float', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'beach', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'oar', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sailboat', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'rowing', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pier', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'whale', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sails', 'alternative_cue_novel_associations': ['boat', 'ocean'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sinker', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pacific', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'propel', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ships', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'marine', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'coast', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dock', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'kayak', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'snorkel', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'barge', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'wave', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'scuba', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'waves', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'shore', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'starfish', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'raft', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dolphin', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'canoe', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'deep', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'spray', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'seaside', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'swim', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sea', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tide', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'amphibian', 'alternative_cue_novel_associations': ['newt', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'shipwreck', 'alternative_cue_novel_associations': ['boat', 'ocean'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'aqua', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'paddle', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ferry', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lighthouse', 'alternative_cue_novel_associations': ['boat', 'ocean'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'canal', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'depth', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'harbor', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'surf', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'diver', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'harbour', 'alternative_cue_novel_associations': ['boat', 'water'], 'num_alternative_cue_novel_associations': 2}]","[['newt', 'water'], ['ocean', 'water'], ['boat', 'ocean', 'water'], ['boat', 'ocean'], ['boat', 'water']]","['bay', 'boat', 'ocean', 'water']","['bay', 'water', 'ocean', 'boat']",36,5,1.0
6,food,32,4.8,taco,22.0,4.93,cheese,15.0,4.7,,,,enchilada,106,"[""food"", ""taco"", ""cheese""]",2,3,23.0,"[""jack"", ""sunburn""]","[1, 2, 3]","[""sunburn"", ""food"", ""taco"", ""cheese"", ""jack""]",3,"[{'alternative_cue': 'omelet', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cracker', 'alternative_cue_novel_associations': ['jack', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'burger', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lasagna', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'mexican', 'alternative_cue_novel_associations': ['taco', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'macaroni', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'hamburger', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pizza', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'burrito', 'alternative_cue_novel_associations': ['taco', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tortilla', 'alternative_cue_novel_associations': ['taco', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'hamburgers', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'burgers', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sandwich', 'alternative_cue_novel_associations': ['food', 'cheese'], 'num_alternative_cue_novel_associations': 2}]","[['jack', 'cheese'], ['food', 'cheese'], ['taco', 'food']]","['cheese', 'enchilada', 'food', 'taco']","['enchilada', 'food', 'taco', 'cheese']",16,5,1.0
8,skin,72,4.79,rash,33.0,4.62,red,21.0,4.24,,,,eczema,134,"[""skin"", ""rash"", ""red""]",2,3,42.0,"[""mom"", ""pond""]","[1, 0, 2]","[""rash"", ""skin"", ""red"", ""pond"", ""mom""]",3,"[{'alternative_cue': 'itch', 'alternative_cue_novel_associations': ['rash', 'skin', 'red'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'itchy', 'alternative_cue_novel_associations': ['rash', 'skin', 'red'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'irritation', 'alternative_cue_novel_associations': ['rash', 'red'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'rash', 'alternative_cue_novel_associations': ['skin', 'red'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'acne', 'alternative_cue_novel_associations': ['skin', 'red'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'freckle', 'alternative_cue_novel_associations': ['skin', 'red'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sunburn', 'alternative_cue_novel_associations': ['skin', 'red'], 'num_alternative_cue_novel_associations': 2}]","[['skin', 'red'], ['rash', 'red'], ['rash', 'skin', 'red']]","['eczema', 'rash', 'red', 'skin']","['eczema', 'skin', 'rash', 'red']",16,5,1.0
9,wolf,69,4.79,moon,46.0,4.9,dog,27.0,4.85,owl,13.0,4.93,howl,142,"[""wolf"", ""moon"", ""dog""]",2,3,47.333333333333336,"[""eskimo"", ""limb""]","[3, 2, 4]","[""eskimo"", ""limb"", ""moon"", ""wolf"", ""dog""]",3,"[{'alternative_cue': 'wolf', 'alternative_cue_novel_associations': ['moon', 'dog'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'werewolf', 'alternative_cue_novel_associations': ['moon', 'wolf'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'coyote', 'alternative_cue_novel_associations': ['dog', 'wolf'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'canine', 'alternative_cue_novel_associations': ['dog', 'wolf'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'fangs', 'alternative_cue_novel_associations': ['dog', 'wolf'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'rover', 'alternative_cue_novel_associations': ['moon', 'dog'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'fang', 'alternative_cue_novel_associations': ['dog', 'wolf'], 'num_alternative_cue_novel_associations': 2}]","[['moon', 'wolf'], ['moon', 'dog'], ['dog', 'wolf']]","['dog', 'howl', 'moon', 'wolf']","['howl', 'wolf', 'moon', 'dog']",16,5,1.0
10,money,42,4.54,cookie,15.0,5.0,teller,11.0,4.38,gold,10.0,4.81,fortune,104,"[""money"", ""cookie"", ""teller""]",2,3,22.666666666666668,"[""foam"", ""crispy""]","[1, 2, 0]","[""teller"", ""money"", ""cookie"", ""crispy"", ""foam""]",2,"[{'alternative_cue': 'banker', 'alternative_cue_novel_associations': ['teller', 'money'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dough', 'alternative_cue_novel_associations': ['cookie', 'money'], 'num_alternative_cue_novel_associations': 2}]","[['teller', 'money'], ['cookie', 'money']]","['cookie', 'fortune', 'money', 'teller']","['fortune', 'money', 'cookie', 'teller']",9,5,0.6666666666666666
11,dog,89,4.85,tooth,32.0,4.89,wolf,13.0,4.79,,,,canine,149,"[""dog"", ""tooth"", ""wolf""]",2,3,44.66666666666666,"[""tumor"", ""rodent""]","[0, 3, 2]","[""dog"", ""rodent"", ""wolf"", ""tooth"", ""tumor""]",2,"[{'alternative_cue': 'fang', 'alternative_cue_novel_associations': ['wolf', 'dog', 'tooth'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'fangs', 'alternative_cue_novel_associations': ['wolf', 'dog'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'coyote', 'alternative_cue_novel_associations': ['wolf', 'dog'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'howl', 'alternative_cue_novel_associations': ['wolf', 'dog'], 'num_alternative_cue_novel_associations': 2}]","[['wolf', 'dog', 'tooth'], ['wolf', 'dog']]","['canine', 'dog', 'tooth', 'wolf']","['canine', 'dog', 'tooth', 'wolf']",9,5,1.0
12,stairs,19,5.0,steps,19.0,4.39,climb,14.0,4.11,house,10.0,5.0,stairway,78,"[""stairs"", ""steps"", ""climb""]",2,3,17.333333333333332,"[""veranda"", ""block""]","[2, 0, 4]","[""steps"", ""block"", ""stairs"", ""veranda"", ""climb""]",2,"[{'alternative_cue': 'ladder', 'alternative_cue_novel_associations': ['climb', 'steps'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'stair', 'alternative_cue_novel_associations': ['climb', 'steps'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ascend', 'alternative_cue_novel_associations': ['climb', 'stairs'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'stairs', 'alternative_cue_novel_associations': ['climb', 'steps'], 'num_alternative_cue_novel_associations': 2}]","[['climb', 'stairs'], ['climb', 'steps']]","['climb', 'stairs', 'stairway', 'steps']","['stairway', 'stairs', 'steps', 'climb']",9,5,0.6666666666666666
13,hot,37,4.31,red,21.0,4.24,flame,12.0,4.67,,,,fiery,71,"[""hot"", ""red"", ""flame""]",2,3,23.33333333333333,"[""cowboy"", ""eye patch""]","[0, 3, 4]","[""hot"", ""eye patch"", ""cowboy"", ""red"", ""flame""]",5,"[{'alternative_cue': 'fire', 'alternative_cue_novel_associations': ['hot', 'flame', 'red'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'blaze', 'alternative_cue_novel_associations': ['hot', 'flame', 'red'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'spicy', 'alternative_cue_novel_associations': ['hot', 'red'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'chilli', 'alternative_cue_novel_associations': ['hot', 'red'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'chili', 'alternative_cue_novel_associations': ['hot', 'red'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pepper', 'alternative_cue_novel_associations': ['hot', 'red'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bandana', 'alternative_cue_novel_associations': ['red', 'cowboy'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'flare', 'alternative_cue_novel_associations': ['flame', 'red'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lava', 'alternative_cue_novel_associations': ['hot', 'red'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'foxy', 'alternative_cue_novel_associations': ['hot', 'red'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'texas', 'alternative_cue_novel_associations': ['hot', 'cowboy'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'flame', 'alternative_cue_novel_associations': ['hot', 'red'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'fever', 'alternative_cue_novel_associations': ['hot', 'red'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sunburn', 'alternative_cue_novel_associations': ['hot', 'red'], 'num_alternative_cue_novel_associations': 2}]","[['hot', 'cowboy'], ['flame', 'red'], ['red', 'cowboy'], ['hot', 'flame', 'red'], ['hot', 'red']]","['fiery', 'flame', 'hot', 'red']","['fiery', 'hot', 'red', 'flame']",36,5,1.0
14,sugar,44,4.87,candy,24.0,4.83,walking,21.0,4.29,stick,16.0,4.59,cane,89,"[""sugar"", ""candy"", ""walking""]",2,3,29.666666666666668,"[""fin"", ""ladies""]","[4, 2, 1]","[""fin"", ""walking"", ""candy"", ""ladies"", ""sugar""]",1,"[{'alternative_cue': 'fudge', 'alternative_cue_novel_associations': ['candy', 'sugar'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sweet', 'alternative_cue_novel_associations': ['candy', 'sugar'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'caramel', 'alternative_cue_novel_associations': ['candy', 'sugar'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sweetness', 'alternative_cue_novel_associations': ['candy', 'sugar'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lollipop', 'alternative_cue_novel_associations': ['candy', 'sugar'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sweetie', 'alternative_cue_novel_associations': ['candy', 'sugar'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sweets', 'alternative_cue_novel_associations': ['candy', 'sugar'], 'num_alternative_cue_novel_associations': 2}]","[['candy', 'sugar']]","['candy', 'cane', 'sugar', 'walking']","['cane', 'sugar', 'candy', 'walking']",4,5,0.8333333333333334
